uniprot_id,gene,sample_id,intensity_sam,intensity_ours
P02144,MB,CR6_T1,32.1268586845201,31.865014107153073
P02144,MB,CR6_T2,31.681786728627838,31.41894150338028
P02144,MB,CR7_T2,31.63946505617333,31.362638733764545
P02144,MB,CR8_T1,30.70247662485192,30.41169379075851
P02144,MB,CR8_T2,31.456630548338136,31.182298262512266
P02144,MB,CR10_T2,31.982860563007595,31.744064216605956
P02144,MB,CR12_T1,32.14014258702845,31.86393097792855
P02144,MB,CR12_T2,31.634117647414033,31.395371268939364
P02144,MB,CR15_T1,31.52660425354512,31.313618729585933
P02144,MB,CR17_T1,31.74392399740076,31.489789620999787
P02144,MB,CR17_T2,31.39959289940841,31.164356336324825
P02144,MB,CR18_T1,31.190617881580557,30.911735166442934
P02144,MB,CR18_T2,31.603589539488848,31.326857679006945
P02144,MB,CR22_T1,31.539535697444595,31.312141883199175
P02144,MB,CR22_T2,31.474744972590393,31.237915514058173
P02144,MB,CR25_T1,31.774647714508333,31.53185123838872
P02144,MB,CR25_T2,31.730695937869655,31.495192632568028
P02144,MB,CR72_T1,31.72190300284542,31.49291738872219
P02144,MB,CR72_T2,31.54052466801076,31.3115620424294
P02144,MB,CR149_T1,31.462938931318504,31.188806943254033
P02144,MB,CR149_T2,30.913877465944463,30.657426153464712
P02144,MB,CR163_T1,31.810653968491046,31.51946942270085
P02144,MB,CR163_T2,31.424908185116344,31.13667293595221
P02144,MB,CR383_T1,31.899378188766978,31.661385803662885
P02144,MB,CR386_T2,31.802601222079282,31.55400640674421
P02144,MB,PPS2,31.751461686503664,31.459250952386537
P02144,MB,PPS20,31.53696522981895,31.25008459904438
P02144,MB,PPS28,31.749855420667508,31.47319107665736
P02144,MB,PPS31,31.625041376044717,31.330233917024042
P02144,MB,PPS32,32.19559815376392,31.88098835908253
P02144,MB,PPS37,32.108771282749174,31.800716254663037
P02144,MB,PPS40,31.598302194879345,31.29219878993831
P02144,MB,PPS41,31.863559296865933,31.6211336895022
P02144,MB,PPS42,32.36361845635247,32.06960142571444
P02144,MB,PPS44,31.774793328110484,31.494069727043406
P06732,CKM,CR6_T1,31.159031542043035,30.91334095364907
P06732,CKM,CR6_T2,30.81341799720127,30.564615848249993
P06732,CKM,CR7_T2,31.15066325905759,30.88887658253465
P06732,CKM,CR8_T1,31.010727502899826,30.742230993538243
P06732,CKM,CR8_T2,31.23162064813666,30.978683901319144
P06732,CKM,CR10_T2,31.008726973613474,30.78325440151888
P06732,CKM,CR12_T1,30.772160745170105,30.516782916205692
P06732,CKM,CR12_T2,30.839131286258922,30.610038276815494
P06732,CKM,CR15_T1,30.931679478317495,30.717058535326625
P06732,CKM,CR17_T1,31.09214771600352,30.851803070489133
P06732,CKM,CR17_T2,31.17383618168785,30.949420903258588
P06732,CKM,CR18_T1,30.925133375446944,30.667530606209127
P06732,CKM,CR18_T2,31.180754971054192,30.920918319459204
P06732,CKM,CR22_T1,31.206527399037274,30.983823769584706
P06732,CKM,CR22_T2,31.162008473851124,30.93437292788988
P06732,CKM,CR25_T1,30.8702525306824,30.635822126601578
P06732,CKM,CR25_T2,30.83181819334525,30.603715635891817
P06732,CKM,CR72_T1,30.890198184972693,30.67057992886998
P06732,CKM,CR72_T2,30.952963914650063,30.725767449282966
P06732,CKM,CR149_T1,31.443784917417585,31.183969088904263
P06732,CKM,CR149_T2,31.255195436386618,31.006902108788328
P06732,CKM,CR163_T1,30.83386855863354,30.56143747754595
P06732,CKM,CR163_T2,30.79909456587411,30.528113533075807
P06732,CKM,CR383_T1,30.886485162409052,30.66396527406922
P06732,CKM,CR386_T2,31.385764996988083,31.144015921905925
P06732,CKM,PPS2,30.57253800081854,30.299639953782638
P06732,CKM,PPS20,31.014471473367244,30.745159866681906
P06732,CKM,PPS28,30.75475625583928,30.495296172727063
P06732,CKM,PPS31,30.847109697035638,30.572132284790232
P06732,CKM,PPS32,31.07877766339004,30.782462388054835
P06732,CKM,PPS37,30.837591716322795,30.548000218275735
P06732,CKM,PPS40,30.75177642916564,30.466138059731193
P06732,CKM,PPS41,30.810706578946267,30.58351558292869
P06732,CKM,PPS42,30.95135972181213,30.674663516854913
P06732,CKM,PPS44,31.21689004864566,30.953341990961814
