uniprot_id,gene,contrast,logFC
P02144,MB,Cancer_vs_Healthy,-0.200081384763724
P02144,MB,Training_CR,-0.0978573363414164
P02144,MB,Baseline_Supplement,0.03161993646426
P02144,MB,Training_CRE,-0.0567007031733482
P02144,MB,Training_PLA,-0.143965910837501
P02144,MB,Supplement_Interaction,0.0872652076641529
P06732,CKM,Cancer_vs_Healthy,0.142705603059909
P06732,CKM,Training_CR,0.03471698380352
P06732,CKM,Baseline_Supplement,-0.202233964501239
P06732,CKM,Training_CRE,0.0466806986811754
P06732,CKM,Training_PLA,0.0191479441951721
P06732,CKM,Supplement_Interaction,0.0275327544860033
P04075,ALDOA,Cancer_vs_Healthy,0.187681297151791
P04075,ALDOA,Training_CR,0.0353322685957291
P04075,ALDOA,Baseline_Supplement,-0.0747389860259489
P04075,ALDOA,Training_CRE,0.080271367233685
P04075,ALDOA,Training_PLA,-0.00838929238817343
P04075,ALDOA,Supplement_Interaction,0.0886606596218584
P04406,GAPDH,Cancer_vs_Healthy,0.232621749105522
P04406,GAPDH,Training_CR,0.107119517256734
P04406,GAPDH,Baseline_Supplement,-0.0274684742488489
P04406,GAPDH,Training_CRE,0.13429896399192
P04406,GAPDH,Training_PLA,0.081973643173999
P04406,GAPDH,Supplement_Interaction,0.0523253208179213
P12277,CKB,Cancer_vs_Healthy,-0.0507932360448642
P12277,CKB,Training_CR,-0.0468924920507092
P12277,CKB,Baseline_Supplement,0.0876280478063656
P12277,CKB,Training_CRE,-0.0714335721705623
P12277,CKB,Training_PLA,-0.019052387817549
P12277,CKB,Supplement_Interaction,-0.0523811843530133
P07451,CA3,Cancer_vs_Healthy,0.277970538722187
P07451,CA3,Training_CR,0.0953543234446137
P07451,CA3,Baseline_Supplement,-0.203219905650588
P07451,CA3,Training_CRE,0.0701693237384582
P07451,CA3,Training_PLA,0.118104738680749
P07451,CA3,Supplement_Interaction,-0.047935414942291
Q13642,FHL1,Cancer_vs_Healthy,-0.393889689785016
Q13642,FHL1,Training_CR,0.189168142574555
Q13642,FHL1,Baseline_Supplement,-0.0348590079512014
Q13642,FHL1,Training_CRE,0.0965469368971696
Q13642,FHL1,Training_PLA,0.284282689754011
Q13642,FHL1,Supplement_Interaction,-0.187735752856842
P68133,ACTA1,Cancer_vs_Healthy,0.15780930179185
P68133,ACTA1,Training_CR,0.631247127534056
P68133,ACTA1,Baseline_Supplement,-0.28130458543615
P68133,ACTA1,Training_CRE,0.456733069183638
P68133,ACTA1,Training_PLA,0.823859081946971
P68133,ACTA1,Supplement_Interaction,-0.367126012763332
P06733,ENO1,Cancer_vs_Healthy,0.167429998301674
P06733,ENO1,Training_CR,-0.0668839792309317
P06733,ENO1,Baseline_Supplement,-0.0206501408762563
P06733,ENO1,Training_CRE,-0.0271136347858807
P06733,ENO1,Training_PLA,-0.101161118957581
P06733,ENO1,Supplement_Interaction,0.0740474841717003
P13929,ENO3,Cancer_vs_Healthy,-0.137895033950922
P13929,ENO3,Training_CR,-0.0191290402013919
P13929,ENO3,Baseline_Supplement,0.242899502692058
P13929,ENO3,Training_CRE,0.05952951361229
P13929,ENO3,Training_PLA,-0.0956871727376445
P13929,ENO3,Supplement_Interaction,0.155216686349934
