contrast,gene,average_intensity,logFC,sig_pi,direction
Cancer_vs_Healthy,MB,31.6712298112036,-0.200081384763724,0,NS
Cancer_vs_Healthy,CKM,30.9897991884709,0.142705603059909,0,NS
Cancer_vs_Healthy,ALDOA,30.0596262246543,0.187681297151791,0,NS
Cancer_vs_Healthy,GAPDH,29.9437511587577,0.232621749105522,0,NS
Cancer_vs_Healthy,CKB,29.7305694322211,-0.0507932360448642,0,NS
Cancer_vs_Healthy,CA3,29.5056932454702,0.277970538722187,0,NS
Cancer_vs_Healthy,FHL1,29.0904947400024,-0.393889689785016,0,NS
Cancer_vs_Healthy,ACTA1,28.3035882039047,0.15780930179185,0,NS
Cancer_vs_Healthy,ENO1,28.4423067245455,0.167429998301674,0,NS
Cancer_vs_Healthy,ENO3,28.3290580869324,-0.137895033950922,0,NS
Cancer_vs_Healthy,ACTB,27.4237881676547,0.891056027088066,0,NS
Cancer_vs_Healthy,PRDX2,27.2854592669249,1.44135596289873,1,Up
Cancer_vs_Healthy,PKM,27.8298455956765,-0.0904471671289073,0,NS
Cancer_vs_Healthy,TPI1,27.7084138613018,-0.0430897082130492,0,NS
Cancer_vs_Healthy,ENO2,27.5496004840924,0.140622181764478,0,NS
Cancer_vs_Healthy,PGAM1,27.4532319364035,0.421023798312465,0,NS
Cancer_vs_Healthy,CASQ1,27.4287359565114,-0.106480833251258,0,NS
Cancer_vs_Healthy,PGK1,27.3810099684963,0.279180613962151,0,NS
Cancer_vs_Healthy,HSPB1,27.3156961768393,-0.115338715201215,0,NS
Cancer_vs_Healthy,MYL1,26.9397983610517,-0.385878575013862,0,NS
Cancer_vs_Healthy,PYGM,27.1919480050698,-0.054214435382832,0,NS
Cancer_vs_Healthy,CRYAB,27.0298863131223,-0.22364832320816,0,NS
Cancer_vs_Healthy,LDHA,26.9825342875295,-0.0341698828020007,0,NS
Cancer_vs_Healthy,MYL2,26.7777599623422,1.4898966568921e-4,0,NS
Cancer_vs_Healthy,AK1,26.9626764365769,0.157689435716634,0,NS
Cancer_vs_Healthy,FABP4,25.0801519079358,1.74051144929631,1,Up
Cancer_vs_Healthy,FABP3,26.9508991630329,-0.0559634765280492,0,NS
Cancer_vs_Healthy,ATP2A1,26.7962775418645,-0.0316063872157635,0,NS
Cancer_vs_Healthy,CA2,26.1896675261168,1.42927835392965,1,Up
Cancer_vs_Healthy,MDH1,26.73195916042,-0.085637069092293,0,NS
Cancer_vs_Healthy,MYH7,26.2399385143299,-0.731810726476319,0,NS
Cancer_vs_Healthy,PGAM2,26.6024306236304,0.100632602915216,0,NS
Cancer_vs_Healthy,PYGB,26.5728499327228,0.0937011536410495,0,NS
Cancer_vs_Healthy,PRDX6,26.2136871638162,0.197063585524045,0,NS
Cancer_vs_Healthy,IDH2,26.4674118383767,-0.24228421598395,0,NS
Cancer_vs_Healthy,MYH2,26.0011815347654,-0.628413876553612,0,NS
Cancer_vs_Healthy,MYLPF,26.0433493148498,0.242154782368154,0,NS
Cancer_vs_Healthy,ATP2A2,26.3241544295901,-0.402075143241259,0,NS
Cancer_vs_Healthy,ATP5F1B,26.3161121383742,-0.0861107951108551,0,NS
Cancer_vs_Healthy,MDH2,26.3019516278704,-0.20160537617268,0,NS
Cancer_vs_Healthy,ATP5F1A,26.1256254921173,-0.210408714003172,0,NS
Cancer_vs_Healthy,MYH1,25.3806397466167,0.114473303103665,0,NS
Cancer_vs_Healthy,PFKM,26.0218823715556,-0.191184898289155,0,NS
Cancer_vs_Healthy,S100A1,25.6503757657212,0.10405131530413,0,NS
Cancer_vs_Healthy,HSPB6,25.8739512071471,-0.236887974621936,0,NS
Cancer_vs_Healthy,EEF1A1,25.8744098105468,0.360538389043601,0,NS
Cancer_vs_Healthy,FBP2,25.7538810620549,0.222759423113953,0,NS
Cancer_vs_Healthy,ARF4,25.8223482400962,0.0267843239529917,0,NS
Cancer_vs_Healthy,SLC25A4,25.7807813884653,-0.0546956462800061,0,NS
Cancer_vs_Healthy,TNNC2,25.3383730311593,0.596430043797717,0,NS
Cancer_vs_Healthy,PGM1,25.8176285713639,0.0758015002288062,0,NS
Cancer_vs_Healthy,YWHAE,25.6517664944144,0.150856778804609,0,NS
Cancer_vs_Healthy,GOT1,25.6814882057729,-0.0700168146436901,0,NS
Cancer_vs_Healthy,CKMT2,25.5549328996158,-0.28713517797998,0,NS
Cancer_vs_Healthy,MYL6,25.2816312427744,0.28292519407686,0,NS
Cancer_vs_Healthy,ATP2A3,24.8698432863442,-0.530175090964466,0,NS
Cancer_vs_Healthy,RPS27A,25.2928107640317,-0.0492612152013763,0,NS
Cancer_vs_Healthy,PDLIM3,25.4774455437483,-0.330258947016372,0,NS
Cancer_vs_Healthy,PEBP1,25.4183302478367,0.113737746499478,0,NS
Cancer_vs_Healthy,TPM2,24.6461975014868,-0.164546843481038,0,NS
Cancer_vs_Healthy,SOD1,25.2795733479522,0.884887347182094,1,Up
Cancer_vs_Healthy,GPI,25.4420652980139,0.0136582130850229,0,NS
Cancer_vs_Healthy,TUBB,25.2185173162745,0.433532126084408,0,NS
Cancer_vs_Healthy,PARK7,25.2869515396905,0.0315847178217332,0,NS
Cancer_vs_Healthy,GOT2,25.2525453830762,-0.142219420303345,0,NS
Cancer_vs_Healthy,MYL3,24.9133610621957,-0.747498193889214,0,NS
Cancer_vs_Healthy,MT-CO2,25.26605364361,-0.235922914123019,0,NS
Cancer_vs_Healthy,PRDX1,25.1926895093778,0.138567164263311,0,NS
Cancer_vs_Healthy,ALDOC,25.1059416747023,-0.102991109812173,0,NS
Cancer_vs_Healthy,CYCS,25.1590562531167,0.386918859124812,0,NS
