consolidated,quadrant,count
Muscle & Contractile,Non-reversed,5
Muscle & Contractile,Reversed Down,1
Cytoskeleton & Motility,Non-reversed,19
Cytoskeleton & Motility,Reversed Down,2
Cytoskeleton & Motility,Reversed Up,6
ECM & Adhesion,Non-reversed,19
ECM & Adhesion,Reversed Up,4
Lipid Metabolism,Non-reversed,8
Lipid Metabolism,Reversed Down,2
Lipid Metabolism,Reversed Up,6
Carbohydrate & Energy Metabolism,Non-reversed,5
Carbohydrate & Energy Metabolism,Reversed Down,2
Carbohydrate & Energy Metabolism,Reversed Up,5
Amino Acid & Cofactor Metabolism,Non-reversed,13
Amino Acid & Cofactor Metabolism,Reversed Down,2
Amino Acid & Cofactor Metabolism,Reversed Up,18
Mitochondria & Energy,Non-reversed,3
Mitochondria & Energy,Reversed Down,6
Protein Homeostasis,Non-reversed,17
Protein Homeostasis,Reversed Down,3
Protein Homeostasis,Reversed Up,8
Transport,Non-reversed,16
Transport,Reversed Down,10
Transport,Reversed Up,10
Translation & Ribosome,Non-reversed,5
Translation & Ribosome,Reversed Down,6
Translation & Ribosome,Reversed Up,2
Transcription & Chromatin,Non-reversed,9
Transcription & Chromatin,Reversed Down,3
Transcription & Chromatin,Reversed Up,6
Immune & Inflammation,Non-reversed,6
Immune & Inflammation,Reversed Down,5
Immune & Inflammation,Reversed Up,5
DNA & Cell Cycle,Non-reversed,14
DNA & Cell Cycle,Reversed Down,4
DNA & Cell Cycle,Reversed Up,4
Circulatory System,Non-reversed,4
Circulatory System,Reversed Down,3
Circulatory System,Reversed Up,1
Development,Non-reversed,11
Development,Reversed Up,2
Other,Non-reversed,12
Other,Reversed Down,6
Other,Reversed Up,10
