uniprot_id,kME,module,gene
P30622,0.9405755367932307,brown,CLIP1
Q02641,0.9076497224989776,brown,CACNB1
Q8N3L3,0.9064740722507467,brown,TXLNB
Q13554,0.8975229575862216,brown,CAMK2B
A8MU46,0.8955330307979132,brown,SMTNL1
Q5VYK3,0.8859701773701568,brown,ECPAS
Q12955,0.8793688470027753,brown,ANK3
Q9NZA1,0.8783279253625056,brown,CLIC5
Q8N1G4,0.8692696781757936,brown,LRRC47
Q99873,0.8644570644863211,brown,PRMT1
Q96MG2,0.8574758420843059,brown,JSRP1
Q86TP1,0.8567520075246348,brown,PRUNE1
Q93034,0.8560648301224718,brown,CUL5
Q9H1R3,0.8503060234066562,brown,MYLK2
Q9Y613,0.8479588788871131,brown,FHOD1
P11171,0.9568041702563144,yellow,EPB41
P30043,0.9549079825368816,yellow,BLVRB
Q00013,0.9441069843974459,yellow,MPP1
P04040,0.9408078525017958,yellow,CAT
P48506,0.9370457942846513,yellow,GCLC
P11277,0.9359218271095218,yellow,SPTB
Q9BWD1,0.9349108080106748,yellow,ACAT2
Q13630,0.9333498284683056,yellow,TSTA3
P00918,0.9316856767920273,yellow,CA2
P07738,0.9279508734516755,yellow,BPGM
P11166,0.9269691798112591,yellow,SLC2A1
P13716,0.9268228028410965,yellow,ALAD
P16157,0.9258221563209784,yellow,ANK1
P27105,0.923144682773222,yellow,STOM
P32119,0.921030706982051,yellow,PRDX2
Q09666,0.9764313300195313,turquoise,AHNAK
P07355,0.9754105464648171,turquoise,ANXA2
Q13813,0.9665555802411923,turquoise,SPTAN1
Q16181,0.9648753008760199,turquoise,SEPTIN7
Q00610,0.9643052969408059,turquoise,CLTC
Q01082,0.9634882526638097,turquoise,SPTBN1
P26038,0.9626093578444516,turquoise,MSN
Q01518,0.9590015521295107,turquoise,CAP1
P04083,0.9574153791805743,turquoise,ANXA1
Q99536,0.952615626954978,turquoise,VAT1
P08670,0.9523925188810963,turquoise,VIM
P23284,0.9508749022060085,turquoise,PPIB
P14625,0.9492321951953636,turquoise,HSP90B1
P13796,0.9470837980131962,turquoise,LCP1
P37802,0.9467275374528694,turquoise,TAGLN2
P53597,0.9442022268207627,blue,SUCLG1
Q9P2R7,0.9350549385557514,blue,SUCLA2
O75947,0.9320260199920714,blue,ATP5PD
P42704,0.9201802134710965,blue,LRPPRC
Q9Y4W6,0.917792982114636,blue,AFG3L2
P30405,0.9171723711018935,blue,PPIF
Q9BUR5,0.9031783734925266,blue,APOO
Q9Y2Z9,0.9016011668318191,blue,COQ6
P03928,0.9000768937254462,blue,MT-ATP8
Q16134,0.8991168930257549,blue,ETFDH
P40926,0.8964806832829586,blue,MDH2
P51553,0.8958387636116879,blue,IDH3G
Q96A26,0.8957122274452171,blue,FAM162A
O60313,0.8945674253269845,blue,OPA1
P07954,0.891114052545334,blue,FH
P07951,0.9325608246090334,red,TPM2
P09493,0.9279609775868788,red,TPM1
Q9NZQ9,0.9258091540007668,red,TMOD4
P20929,0.9207342193243043,red,NEB
P06753,0.920622462902885,red,TPM3
Q9H987,0.9142731770228915,red,SYNPO2L
P17661,0.9137790654363867,red,DES
Q9UBF9,0.9121924650886052,red,MYOT
P13805,0.9090606349857656,red,TNNT1
P68133,0.9010585550600824,red,ACTA1
P19237,0.8999066070763583,red,TNNI1
P24043,0.8948901392339862,red,LAMA2
P35609,0.8921475487769939,red,ACTN2
P63316,0.8909046885661417,red,TNNC1
P05976,0.8902460820145645,red,MYL1
P55268,0.9558405695832393,black,LAMB2
P11047,0.9516468690318169,black,LAMC1
P14543,0.9246493192891401,black,NID1
P12111,0.9245077616374309,black,COL6A3
P12110,0.9240353541568638,black,COL6A2
P12109,0.9114608699847602,black,COL6A1
P60709,0.9104215264399659,black,ACTB
P47756,0.9028626558904385,black,CAPZB
P02585,0.902112051750607,black,TNNC2
O43707,0.8912892577812039,black,ACTN4
P60660,0.8905632678952968,black,MYL6
P08572,0.8834806097623464,black,COL4A2
P48788,0.8765108494746267,black,TNNI2
Q96A32,0.8764318735352047,black,MYLPF
P39059,0.871931615777834,black,COL15A1
P49821,0.9697323577482411,green,NDUFV1
O95299,0.9592068170610473,green,NDUFA10
O00217,0.9447027403632817,green,NDUFS8
O75489,0.9370606362977127,green,NDUFS3
O75306,0.9367367622208892,green,NDUFS2
Q9P0J0,0.9334557301967839,green,NDUFA13
O43181,0.9209431444768683,green,NDUFS4
Q9Y6M9,0.9189931092368754,green,NDUFB9
O75380,0.9188270792154194,green,NDUFS6
Q9UI09,0.9153606419033605,green,NDUFA12
O43920,0.9108010629697254,green,NDUFS5
Q16795,0.9066777551908526,green,NDUFA9
P31930,0.9061975461395054,green,UQCRC1
P28331,0.9021103569502493,green,NDUFS1
P51970,0.8983880771902621,green,NDUFA8
