pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
REACTOME_CARDIAC_CONDUCTION,8.343571581047938e-8,2.1855613826145582e-5,3.6736327256558474,17,26,Reactome,9.122931442080379,brown,Cardiac Conduction,AHCYL1/ATP1A1/ATP1A2/ATP1B1/ATP2A2/ATP2A3/ATP2B2/CACNB1/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/FXYD1/PLN/RYR1/STIM1,17,2.1855613826145582e-5,REACTOME_CARDIAC_CONDUCTION
REACTOME_ION_HOMEOSTASIS,1.3702579201345193e-7,2.1855613826145582e-5,3.745664739884393,16,24,Reactome,9.636363636363637,brown,Ion Homeostasis,AHCYL1/ATP1A1/ATP1A2/ATP1B1/ATP2A2/ATP2A3/ATP2B2/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/FXYD1/PLN/RYR1/STIM1,16,2.1855613826145582e-5,REACTOME_ION_HOMEOSTASIS
GOBP_CALCIUM_ION_TRANSPORT,9.544707050328515e-8,9.239276424718002e-5,2.5242523247046997,31,69,GO:BP,4.040100250626566,brown,Calcium Ion Transport,ATP1A2/ATP1B1/ATP2A2/ATP2A3/ATP2B2/BIN1/CACNA1S/CACNA2D1/CACNB1/CACNB3/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/CUL5/DHRS7C/DMD/HRC/JPH1/JPH2/MYLK/NOL3/PACSIN3/PLN/PPP3CB/RYR1/SRL/STIM1/TMEM38A/UBQLN1,31,9.239276424718002e-5,GOBP_CALCIUM_ION_TRANSPORT
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,7.655272698493099e-7,3.70515198607066e-4,2.3050244553134727,32,78,GO:BP,3.4383827194682914,brown,Regulation Of Monoatomic Ion Transport,AHCYL1/ANK3/ATP1A1/ATP1A2/ATP1B1/BIN1/CAB39/CACNA2D1/CACNB1/CACNB3/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/DHRS7C/DMD/FHL1/FXYD1/HRC/JPH1/JPH2/MYLK/PACSIN3/PLN/PPP3CB/SLMAP/SNTA1/STAC3/STIM1/TMEM38A/UBQLN1,32,3.70515198607066e-4,GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,5.650257396565904e-6,6.008107031681744e-4,3.745664739884393,12,18,Reactome,9.532934131736527,brown,Ion Transport By P Type Atpases,ATP1A1/ATP1A2/ATP1B1/ATP2A2/ATP2A3/ATP2B2/CAMK2A/CAMK2B/CAMK2D/CAMK2G/FXYD1/PLN,12,6.008107031681744e-4,REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES
GOBP_MUSCLE_ORGAN_DEVELOPMENT,2.1319001869356328e-5,0.003439465634922821,2.049098945936756,31,85,GO:BP,2.8138741916519696,brown,Muscle Organ Development,ANKRD2/CACNA1S/CASQ1/CAVIN4/CFL2/CSRP3/DMD/FHL1/FHL3/FLNB/FXR1/JPH1/JPH2/KLHL40/KLHL41/MAPK12/MAPK14/MYH14/MYLK/MYLK2/PPP3CB/PRKAA1/RYR1/SGCA/SGCB/SGCD/SGCG/SMTNL1/STAC3/TRIM72/YBX3,31,0.003439465634922821,GOBP_MUSCLE_ORGAN_DEVELOPMENT
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT,2.9920808563919505e-5,0.004137620384267726,3.175672279467203,13,23,GO:BP,6.199399399399399,brown,Sarcoplasmic Reticulum Calcium Ion Transport,ATP1A2/ATP2A2/CAMK2D/CASQ1/DHRS7C/DMD/HRC/JPH1/JPH2/NOL3/PLN/RYR1/TMEM38A,13,0.004137620384267726,GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT
GOBP_CALCIUM_MEDIATED_SIGNALING,3.4521434643556996e-5,0.004177093591870396,2.593152512227657,18,39,GO:BP,4.121080139372823,brown,Calcium Mediated Signaling,ATP1A2/ATP1B1/ATP2A2/CAMK2D/CASQ1/DMD/GSK3B/HRC/JPH1/JPH2/LMCD1/MAPT/PLN/PPP3CB/PRKAA1/RYR1/SGCD/TMEM38A,18,0.004177093591870396,GOBP_CALCIUM_MEDIATED_SIGNALING
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,9.418383666289585e-5,0.007758030967685649,2.057477814866075,26,71,GO:BP,2.804027777777778,brown,Regulation Of Muscle System Process,ATP1A1/ATP1A2/ATP1B1/ATP2A2/BIN1/C12orf57/CACNA1S/CACNA2D1/CACNB1/CACNB3/CAMK2B/CAMK2D/CAMK2G/CASQ1/DMD/HRC/JPH1/JPH2/LMCD1/MYLK2/NOL3/PARP1/PLN/PRKG1/STUB1/TMEM38A,26,0.007758030967685649,GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,9.467059999222114e-5,0.007758030967685649,3.2528141162153936,11,19,GO:BP,6.526119402985074,brown,Cardiac Muscle Cell Action Potential,ANK3/ATP1A1/ATP1A2/ATP1B1/ATP2A2/BIN1/CACNA2D1/CAMK2D/DMD/SLMAP/SNTA1,11,0.007758030967685649,GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL
