pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
GOBP_ACTIN_FILAMENT_ORGANIZATION,5.698670666299805e-8,7.767288118166634e-5,0.7195128263389107,0.5067995146334277,2.222404105383741,96,RHOC;ACTR2;ACTR3;ARPC2;FSCN1;CALD1;IQGAP1;TMOD4;PAK2;ARPC1B;ARF1;ARF6;TPM4;GSN;ZYX;PLS3;DNM2;SYNPO2L;DPYSL3;CAPZB;HSP90B1;EZR;CAPZA1;PLEC;MYL9;LCP1;CTTN;MARCKS;CNN3;TAGLN2;CAPZA2;TTN;RHOG;SNX9;TCAP;CNN2;CAP1;SPTAN1;TMOD1;ARPC3;SPTBN1;TPM1;ARRB1;S100A10;DSTN;ACTA1;TPM2;PFN1;ALDOA;MYO6;ACTN1;TPM3;MTPN;NEB;FLNA;RHOA,GO:BP,Training_CRE
GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,2.9376096533204565e-6,4.7488422798714535e-4,0.6272567397185284,0.6481170480946674,2.263876997279662,32,RPL35A;RPL23A;RPL4;RPL37A;RPL27;RPL5;RPL7;RPL18A;RPL31;RPL9;RPL11;RPL35;RPL10A;RPL30;RPL15;RPLP0;RPLP2;RPL12;RPL6;RPL13,GO:BP,Training_CRE
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,2.8059401803359144e-6,4.7488422798714535e-4,0.6272567397185284,0.46149022315106103,2.053609232036255,104,RPL35A;RPL23A;RPL4;RPL37A;CAV2;IGFBP5;ACTN3;RPL27;CAPN2;RPL5;OBSCN;CACYBP;TMOD4;HNRNPU;RPL7;SYNPO2L;MYH9;RPL18A;COL6A1;RPL31;MYOZ1;CALR;RPL9;RPL11;PLEC;RPL35;CSRP3;MYL9;RPL10A;RPL30;YBX1;TTN;MYBPH;RPL15;RPLP0;RPLP2;TCAP;RPL12;TMOD1;RPL6;RPL13;LDB3;TPM1;TNNT3;ACTA1,GO:BP,Training_CRE
GOSLIM_CYTOPLASMIC_TRANSLATION,3.0658850902337973e-6,4.7488422798714535e-4,0.6272567397185284,0.43378342310662144,1.9755643013412625,119,RPL35A;SYNCRIP;RPL23A;HNRNPD;RPL4;RPL37A;RPL27;RPS9;RPL5;RPS6;PKM;HNRNPU;RPL7;RPS2;RPS13;RPS3;RPL18A;RPL31;RPL9;RPL11;ABCE1;SH3BGRL;RPL35;PABPC1;RPL10A;EIF5;RPS14;EPRS1;GAPDH;RPS12;RPL30;DDRGK1;RPS15A;YBX1;RPL15;RPLP0;RPS8;RPLP2;UFSP2;RPL12;EIF3F;RPL6;RPL13;DHX9;EIF3B;RPS24;RPS26;EIF2S2;RPS10;RPS4X;RPS16;ETF1;NPM1;RPS28;RPL17;RPLP1;SARS1;RPL38;RPL18;RPS27A,GO Slim,Training_CRE
REACTOME_EPH_EPHRIN_SIGNALING,1.8199240095472897e-6,4.7488422798714535e-4,0.6435518361507222,0.6938342112380664,2.3052854622390586,26,ACTR2;ACTR3;ARPC2;PAK2;ARPC1B;CLTC;MYH9;AP2B1;MYL9;MYL12B;ACTB;CLTB;AP2M1;AP2A1;ARPC3;MYL6,Reactome,Training_CRE
REACTOME_MRNA_3_END_PROCESSING,2.0883098181931246e-6,4.7488422798714535e-4,0.6272567397185284,0.6389994351323598,2.2687581602255826,34,RBMX;HNRNPD;HNRNPM;SNRPB;PTBP1;HNRNPU;SNRPD2;PUF60;HNRNPR;HNRNPL;PCBP2;YBX1;SRSF3;HNRNPC,Reactome,Training_CRE
REACTOME_MRNA_SPLICING,2.6828086593117095e-6,4.7488422798714535e-4,0.6272567397185284,0.6178362609682326,2.259404413526907,39,RBMX;HNRNPD;LSM3;HNRNPM;SNRPB;LSM6;PTBP1;HNRNPU;SNRPD2;PUF60;HNRNPR;HNRNPL;PCBP2;YBX1;SRSF3;HNRNPC,Reactome,Training_CRE
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,2.17267457002246e-6,4.7488422798714535e-4,0.6272567397185284,0.5113061602440314,2.134154062892952,72,RPL35A;SSR4;RPL23A;RPL4;RPL37A;RPL27;RPS9;RPL5;RPS6;RPL7;RPS2;RPS13;RPS3;RPL18A;RPL31;RPL9;RPL11;SRP14;RPL35;RPL10A;RPS14;RPS12;RPL30;RPS15A;RPL15;RPLP0;RPS8;RPLP2;SRP9;RPL12;RPL6;RPL13;RPS24;RPS26;RPS10;RPS4X;DDOST;RPS16;RPS28;RPL17;RPLP1;RPL38;RPL18;RPS27A,Reactome,Training_CRE
REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS,4.705648876622661e-6,5.344832849030572e-4,0.610526878385931,0.568672279728576,2.207193710247403,51,RBMX;HNRNPD;HNRNPM;DYNLT1;CAMK2D;SNRPB;HSP90AB1;PTBP1;HNRNPU;SNRPD2;HNRNPUL1;PUF60;HNRNPR;HNRNPL;HSP90AA1;PCBP2;YBX1;TRIM25;SRSF3;HNRNPC;CAMK2B;DHX9;PDCD6IP;HSPA8;VIM;PPIL1;HNRNPA2B1;RPL18,Reactome,Training_CRE
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,6.35622823910581e-6,6.1882422070723e-4,0.610526878385931,0.5172281146987725,2.104103080428434,63,RPL35A;RPL23A;RPL4;RPL37A;RPL27;RPS9;RPL5;RPS6;RPL7;RPS2;RPS13;RPS3;RPL18A;RPL31;RPL9;RPL11;RPL35;RPL10A;RPS14;RPS12;RPL30;RPS15A;RPL15;RPLP0;RPS8;RPLP2;RPL12;RPL6;RPL13;RPS24;RPS26;RPS10;RPS4X;RPS16;RPS28;RPL17;RPLP1;RPL38;RPL18;RPS27A,KEGG,Training_CRE
GOBP_MYOTUBE_DIFFERENTIATION,8.46444021017219e-6,6.786489415567468e-4,0.5933254763964051,0.5463497913242064,2.148061925158411,54,RPL35A;RPL23A;RPL4;RPL37A;CAV2;ACTN3;RPL27;CAPN2;RPL5;RPL7;MYH9;RPL18A;COL6A1;RPL31;RPL9;RPL11;PLEC;RPL35;RPL10A;RPL30;RPL15;RPLP0;RPLP2;RPL12;RPL6;RPL13,GO:BP,Training_CRE
REACTOME_RRNA_PROCESSING,8.300017602022774e-6,6.786489415567468e-4,0.5933254763964051,0.5041173685835441,2.079742652907687,68,RPL35A;RPL23A;RPL4;RPL37A;RPL27;RPS9;RPL5;RPS6;RPL7;RPS2;RPS13;RPS3;RPL18A;RPL31;RPL9;RPL11;RPL35;RPL10A;RPS14;RPS12;RPL30;RPS15A;RPL15;RPLP0;RPS8;RPLP2;RPL12;HSD17B10;RPL6;RPL13;RPS24;RPS26;RPS10;RPS4X;RPS16;RPS28;RPL17;RPLP1;RPL38;RPL18;RPS27A,Reactome,Training_CRE
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,1.3896807218599102e-5,9.330836255433861e-4,0.5933254763964051,0.7250381815400049,2.185660829253384,18,RBMX;HNRNPM;PTBP1;HNRNPU;HNRNPUL1;PUF60;HNRNPL;SRSF3;DDX17;KHDRBS1;DHX9,GO:BP,Training_CRE
