uniprot_id,protein,gene,description,gene_symbol,CR6_T1,CR6_T2,CR7_T2,CR8_T1,CR8_T2,CR10_T2,CR12_T1,CR12_T2,CR15_T1,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR25_T1,CR25_T2,CR72_T1,CR72_T2,CR149_T1,CR149_T2,CR163_T1,CR163_T2,CR383_T1,CR386_T2,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi
P02144,MYG_HUMAN,MB,Myoglobin,"=""""",32.1268586845201,31.6817867286278,31.6394650561733,30.7024766248519,31.4566305483381,31.9828605630076,32.1401425870284,31.634117647414,31.5266042535451,31.7439239974008,31.3995928994084,31.1906178815806,31.6035895394888,31.5395356974446,31.4747449725904,31.7746477145083,31.7306959378697,31.7219030028454,31.5405246680108,31.4629389313185,30.9138774659445,31.810653968491,31.4249081851163,31.899378188767,31.8026012220793,0.0872652076641529,-0.418103301995584,0.59263371732389,31.5970030786548,0.355636719355723,-4.82011625798943,0.725096455783164,0.998923118989502,0,0,0.9723383362416324,0
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,"=""""",31.159031542043,30.8134179972013,31.1506632590576,31.0107275028998,31.2316206481367,31.0087269736135,30.7721607451701,30.8391312862589,30.9316794783175,31.0921477160035,31.1738361816879,30.9251333754469,31.1807549710542,31.2065273990373,31.1620084738511,30.8702525306824,30.8318181933452,30.8901981849727,30.9529639146501,31.4437849174176,31.2551954363866,30.8338685586335,30.7990945658741,30.886485162409,31.3857649969881,0.0275327544860033,-0.300576263220742,0.355641772192749,31.0322797604455,0.172824433161378,-4.83983484885572,0.864181258344908,0.998923118989502,0,0,0.9959890338200661,0
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,"=""""",30.0814079240536,30.0271926310535,29.7920033362848,30.0898107560767,30.1492531434852,30.1442410235499,29.9882612423687,29.9805896848802,30.1266473225955,30.0970027001662,30.1695737561363,30.1628729056747,30.1695618375153,30.2313624657969,30.274245960923,29.9390760149771,30.0675479452469,30.2546384145452,30.5105953231534,30.2822956478903,30.3255607094035,29.8755936428709,29.8734964037755,30.0565351367863,30.2917400007801,0.0886606596218584,-0.223777393785422,0.401098713029139,30.1184442371996,0.58444100701134,-4.77664873204348,0.564161943309181,0.998923118989502,0,0,0.9505157023750167,0
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,"=""""",29.9588290735786,30.036332230584,29.9292530363384,30.033968819334,29.8704030837844,30.1593946679961,29.767091052266,29.8854228836246,30.2873429025517,29.9610952168042,30.0034107379158,29.9748571211054,30.2759909515542,30.1385672705181,30.3497409507666,30.107819465569,30.1078483804044,30.1597434226204,30.4672421560411,29.8322394841908,30.1113136549006,29.8398026415647,29.9077253793651,29.6016584071675,29.9071843609045,0.0523253208179213,-0.291958099574635,0.396608741210477,30.026971094058,0.313018089561689,-4.82592003848229,0.756863798297528,0.998923118989502,0,0,0.985529353519591,0
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,"=""""",29.5102279225827,29.6175727825303,29.5728344461378,30.6008682043609,30.4153832902238,29.4466453075672,29.5937583143733,29.4607437969937,30.1894972653563,29.5835406262461,29.4881797249129,29.3302986627423,29.2014890093925,29.2162911607389,29.3759289608652,29.5419028996386,29.5238778232467,29.6243690058718,29.469624962378,29.7783538626266,30.0410407080166,30.2595905589706,30.275301594845,29.6985364755186,29.9121621752668,-0.0523811843530133,-0.562281338434431,0.457518969728405,29.7091207816561,-0.211574740162666,-4.83678659264989,0.834154440396552,0.998923118989502,0,0,0.9905463376911907,0
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,"=""""",29.6794243861602,29.6530794869186,30.0108770479458,29.5488222673083,29.4789576825453,29.5677365084375,30.2796854771937,29.8197298447406,29.3751635998518,29.9300186239517,29.8405025286826,29.6043926369015,30.0593000990063,29.2827775904915,29.530371584593,29.1736476002112,29.1341998101178,28.9353536138579,29.2741122488922,29.6833287053288,29.5919397555348,29.4474662392467,29.8623636650456,29.5151291904996,29.6205474695777,-0.047935414942291,-0.483997745349186,0.388126915464604,29.5959571065216,-0.226402681001916,-4.83545849957156,0.82272947968896,0.998923118989502,0,0,0.9906900746037856,0
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,"=""""",29.333059656871,29.2401544326052,29.157099774856,28.0706021370211,29.2398802508615,29.2352181379046,29.432916148355,29.263811403009,28.6506914581097,29.1235591434236,29.3846337041812,28.8920980017816,29.2027295453294,28.5786712326478,28.3591652824339,28.6719071393521,29.1479368917509,28.9374890979954,28.5427609850273,28.7743205500287,29.4486911419364,28.9730470303529,28.9300201948148,29.5224830272283,28.9681756197547,-0.187735752856842,-0.727870756978365,0.352399251264681,29.0032448795053,-0.715843871279841,-4.74254082579339,0.480722240232584,0.998923118989502,0,0,0.8715256450308465,0
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle","=""""",27.7678275550127,31.8815465127658,28.2485417094902,26.9517606857724,26.3811736960949,27.4905720483076,28.0816886598159,30.0471715843505,28.2600362986774,27.8786774036194,29.9402923391701,29.8851280875545,27.8137858691391,28.3279960357399,27.3669881598576,28.2730352489543,31.164724256835,27.8041129027772,27.9320356402917,27.9956115544217,28.1492066595301,28.4391434797071,28.455820129772,28.2025644228918,28.3613407584756,-0.367126012763332,-2.10295351519649,1.36870148966982,28.444031267961,-0.435594350234888,-4.80726933485004,0.66686962125848,0.998923118989502,0,0,0.8617888080502863,0
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,"=""""",28.2051806882033,28.2342720729362,28.1594305668895,28.3909007479754,27.8676579613528,28.3688509648719,28.4303110615043,28.6761096340217,29.4103359167141,28.0462034994225,28.2892478784286,28.4511105833693,28.4050577937885,28.9587696040018,28.5111950146936,28.6999977883067,28.8030282726212,28.5181699120417,29.1815589838431,28.5371624289891,28.4579236186999,28.3177037419513,28.047889528177,28.2906966271654,28.6951834246349,0.0740474841717003,-0.451827641990471,0.599922610333871,28.4781579325842,0.290002221028078,-4.8287505033808404,0.774206748212162,0.998923118989502,0,0,0.9812284616980081,0
P13929,ENOB_HUMAN,ENO3,Beta-enolase,"=""""",28.3459709303846,28.0746428267159,27.9413918283513,28.1315346071139,27.9457589333861,28.5451226340123,28.1375400795203,28.1568420797592,28.1782790419848,28.2149494525476,28.1986036900364,28.1782398656627,28.1177200109341,28.2058329518427,28.5671309652942,28.6836040139508,28.733218374861,28.7034498883977,28.8798079793228,27.9353812264228,27.9398829561546,28.1893561747184,28.3143042688532,28.7875808191727,28.1496973366429,0.155216686349934,-0.224461060708733,0.534894433408602,28.2902337174417,0.841970565932685,-4.7037703869444,0.40778834173524803,0.998923118989502,0,0,0.8700275026094962,0
