uniprot_id,protein,gene,description,gene_symbol,CR6_T1,CR6_T2,CR7_T2,CR8_T1,CR8_T2,CR10_T2,CR12_T1,CR12_T2,CR15_T1,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR25_T1,CR25_T2,CR72_T1,CR72_T2,CR149_T1,CR149_T2,CR163_T1,CR163_T2,CR383_T1,CR386_T2,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi
P02144,MYG_HUMAN,MB,Myoglobin,"=""""",32.1268586845201,31.6817867286278,31.6394650561733,30.7024766248519,31.4566305483381,31.9828605630076,32.1401425870284,31.634117647414,31.5266042535451,31.7439239974008,31.3995928994084,31.1906178815806,31.6035895394888,31.5395356974446,31.4747449725904,31.7746477145083,31.7306959378697,31.7219030028454,31.5405246680108,31.4629389313185,30.9138774659445,31.810653968491,31.4249081851163,31.899378188767,31.8026012220793,-0.143965910837501,-0.527098988920217,0.239167167245215,31.5970030786548,-0.77389789644086,-5.28880045158124,0.446249520413887,0.942899809241619,0,0,0.890330278904914,0
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,"=""""",31.159031542043,30.8134179972013,31.1506632590576,31.0107275028998,31.2316206481367,31.0087269736135,30.7721607451701,30.8391312862589,30.9316794783175,31.0921477160035,31.1738361816879,30.9251333754469,31.1807549710542,31.2065273990373,31.1620084738511,30.8702525306824,30.8318181933452,30.8901981849727,30.9529639146501,31.4437849174176,31.2551954363866,30.8338685586335,30.7990945658741,30.886485162409,31.3857649969881,0.0191479441951721,-0.229600079272537,0.267895967662882,31.0322797604455,0.15853901668237,-5.53944233834321,0.875306023999742,0.994135012624574,0,0,0.9974530928952149,0
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,"=""""",30.0814079240536,30.0271926310535,29.7920033362848,30.0898107560767,30.1492531434852,30.1442410235499,29.9882612423687,29.9805896848802,30.1266473225955,30.0970027001662,30.1695737561363,30.1628729056747,30.1695618375153,30.2313624657969,30.274245960923,29.9390760149771,30.0675479452469,30.2546384145452,30.5105953231534,30.2822956478903,30.3255607094035,29.8755936428709,29.8734964037755,30.0565351367863,30.2917400007801,-0.00838929238817343,-0.245256748163565,0.228478163387218,30.1184442371996,-0.0729446729303827,-5.54821507130798,0.942430727075985,0.994135012624574,0,0,0.9995026985438528,0
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,"=""""",29.9588290735786,30.036332230584,29.9292530363384,30.033968819334,29.8704030837844,30.1593946679961,29.767091052266,29.8854228836246,30.2873429025517,29.9610952168042,30.0034107379158,29.9748571211054,30.2759909515542,30.1385672705181,30.3497409507666,30.107819465569,30.1078483804044,30.1597434226204,30.4672421560411,29.8322394841908,30.1113136549006,29.8398026415647,29.9077253793651,29.6016584071675,29.9071843609045,0.081973643173999,-0.179036617787171,0.342983904135169,30.026971094058,0.64683021964446,-5.36695724221036,0.523637734089588,0.95384057549481,0,0,0.9483484574174204,0
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,"=""""",29.5102279225827,29.6175727825303,29.5728344461378,30.6008682043609,30.4153832902238,29.4466453075672,29.5937583143733,29.4607437969937,30.1894972653563,29.5835406262461,29.4881797249129,29.3302986627423,29.2014890093925,29.2162911607389,29.3759289608652,29.5419028996386,29.5238778232467,29.6243690058718,29.469624962378,29.7783538626266,30.0410407080166,30.2595905589706,30.275301594845,29.6985364755186,29.9121621752668,-0.019052387817549,-0.405621023998699,0.367516248363601,29.7091207816561,-0.10150710544088801,-5.54600814486988,0.919957805059409,0.994135012624574,0,0,0.9984117699839412,0
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,"=""""",29.6794243861602,29.6530794869186,30.0108770479458,29.5488222673083,29.4789576825453,29.5677365084375,30.2796854771937,29.8197298447406,29.3751635998518,29.9300186239517,29.8405025286826,29.6043926369015,30.0593000990063,29.2827775904915,29.530371584593,29.1736476002112,29.1341998101178,28.9353536138579,29.2741122488922,29.6833287053288,29.5919397555348,29.4474662392467,29.8623636650456,29.5151291904996,29.6205474695777,0.118104738680749,-0.212485513167756,0.448694990529254,29.5959571065216,0.735784992335158,-5.31364167913193,0.468710408842452,0.942899809241619,0,0,0.9143916963884184,0
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,"=""""",29.333059656871,29.2401544326052,29.157099774856,28.0706021370211,29.2398802508615,29.2352181379046,29.432916148355,29.263811403009,28.6506914581097,29.1235591434236,29.3846337041812,28.8920980017816,29.2027295453294,28.5786712326478,28.3591652824339,28.6719071393521,29.1479368917509,28.9374890979954,28.5427609850273,28.7743205500287,29.4486911419364,28.9730470303529,28.9300201948148,29.5224830272283,28.9681756197547,0.284282689754011,-0.125207776616032,0.693773156124055,29.0032448795053,1.42981637476208,-4.6850658410509904,0.165150920761261,0.849595139049958,0,0,0.5993177036252856,0
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle","=""""",27.7678275550127,31.8815465127658,28.2485417094902,26.9517606857724,26.3811736960949,27.4905720483076,28.0816886598159,30.0471715843505,28.2600362986774,27.8786774036194,29.9402923391701,29.8851280875545,27.8137858691391,28.3279960357399,27.3669881598576,28.2730352489543,31.164724256835,27.8041129027772,27.9320356402917,27.9956115544217,28.1492066595301,28.4391434797071,28.455820129772,28.2025644228918,28.3613407584756,0.823859081946971,-0.492117124159788,2.13983528805373,28.444031267961,1.28937291279237,-4.84088452648114,0.209072628822102,0.900280238255423,0,0,0.2754359720725978,0
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,"=""""",28.2051806882033,28.2342720729362,28.1594305668895,28.3909007479754,27.8676579613528,28.3688509648719,28.4303110615043,28.6761096340217,29.4103359167141,28.0462034994225,28.2892478784286,28.4511105833693,28.4050577937885,28.9587696040018,28.5111950146936,28.6999977883067,28.8030282726212,28.5181699120417,29.1815589838431,28.5371624289891,28.4579236186999,28.3177037419513,28.047889528177,28.2906966271654,28.6951834246349,-0.101161118957581,-0.499840799077154,0.297518561161992,28.4781579325842,-0.522592495645751,-5.43032167512189,0.605859347136179,0.969119024742657,0,0,0.9505708431192129,0
P13929,ENOB_HUMAN,ENO3,Beta-enolase,"=""""",28.3459709303846,28.0746428267159,27.9413918283513,28.1315346071139,27.9457589333861,28.5451226340123,28.1375400795203,28.1568420797592,28.1782790419848,28.2149494525476,28.1986036900364,28.1782398656627,28.1177200109341,28.2058329518427,28.5671309652942,28.6836040139508,28.733218374861,28.7034498883977,28.8798079793228,27.9353812264228,27.9398829561546,28.1893561747184,28.3143042688532,28.7875808191727,28.1496973366429,-0.0956871727376445,-0.383530797992492,0.192156452517203,28.2902337174417,-0.684653373814899,-5.34509026456508,0.499862426779626,0.942899809241619,0,0,0.9358017545737499,0
P60709,ACTB_HUMAN,ACTB,"Actin, cytoplasmic 1","=""""",26.8355837779872,30.3381436809754,27.0992726818536,26.2360468036216,25.8895975866923,26.999800956265,27.1891923921805,28.6487115074075,29.3527486075411,26.9580967231876,28.7716581169085,28.3165656347498,27.1732859383998,28.5006291191619,27.2940361573078,27.8319258188139,29.5859566689995,27.3578886465643,29.201801575226,27.415212713215,27.6270571856389,26.9115433629297,27.0790977157088,26.9223478747587,28.500360087053,0.663428094470003,-0.482618070104615,1.80947425904462,27.7614624533259,1.19224467785843,-4.94056588077164,0.244361577242713,0.904370561109697,0,0,0.3926484125771822,0
P32119,PRDX2_HUMAN,PRDX2,Peroxiredoxin-2,"=""""",27.2338793785109,27.1840179692474,27.772934057703,26.8155279292249,27.2429427424693,26.8025895153753,26.7299430462092,27.4961751907782,28.9318876460085,27.6736734632785,27.6011043266159,26.4733409207679,28.6315847209412,29.4827117187646,28.2142494996336,28.7616797498988,27.3670884385198,27.6786184481619,29.3808466618525,28.5141994591224,27.1188576676223,26.948876642797,27.3192020846536,26.6707902949466,28.6070257693338,0.0789002168883677,-0.872099974674257,1.02990040845099,27.7061498936975,0.17087213202446,-5.53764453336634,0.865699982515192,0.994135012624574,0,0,0.9886857506434065,0
