uniprot_id,gene,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
P02144,MB,0,0,31.381327779816434,NA,NA,NA,NA,Complete,TRUE,NA
P06732,CKM,0,0,30.666577333755765,NA,NA,NA,NA,Complete,TRUE,NA
P04075,ALDOA,0,0,29.838798313498536,NA,NA,NA,NA,Complete,TRUE,NA
P04406,GAPDH,0,0,29.74460162201308,NA,NA,NA,NA,Complete,TRUE,NA
P12277,CKB,0,0,29.545754217157885,NA,NA,NA,NA,Complete,TRUE,NA
P07451,CA3,0,0,29.315121063987732,NA,NA,NA,NA,Complete,TRUE,NA
Q13642,FHL1,0,0,28.838091024537345,NA,NA,NA,NA,Complete,TRUE,NA
P68133,ACTA1,0,0,28.1412304402244,NA,NA,NA,NA,Complete,TRUE,NA
P06733,ENO1,0,0,28.401732833639105,NA,NA,NA,NA,Complete,TRUE,NA
P13929,ENO3,0,0,27.99488950056099,NA,NA,NA,NA,Complete,TRUE,NA
P60709,ACTB,0,0,27.521074083442375,NA,NA,NA,NA,Complete,TRUE,NA
P32119,PRDX2,0,0,27.424351174051193,NA,NA,NA,NA,Complete,TRUE,NA
P14618,PKM,0,0,27.602190298402768,NA,NA,NA,NA,Complete,TRUE,NA
P60174,TPI1,0,0,27.513262684256546,NA,NA,NA,NA,Complete,TRUE,NA
P09104,ENO2,0,0,27.347494402933602,NA,NA,NA,NA,Complete,TRUE,NA
P18669,PGAM1,0,0,27.37455793824527,NA,NA,NA,NA,Complete,TRUE,NA
P31415,CASQ1,1,2.631578947368421,27.232023409689056,0,0,0,0,MAR,TRUE,NA
P00558,PGK1,0,0,27.236963072271255,NA,NA,NA,NA,Complete,TRUE,NA
P04792,HSPB1,0,0,27.185769482421644,NA,NA,NA,NA,Complete,TRUE,NA
P05976,MYL1,1,2.631578947368421,26.678897040003356,0,0,0,0,MAR,TRUE,NA
P11217,PYGM,0,0,26.849121434782216,NA,NA,NA,NA,Complete,TRUE,NA
P02511,CRYAB,0,0,26.950380109260657,NA,NA,NA,NA,Complete,TRUE,NA
P00338,LDHA,0,0,26.875039177399017,NA,NA,NA,NA,Complete,TRUE,NA
