contrast,type,sig.PVal,sig.FDR,sig.Pi,sig.FDR.05,sig.FDR.10,pval_thresh,lfc_thresh,p_adj_method
Baseline_Supplement,up,186,0,39,0,0,0.1,0,BH
Baseline_Supplement,down,163,0,73,0,0,0.1,0,BH
Baseline_Supplement,nonsig,2116,2465,2430,2465,2465,0.1,0,BH
Training_CRE,up,133,0,52,0,0,0.1,0,BH
Training_CRE,down,112,0,20,0,0,0.1,0,BH
Training_CRE,nonsig,2255,2500,2470,2500,2500,0.1,0,BH
Training_PLA,up,202,0,61,0,0,0.1,0,BH
Training_PLA,down,173,2,63,0,2,0.1,0,BH
Training_PLA,nonsig,2041,2414,2418,2416,2414,0.1,0,BH
Supplement_Interaction,up,168,1,101,1,1,0.1,0,BH
Supplement_Interaction,down,166,0,70,0,0,0.1,0,BH
Supplement_Interaction,nonsig,2067,2400,2371,2400,2400,0.1,0,BH
