"gene","cv_t1","cv_t2","delta_cv","group"
"MB",44.0199086296992,18.9655974211226,-25.0543112085767,"CR (pooled)"
"CKM",35.2816411050953,17.1259847764429,-18.1556563286524,"CR (pooled)"
"ALDOA",12.0135088883423,11.0751338574912,-0.938375030851072,"CR (pooled)"
"GAPDH",20.746601409342,11.7892688158789,-8.9573325934631,"CR (pooled)"
"CKB",38.7060256921511,30.8410656893391,-7.86496000281196,"CR (pooled)"
"CA3",74.7907988047852,19.8432616714049,-54.9475371333802,"CR (pooled)"
"FHL1",32.280554357459,21.4951783537146,-10.7853760037443,"CR (pooled)"
"ACTA1",59.6225791266464,135.964569573099,76.3419904464523,"CR (pooled)"
"ENO1",111.397406832802,62.5930762052155,-48.8043306275868,"CR (pooled)"
"ENO3",43.561913237714,28.251689244812,-15.310223992902,"CR (pooled)"
"ACTB",178.373382072886,104.904976960741,-73.4684051121449,"CR (pooled)"
"PRDX2",197.301178584031,165.391403792981,-31.9097747910494,"CR (pooled)"
"PKM",24.0329398589454,14.8856882023293,-9.14725165661615,"CR (pooled)"
"TPI1",22.7506747193089,16.42612527357,-6.32454944573884,"CR (pooled)"
"ENO2",49.4550777248995,30.2610356152649,-19.1940421096346,"CR (pooled)"
"PGAM1",75.373348575076,32.4753978812713,-42.8979506938047,"CR (pooled)"
"CASQ1",19.9880493682114,21.1208269435048,1.13277757529345,"CR (pooled)"
"PGK1",15.9726283981241,23.4109975880329,7.43836918990886,"CR (pooled)"
"HSPB1",53.6234193971288,29.6068816843884,-24.0165377127405,"CR (pooled)"
"MYL1",66.7145404381643,114.997214607722,48.2826741695578,"CR (pooled)"
"PYGM",49.2509079068225,29.1522404724188,-20.0986674344037,"CR (pooled)"
"CRYAB",80.2110866736132,25.5670196460685,-54.6440670275448,"CR (pooled)"
"LDHA",30.376456113317,39.1103708470066,8.73391473368963,"CR (pooled)"
"MYL2",50.5332107935498,68.5924358799889,18.0592250864392,"CR (pooled)"
"AK1",24.1459725325411,21.9344664000684,-2.21150613247271,"CR (pooled)"
"FABP4",198.977320098021,238.406136686366,39.4288165883452,"CR (pooled)"
"FABP3",49.6360913699044,34.9294456761226,-14.7066456937818,"CR (pooled)"
"ATP2A1",32.9849076339633,30.7973017708131,-2.1876058631502,"CR (pooled)"
"CA2",108.125167206978,161.402578373776,53.2774111667975,"CR (pooled)"
"MDH1",27.1776166301123,25.298459323492,-1.87915730662023,"CR (pooled)"
"MYH7",91.8110981585452,129.967400386154,38.1563022276088,"CR (pooled)"
"PGAM2",32.4045970130847,28.1211722417025,-4.28342477138226,"CR (pooled)"
"PYGB",37.8836284791621,20.2843433675401,-17.599285111622,"CR (pooled)"
"PRDX6",48.0231362679357,47.9904144150823,-0.0327218528533706,"CR (pooled)"
"IDH2",49.9931474158693,32.005293743236,-17.9878536726333,"CR (pooled)"
"MYH2",82.5151016956136,144.934283342859,62.4191816472456,"CR (pooled)"
"ATP2A2",41.8957442556309,34.718550480663,-7.17719377496795,"CR (pooled)"
"ATP5F1B",35.93830447722,30.145498046476,-5.79280643074403,"CR (pooled)"
"MDH2",38.7227921117411,33.6459670854334,-5.07682502630774,"CR (pooled)"
"ATP5F1A",45.4676668347774,25.8753860423383,-19.5922807924391,"CR (pooled)"
"MYH1",111.140541019996,143.720596895589,32.5800558755927,"CR (pooled)"
"PFKM",46.8771785399461,27.0163172215135,-19.8608613184325,"CR (pooled)"
"S100A1",39.713522061291,122.159996029749,82.4464739684576,"CR (pooled)"
"HSPB6",56.1050268356706,25.3818171134272,-30.7232097222433,"CR (pooled)"
"EEF1A1",70.0080197037094,57.175163966282,-12.8328557374273,"CR (pooled)"
"FBP2",35.177204639213,43.4808961006635,8.30369146145055,"CR (pooled)"
"ARF4",61.8126829080724,41.4639674075083,-20.3487155005641,"CR (pooled)"
"SLC25A4",56.4773618566985,49.866697617912,-6.61066423878654,"CR (pooled)"
"TNNC2",57.946166296891,124.881806429951,66.9356401330599,"CR (pooled)"
"PGM1",31.7102497499001,21.7100140930236,-10.0002356568765,"CR (pooled)"
"YWHAE",54.8647260649105,54.0246206337443,-0.84010543116618,"CR (pooled)"
"GOT1",47.844883596695,39.9066134298328,-7.93827016686219,"CR (pooled)"
"CKMT2",66.9682425263312,56.0092949521227,-10.9589475742085,"CR (pooled)"
"MYL6",142.652154984104,85.9356474507057,-56.7165075333979,"CR (pooled)"
"ATP2A3",33.0654035476205,46.2552809390024,13.1898773913819,"CR (pooled)"
"RPS27A",82.4618298019592,61.3101845470588,-21.1516452549004,"CR (pooled)"
"PDLIM3",48.5958662824532,31.0062168919541,-17.5896493904991,"CR (pooled)"
"PEBP1",34.4284419333932,23.966367139564,-10.4620747938292,"CR (pooled)"
"TPM2",99.2773198228632,157.0895391077,57.812219284837,"CR (pooled)"
"SOD1",63.8173071189423,73.3335335382106,9.51622641926838,"CR (pooled)"
"TUBB",96.597670937292,81.8647247029943,-14.7329462342978,"CR (pooled)"
"PARK7",19.3383495354204,19.7717865411551,0.433437005734714,"CR (pooled)"
"GOT2",62.6674128104566,47.6414741732126,-15.025938637244,"CR (pooled)"
"MYL3",85.8775506938698,131.455204058218,45.5776533643481,"CR (pooled)"
"MT-CO2",40.3011473449976,24.2320679441597,-16.0690794008379,"CR (pooled)"
"PRDX1",42.6732805587555,53.2112484631626,10.5379679044071,"CR (pooled)"
"ALDOC",32.6179731275552,25.0939234676286,-7.52404965992658,"CR (pooled)"
"CYCS",42.3973444145423,42.4370748003814,0.0397303858390075,"CR (pooled)"
"TPM1",104.243923525759,168.412508823372,64.1685852976123,"CR (pooled)"
"GPD1",79.2348724709288,63.7123296704057,-15.522542800523,"CR (pooled)"
"CFL1",91.1645912582396,45.9156716627593,-45.2489195954803,"CR (pooled)"
"VIM",197.641885811388,119.527221024055,-78.1146647873334,"CR (pooled)"
"CS",32.1022160339315,43.2125288432664,11.1103128093349,"CR (pooled)"
"DECR1",54.7469809747164,44.5515961444792,-10.1953848302372,"CR (pooled)"
"HSPA8",34.5587709670543,38.0243106687198,3.4655397016656,"CR (pooled)"
"HADHA",28.6084607872507,24.9644250192661,-3.64403576798463,"CR (pooled)"
"ACO2",39.5377617824554,33.3242645071592,-6.21349727529621,"CR (pooled)"
"BLVRB",90.1466486680022,113.070348283703,22.9236996157004,"CR (pooled)"
"ACAT1",19.2728741837589,25.7096763971056,6.43680221334671,"CR (pooled)"
"CSRP3",42.8892742374146,34.3468132309106,-8.542461006504,"CR (pooled)"
"LDB3",27.7628809622085,47.0298057698543,19.2669248076459,"CR (pooled)"
"AKR1A1",48.0181178510611,36.4860097381757,-11.5321081128853,"CR (pooled)"
"GSTM2",38.9807962129085,30.1928852961858,-8.78791091672277,"CR (pooled)"
"MYBPC1",50.9017051773435,76.0251151088294,25.1234099314859,"CR (pooled)"
"TNNI2",87.1165293613691,158.449798169036,71.3332688076665,"CR (pooled)"
"ANXA6",47.7723375009973,44.3308385748035,-3.44149892619377,"CR (pooled)"
"CFL2",33.2888044899132,22.605118355191,-10.6836861347222,"CR (pooled)"
"VDAC1",33.5997570510336,23.7037529373791,-9.89600411365446,"CR (pooled)"
"TXN",66.2328034445795,54.5071833502459,-11.7256200943336,"CR (pooled)"
"FLNC",54.0658755938967,48.9337911717305,-5.13208442216617,"CR (pooled)"
"A2M",97.8082951774183,91.5504867772607,-6.25780840015764,"CR (pooled)"
"CALM1",132.7093882177,88.1079084123881,-44.6014798053124,"CR (pooled)"
"TNNT3",99.1110797115781,181.702972411894,82.5918927003156,"CR (pooled)"
"LDHB",60.1274916392161,80.9600052209038,20.8325135816878,"CR (pooled)"
"S100A6",120.014071283296,109.638361252894,-10.375710030402,"CR (pooled)"
"BIN1",38.750102888255,14.1459320200212,-24.6041708682338,"CR (pooled)"
"ACADVL",30.5762148512145,41.1873483524285,10.611133501214,"CR (pooled)"
"AKR1B1",40.1334560459742,26.16034057117,-13.9731154748043,"CR (pooled)"
"PRDX3",25.6587163129348,21.1498568989911,-4.50885941394369,"CR (pooled)"
"HADHB",31.1412662760576,31.146273261846,0.0050069857884445,"CR (pooled)"
"CAT",101.01338403659,121.707664972457,20.6942809358668,"CR (pooled)"
"UQCRC2",46.8578330276156,25.1881306672152,-21.6697023604005,"CR (pooled)"
"TUBA1B",77.4345235384499,78.9841473709345,1.54962383248461,"CR (pooled)"
"SLC25A6",56.4652728662542,54.0822683303275,-2.38300453592669,"CR (pooled)"
"SLC25A5",40.2163104695164,37.3720733098433,-2.84423715967301,"CR (pooled)"
"ANXA5",129.095227247738,101.13193879837,-27.9632884493677,"CR (pooled)"
"H2BC4",130.082718986798,127.299446769844,-2.78327221695415,"CR (pooled)"
"TUBA4A",43.3476533375016,21.6544693891632,-21.6931839483384,"CR (pooled)"
"DCN",191.558680913619,93.4851066163546,-98.0735742972644,"CR (pooled)"
"APOBEC2",40.3551633947065,39.3860790961884,-0.969084298518133,"CR (pooled)"
"HSP90AA1",45.0615430850564,39.6591448817608,-5.40239820329558,"CR (pooled)"
"EEF1A2",30.156274949089,25.925820459903,-4.23045448918591,"CR (pooled)"
"ATP5MF",39.6715492420962,24.1857535877226,-15.4857956543737,"CR (pooled)"
"TTN",87.7513287859278,148.559333582187,60.8080047962593,"CR (pooled)"
"SRL",25.6609803078701,24.0698229861774,-1.59115732169262,"CR (pooled)"
"HSPA1A",26.5011079254393,19.5092064263036,-6.99190149913568,"CR (pooled)"
"COX5B",48.3988679871105,26.9204226712018,-21.4784453159087,"CR (pooled)"
"TNNC1",83.3006099319895,123.34086741227,40.0402574802809,"CR (pooled)"
"SELENBP1",77.1024075070173,92.1778977471778,15.0754902401606,"CR (pooled)"
"ECHS1",54.6372036974645,21.9091550213654,-32.7280486760991,"CR (pooled)"
"NDUFA4",45.3960423109872,46.9711604862681,1.57511817528096,"CR (pooled)"
"ATP5MG",48.5829277662762,31.9303671900596,-16.6525605762166,"CR (pooled)"
"PFN1",97.6922309982018,48.3554469650293,-49.3367840331726,"CR (pooled)"
"ATP5F1C",50.0690318159669,28.8560437589108,-21.2129880570561,"CR (pooled)"
"ANKRD2",44.2399087601735,52.2737487301801,8.03383997000662,"CR (pooled)"
"UQCRC1",38.8893754909394,27.7356533222408,-11.1537221686987,"CR (pooled)"
"HADH",31.7468775968476,27.6390763672115,-4.10780122963608,"CR (pooled)"
"PDLIM5",41.4790949939541,99.7086359497901,58.229540955836,"CR (pooled)"
"YWHAG",39.5276136990296,25.8642220528076,-13.663391646222,"CR (pooled)"
"PLIN1",155.009525552974,155.919936805779,0.910411252804778,"CR (pooled)"
"COX7A1",49.3353159387943,26.6206684444984,-22.7146474942959,"CR (pooled)"
"DBI",77.932750187451,28.5109050394717,-49.4218451479792,"CR (pooled)"
"SOD2",43.4277452717739,45.4690119978941,2.04126672612012,"CR (pooled)"
"TPM3",126.547804095669,158.995697939908,32.447893844239,"CR (pooled)"
"TUBB4B",59.399964599452,39.7742314607836,-19.6257331386685,"CR (pooled)"
"TRIM72",22.0713153181246,18.5436687903847,-3.5276465277399,"CR (pooled)"
"COX4I1",33.5756104269185,19.0431573383781,-14.5324530885404,"CR (pooled)"
"UGP2",31.7511269910402,32.3665787386781,0.61545174763787,"CR (pooled)"
"ATP5PO",42.6670790098942,25.9731978505741,-16.69388115932,"CR (pooled)"
"LUM",159.099340972885,84.0445153800617,-75.0548255928229,"CR (pooled)"
"CASQ2",42.5209953503479,37.0864030775768,-5.43459227277107,"CR (pooled)"
"QDPR",19.6811065947917,23.2812958008007,3.60018920600907,"CR (pooled)"
"CMBL",40.5411278714084,31.1453551134898,-9.39577275791865,"CR (pooled)"
"MYOM2",38.5839781668119,86.3780532528316,47.7940750860196,"CR (pooled)"
"HBG2",157.456216930188,174.930685770004,17.4744688398163,"CR (pooled)"
"AHNAK",164.324460481881,99.6509595397496,-64.6735009421316,"CR (pooled)"
"GLO1",26.2315322109897,16.1765214706009,-10.0550107403888,"CR (pooled)"
"VDAC3",43.3583250766403,23.6057827416064,-19.7525423350339,"CR (pooled)"
"GSTP1",26.7879169714498,28.7713227715285,1.98340580007877,"CR (pooled)"
"ECH1",26.8387984533051,36.323064349814,9.48426589650881,"CR (pooled)"
"SLC25A3",38.4393894066091,24.9800517685431,-13.4593376380661,"CR (pooled)"
"ATP5PD",47.0895406503685,36.5317988702615,-10.557741780107,"CR (pooled)"
"ADSS1",27.2309681300093,26.6366291765947,-0.594338953414624,"CR (pooled)"
"CAVIN1",160.955757355227,111.675687917276,-49.2800694379509,"CR (pooled)"
"MT-ATP6",44.6359304465876,41.1560445798392,-3.47988586674833,"CR (pooled)"
"TNNI1",92.2205377675665,146.051121599151,53.8305838315848,"CR (pooled)"
"HSPB7",41.7664774939632,29.0700194396379,-12.6964580543253,"CR (pooled)"
"CSTB",108.634216246314,48.0751502486357,-60.5590659976782,"CR (pooled)"
"RTN2",30.3847022501104,24.3778770718183,-6.00682517829208,"CR (pooled)"
"LCP1",131.136540296282,130.048223931861,-1.08831636442116,"CR (pooled)"
"ACTN2",174.543763006593,203.542577352188,28.9988143455946,"CR (pooled)"
"NNT",45.3282564798586,29.3488105709838,-15.9794459088748,"CR (pooled)"
"TNNT1",113.835049048748,140.837816545689,27.0027674969412,"CR (pooled)"
"PRDX5",44.8626417749668,25.0857538816022,-19.7768878933646,"CR (pooled)"
"PADI2",31.8529147785419,14.694465458599,-17.1584493199429,"CR (pooled)"
"UQCR10",27.8311263048536,44.0159585787077,16.1848322738541,"CR (pooled)"
"ETFA",27.7760278388713,35.0470759920514,7.27104815318013,"CR (pooled)"
"ACSL1",70.1796044161395,47.2505670682455,-22.929037347894,"CR (pooled)"
"GLRX",56.2525471327071,45.9416444944654,-10.3109026382417,"CR (pooled)"
"FH",35.6676919610686,28.8249748437834,-6.84271711728519,"CR (pooled)"
"HINT1",24.0374230633679,28.0456936607364,4.00827059736855,"CR (pooled)"
"MYH3",132.380805992644,105.114348518236,-27.2664574744089,"CR (pooled)"
"NIPSNAP2",42.5200973701624,24.8896068348699,-17.6304905352925,"CR (pooled)"
"FTH1",47.9090369819285,76.2589434917296,28.3499065098011,"CR (pooled)"
"VDAC2",25.2575970080269,13.5706436715344,-11.6869533364925,"CR (pooled)"
"ACYP2",53.0493435813454,27.8734120810369,-25.1759315003085,"CR (pooled)"
"COX6C",47.2764479664951,26.4626773465667,-20.8137706199284,"CR (pooled)"
"COX5A",38.069285996542,24.1943241362076,-13.8749618603343,"CR (pooled)"
"UQCRFS1",40.6346354560378,33.116093740878,-7.51854171515979,"CR (pooled)"
