pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
GOBP_CELLULAR_RESPIRATION,1.0390808187512399e-13,1.1887084566514184e-10,0.9545416307257243,-0.4779877252079466,-2.58271764264264,142,NDUFA4;SDHC;MFN2;CISD1;ATP5F1D;NNT;BCL2L13;DLAT;SDHD;ATP5PD;MT-ND4;DLD;TRAP1;MT-ND5;NDUFB5;ETFDH;PDHB;DLST;PDHA1;FH;SDHB;ATP5ME;SUCLA2;SUCLG1;SDHA;MT-ND3;SLC25A13;ATP5F1C;UQCRQ;NDUFS5;OGDH;NDUFS6;PNPT1;ATP5PO;IDH3G;UQCRB;NDUFB4;IDH3A;MT-ATP6;NIPSNAP2;IDH2;COX7C;MT-ATP8;NDUFV2;NDUFA2;NDUFA8;NDUFA12;ATP5MG;NDUFS4;ATP5MF;MDH2;NDUFB3;MT-CO2;NDUFB9;SHMT2;IDH3B;ACO2;STOML2;FXN;COX5A;PPIF;COA6;NDUFB11;COQ9;COX7A1;NDUFB7;ETFB;NDUFS3;SURF1;COX4I1;NDUFA6;NDUFB6;COX5B;NDUFS8;NDUFB1;ATP5PF;UQCRC2;ATP5F1A;ATP5PB;UQCR10;CS;NDUFV1;NDUFA13;NDUFA11;NDUFS2;CYC1;NDUFA10;HCCS;NDUFS1;COX7A2,GO:BP,Cancer_vs_Healthy
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,1.4458741963261585e-12,8.270400402985626e-10,0.9101197347744591,-0.5629082915496241,-2.78545606695593,85,NDUFA4;DMAC2L;SLC25A3;ATP1A2;ATP5F1D;ATP1B1;NNT;ATP5PD;ATP1A1;MT-ND4;MT-ND5;NDUFB5;SLC16A1;ATP5ME;MT-ND3;SLC25A13;ATP5F1C;NDUFS5;NDUFS6;ATP5PO;NDUFB4;MT-ATP6;MT-ATP8;NDUFV2;NDUFA2;NDUFA8;NDUFA12;ATP5MG;NDUFS4;ATP5MF;LETM1;NDUFB3;MT-CO2;NDUFB9;COX5A;PPIF;COX7A1;NDUFB7;NDUFS3;SURF1;COX4I1;NDUFA6;NDUFB6;COX5B;NDUFS8;NDUFB1;ATP5PF;ATP5F1A;SLC25A12;ATP5PB;UQCR10;NDUFV1;SLC25A4;NDUFS2;CYC1;ATP6V1B2;NDUFA10;SLC25A5;NDUFS1;NDUFA3;NDUFA9,GO:BP,Cancer_vs_Healthy
GOBP_AEROBIC_RESPIRATION,2.8020579714616125e-12,1.0685181064506948e-9,0.8986712320616942,-0.4751325941476343,-2.532736163348453,129,NDUFA4;SDHC;MFN2;ATP5F1D;NNT;BCL2L13;DLAT;SDHD;ATP5PD;MT-ND4;DLD;MT-ND5;NDUFB5;PDHB;DLST;PDHA1;FH;SDHB;ATP5ME;SUCLA2;SUCLG1;SDHA;MT-ND3;ATP5F1C;UQCRQ;NDUFS5;OGDH;NDUFS6;ATP5PO;IDH3G;UQCRB;NDUFB4;IDH3A;MT-ATP6;NIPSNAP2;IDH2;COX7C;MT-ATP8;NDUFV2;NDUFA2;NDUFA8;NDUFA12;ATP5MG;NDUFS4;ATP5MF;MDH2;NDUFB3;MT-CO2;NDUFB9;SHMT2;IDH3B;ACO2;STOML2;FXN;COX5A;PPIF;COA6;NDUFB11;COQ9;COX7A1;NDUFB7;NDUFS3;SURF1;COX4I1;NDUFA6;NDUFB6;COX5B;NDUFS8;NDUFB1;ATP5PF;UQCRC2;ATP5F1A;ATP5PB;UQCR10;CS;NDUFV1;NDUFA13;NDUFA11;NDUFS2;CYC1;NDUFA10;NDUFS1;COX7A2,GO:BP,Cancer_vs_Healthy
GOBP_WOUND_HEALING,3.934756718605541e-12,1.1253404215211847e-9,0.8870749883998732,0.5854784731256075,2.5069938710863084,98,SERPING1;FBLN1;SERPINF2;APOE;CSRP1;CLIC1;FN1;LRG1;YAP1;ANXA1;TLN1;FLNA;PRDX2;LCP1;CD9;F13A1;ANXA2;ILK;GNAS;CAV1;S100A10;PPIA;PDIA3;MCAM;AHNAK;CD34;MYH9;ANXA5;RHOA;COMP;CD36;ITGB1;ACTB;CNN2;HMGB1;GPX1;AP3B1;MYL9;MYH10;CORO1B;AQP1;GNAQ;THBS1;CRK;KLKB1;DMTN;VCL;CTSG;VWF;CD44;FERMT2;PROS1;RHOC;GNA13,GO:BP,Cancer_vs_Healthy
GOBP_ACTIN_FILAMENT_ORGANIZATION,5.081517082750892e-12,1.1626511085334041e-9,0.8870749883998732,0.5378011810634915,2.3751155109510473,120,SERPINF2;ADD1;SPTB;FSCN1;ARPC5;MARCKS;ARPC1B;TAGLN2;CTTN;SPTBN1;CAP1;ARF1;FLNA;TPM4;SPTAN1;GSN;LCP1;CALD1;ACTR2;ARRB1;DSTN;MYO1C;S100A10;ACTR3;ZYX;TMOD1;CYFIP1;PLS3;MTPN;CORO1C;RHOA;IQGAP1;ARFIP1;CNN3;CORO7;CFL1;ITGB1;SORBS1;RHOG;CNN2;ARPC3;HSP90B1;MYL9;ARPC2;CAPG;CORO1B;TMOD3;CNN1;DMTN;FERMT2;ALDOA;CDC42;CAPZA1;RNH1;NRP1;RHOC;STMN1;PFN1;LMOD3;SNX9;ARPC4;VASP;ACTN1;EZR;GMFG;ACTC1;ESAM;SVIL;PDLIM1,GO:BP,Cancer_vs_Healthy
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,1.2415801075302465e-11,2.3672794050243363e-9,0.8753251320246591,-0.6185049740716603,-2.8411015920256792,59,SDHC;ATP5F1D;SDHD;ATP5PD;MT-ND4;MT-ND5;NDUFB5;SDHB;ATP5ME;SDHA;MT-ND3;ATP5F1C;NDUFS5;NDUFS6;ATP5PO;NDUFB4;MT-ATP6;MT-ATP8;NDUFV2;NDUFA2;NDUFA8;NDUFA12;ATP5MG;NDUFS4;ATP5MF;NDUFB3;NDUFB9;STOML2;NDUFB11;NDUFB7;NDUFS3;NDUFA6;NDUFB6;NDUFS8;NDUFB1;ATP5PF;ATP5F1A;ATP5PB;NDUFV1;NDUFA13;NDUFA11;NDUFS2;NDUFA10;NDUFS1;NDUFA3;NDUFA9,GO:BP,Cancer_vs_Healthy
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,3.003035471341824e-11,4.907817970307209e-9,0.851339057116899,-0.41089244144325315,-2.3065746933509,180,NDUFA4;SDHC;MFN2;CISD1;STBD1;ATP5F1D;NNT;BCL2L13;DLAT;SDHD;ATP5PD;GAA;MT-ND4;DLD;TRAP1;ACADVL;MT-ND5;NDUFB5;ETFDH;PDHB;DLST;PDHA1;FH;SDHB;ATP5ME;SUCLA2;SUCLG1;SDHA;MT-ND3;SLC25A13;ATP5F1C;GYG1;UQCRQ;GYS1;NDUFS5;OGDH;NDUFS6;PNPT1;PHKA2;ATP5PO;IDH3G;UQCRB;PFKM;NDUFB4;IDH3A;MT-ATP6;NIPSNAP2;IDH2;COX7C;MT-ATP8;NDUFV2;NDUFA2;NDUFA8;NDUFA12;ATP5MG;NDUFS4;ATP5MF;MDH2;NDUFB3;MT-CO2;NDUFB9;SHMT2;IDH3B;ACO2;STOML2;FXN;COX5A;PHKB;AGL;PHKG1;PPIF;PHKA1;COA6;NDUFB11;COQ9;PYGM;COX7A1;NDUFB7;ETFB;NDUFS3;ACADM;SURF1;COX4I1;NDUFA6;NDUFB6;COX5B;NDUFS8;NDUFB1;ATP5PF;UQCRC2;ATP5F1A;ATP5PB;UQCR10;CS;NDUFV1;NDUFA13;NDUFA11;NDUFS2;CYC1;NDUFA10;HCCS;NDUFS1;COX7A2,GO:BP,Cancer_vs_Healthy
GOBP_OXIDATIVE_PHOSPHORYLATION,4.601003176385192e-11,6.5794345422308245e-9,0.851339057116899,-0.4993686170995638,-2.5511577876552125,102,NDUFA4;SDHC;ATP5F1D;BCL2L13;SDHD;ATP5PD;MT-ND4;DLD;MT-ND5;NDUFB5;SDHB;ATP5ME;SDHA;MT-ND3;ATP5F1C;UQCRQ;NDUFS5;NDUFS6;ATP5PO;UQCRB;NDUFB4;MT-ATP6;NIPSNAP2;COX7C;MT-ATP8;NDUFV2;NDUFA2;NDUFA8;NDUFA12;ATP5MG;NDUFS4;ATP5MF;NDUFB3;MT-CO2;NDUFB9;SHMT2;STOML2;FXN;COX5A;PPIF;COA6;NDUFB11;COQ9;COX7A1;NDUFB7;NDUFS3;COX4I1;NDUFA6;NDUFB6;COX5B;NDUFS8;NDUFB1;ATP5PF;UQCRC2;ATP5F1A;ATP5PB;UQCR10;NDUFV1;NDUFA13;NDUFA11;NDUFS2;CYC1;NDUFA10;NDUFS1;COX7A2;NDUFA3;NDUFA9,GO:BP,Cancer_vs_Healthy
GOBP_ATP_BIOSYNTHETIC_PROCESS,1.4362449321794513e-10,1.825626891570325e-8,0.826657301178302,-0.561925578829404,-2.6796909397421516,70,SDHC;DMAC2L;ATP5F1D;SDHD;ATP5PD;MT-ND4;MT-ND5;NDUFB5;COX11;SDHB;ATP5ME;SDHA;MT-ND3;SLC25A13;ATP5F1C;NDUFS5;NDUFS6;ATP5PO;NDUFB4;MT-ATP6;STAT3;MT-ATP8;NDUFV2;NDUFA2;NDUFA8;NDUFA12;ATP5MG;NDUFS4;ATP5MF;NDUFB3;NDUFB9;STOML2;NDUFB11;NDUFB7;NDUFS3;NDUFA6;NDUFB6;NDUFS8;NDUFB1;ATP5PF;ATP5F1A;ATP5PB;NDUFV1;NDUFA13;NDUFA11;NDUFS2;NDUFA10;PARP1;NDUFS1;NDUFA3;NDUFA9,GO:BP,Cancer_vs_Healthy
GOBP_CELL_SUBSTRATE_ADHESION,5.163770066370783e-10,5.907352955928177e-8,0.8012155746177786,0.5858532273999164,2.413710626297783,76,FBLN1;RAB1A;FN1;THY1;CTTN;TLN1;FLNA;FBLN2;APOD;ANXA2;ILK;ACTN4;S100A10;ZYX;ITGA1;PARVA;CD34;RRAS;CORO1C;RHOA;CD36;CFL1;RSU1;ITGB1;NID1;SORBS1;LIMS1;ARPC2;LAMC1;TNXB;THBS1;CRK;CALR;DMTN;VCL;VWF;CD44;FERMT2;CDC42;NRP1;CD63;POLDIP2;P4HB;ACTN3;ACTN1;PECAM1;ITGA7;LAMB1;GBP1;LYVE1,GO:BP,Cancer_vs_Healthy
