gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
FTL,2.5407,3.5894,0,0.326923,Up
AHNAK2,2.1243,2.9669,0,0.717936,Up
HGH1,-1.6963,2.5681,4.4e-5,0.717936,Down
COL14A1,1.8469,2.3233,5.1e-5,0.896743,Up
HRAS,-2.1871,1.7622,1.4e-4,0.992867,Down
AASDHPPT,-1.8788,1.9309,2.36e-4,0.992867,Down
SELENOO,2.0398,1.7578,2.6e-4,0.992867,Up
THY1,1.5803,2.1928,3.43e-4,0.958396,Up
MRC2,1.2459,2.6346,5.22e-4,0.717936,Up
MRC1,1.2348,2.6082,6.02e-4,0.717936,Up
S100A13,1.2035,2.6094,7.24e-4,0.717936,Up
NNMT,1.4075,2.1979,8.06e-4,0.958396,Up
MTR,1.8141,1.6522,0.001007,0.992867,Up
GPNMB,1.7283,1.7229,0.001053,0.992867,Up
ARCN1,0.7202,3.9795,0.001361,0.266295,Up
LSM8,0.9825,2.8616,0.001543,0.717936,Up
CKAP4,1.373,1.9957,0.001819,0.992867,Up
CAV2,1.6336,1.6444,0.002059,0.992867,Up
SFXN3,0.9564,2.7364,0.002415,0.717936,Up
RHOC,1.025,2.5482,0.002444,0.717936,Up
RBM3,-1.8663,1.3835,0.002617,0.992867,Down
NGLY1,-1.4267,1.7008,0.003745,0.992867,Down
RPL35A,1.0375,2.289,0.004219,0.896743,Up
ARIH2,-0.9263,2.5074,0.004759,0.717936,Down
EMC2,1.2451,1.8293,0.005278,0.992867,Up
BASP1,1.5005,1.4702,0.006224,0.992867,Up
COPE,0.8424,2.4514,0.008608,0.748554,Up
TMOD3,1.1324,1.8145,0.008815,0.992867,Up
TBRG4,1.738,1.1807,0.008868,0.992867,Up
ADD3,1.0254,1.9877,0.009158,0.992867,Up
COL1A1,1.6452,1.197,0.010732,0.992867,Up
FOLR2,1.1228,1.75,0.010841,0.992867,Up
CD276,1.2642,1.5332,0.011528,0.992867,Up
DBN1,1.0366,1.7871,0.014044,0.992867,Up
ABLIM2,1.2816,1.3553,0.018324,0.992867,Up
SRSF11,-0.9517,1.8211,0.018487,0.992867,Down
SAMHD1,0.9472,1.8114,0.019238,0.992867,Up
ACOT1,-0.9936,1.701,0.020415,0.992867,Down
GBP1,-1.4581,1.1442,0.021459,0.992867,Down
CD248,1.0842,1.5304,0.021915,0.992867,Up
OSTF1,0.9071,1.7936,0.023609,0.992867,Up
PBDC1,0.8719,1.8614,0.023831,0.992867,Up
COL12A1,1.3435,1.1958,0.024747,0.992867,Up
CTSG,1.0823,1.4566,0.026515,0.992867,Up
CRABP2,1.722,0.9134,0.026744,0.992867,Up
ART3,-0.7733,2.0214,0.027342,0.992867,Down
SLC41A3,1.2025,1.2644,0.030164,0.992867,Up
IPO9,-1.0376,1.4609,0.030485,0.992867,Down
KRT8,1.6296,0.9273,0.030818,0.992867,Up
ACTN3,1.4066,1.0682,0.031442,0.992867,Up
SMTNL1,-0.9065,1.6554,0.031583,0.992867,Down
FTH1,0.8735,1.7101,0.032082,0.992867,Up
LANCL2,-0.8089,1.8291,0.033144,0.992867,Down
SORD,-0.7366,1.9435,0.037021,0.992867,Down
GNAI3,0.7764,1.8312,0.037873,0.992867,Up
HNMT,0.8775,1.5949,0.039854,0.992867,Up
EYA3,-0.8786,1.5886,0.040201,0.992867,Down
ELAVL1,0.7102,1.9629,0.040364,0.992867,Up
LIMCH1,0.881,1.58,0.040558,0.992867,Up
USP13,-0.9216,1.5099,0.0406,0.992867,Down
PCOLCE,1.2348,1.1232,0.041028,0.992867,Up
BDH2,0.7609,1.8127,0.041751,0.992867,Up
BCL2,-1.2421,1.0986,0.0432,0.992867,Down
RBMX,0.8962,1.5169,0.043704,0.992867,Up
FBLN5,0.9008,1.502,0.044355,0.992867,Up
MICU2,-1.0925,1.2357,0.04466,0.992867,Down
PLTP,1.4487,0.9153,0.047211,0.992867,Up
FSCN1,0.8404,1.5621,0.048661,0.992867,Up
UGDH,0.9657,1.3568,0.048944,0.992867,Up
MRPS17,-1.0044,1.2944,0.050112,0.992867,NS
FUNDC1,1.5805,0.8188,0.050805,0.992867,NS
LRP1,0.7792,1.6425,0.052492,0.992867,NS
GGT5,0.6616,1.8755,0.057438,0.992867,NS
SDR39U1,-1.0029,1.2284,0.058616,0.992867,NS
RAB23,1.246,0.985,0.059249,0.992867,NS
DAG1,-0.6557,1.8458,0.061611,0.992867,NS
TIMM8A,-0.8933,1.3471,0.062614,0.992867,NS
FCGRT,1.023,1.1403,0.068157,0.992867,NS
ACAA1,-0.721,1.6177,0.068181,0.992867,NS
DDX19B,-1.3062,0.8847,0.069897,0.992867,NS
THBS4,1.306,0.8833,0.070211,0.992867,NS
APOL2,1.0431,1.099,0.071383,0.992867,NS
TFRC,-0.7969,1.437,0.071601,0.992867,NS
BCS1L,1.2676,0.9022,0.071845,0.992867,NS
COL15A1,1.0365,1.0955,0.0732,0.992867,NS
CTSH,0.8949,1.2674,0.073434,0.992867,NS
DTD1,-0.6327,1.7849,0.074253,0.992867,NS
SYNCRIP,0.4951,2.2761,0.074678,0.896743,NS
SSR4,0.7252,1.5094,0.08043,0.992867,NS
ATG7,0.6419,1.7038,0.08061,0.992867,NS
PNPO,-0.637,1.709,0.081544,0.992867,NS
MRPL11,-1.0499,1.0329,0.082332,0.992867,NS
RCN3,1.4268,0.7592,0.082564,0.992867,NS
LAMA2,1.0796,1.0029,0.08266,0.992867,NS
ACTR2,0.5354,2.0185,0.083037,0.992867,NS
SCN1B,-0.6787,1.5653,0.086636,0.992867,NS
TSTD1,0.8345,1.2728,0.086673,0.992867,NS
DHRS11,-0.6492,1.6132,0.089683,0.992867,NS
MOCS2,0.935,1.1195,0.089815,0.992867,NS
CHMP3,-0.7378,1.408,0.09146,0.992867,NS
SLC1A4,-0.9464,1.0938,0.092231,0.992867,NS
GOSR2,-0.8437,1.2103,0.095239,0.992867,NS
TMLHE,-0.6815,1.4914,0.096299,0.992867,NS
RPL14,0.7785,1.3054,0.09632,0.992867,NS
UBE2D1,-0.8188,1.2287,0.09861,0.992867,NS
ARPC2,0.6483,1.5297,0.101933,0.992867,NS
MRPS21,-0.8432,1.1744,0.102274,0.992867,NS
ADAM10,0.8071,1.2236,0.102921,0.992867,NS
RALB,0.8908,1.105,0.103681,0.992867,NS
EML4,-0.9983,0.9791,0.105329,0.992867,NS
SRM,0.6319,1.5157,0.110228,0.992867,NS
COL6A1,1.0484,0.8769,0.12042,0.992867,NS
VCAN,0.8689,1.052,0.121893,0.992867,NS
COL1A2,1.2558,0.7273,0.122073,0.992867,NS
DARS2,0.7404,1.2311,0.122616,0.992867,NS
IQGAP1,0.7046,1.271,0.127188,0.992867,NS
NUBP2,0.7641,1.1713,0.127363,0.992867,NS
OVCA2,-0.7016,1.2598,0.130656,0.992867,NS
MINDY3,-0.764,1.1535,0.131431,0.992867,NS
ACTR3,0.5224,1.687,0.131449,0.992867,NS
ARPP19,-0.5964,1.465,0.133735,0.992867,NS
DNAJC8,0.6811,1.2823,0.13385,0.992867,NS
TPM4,0.7885,1.1059,0.13428,0.992867,NS
RAB12,-0.5072,1.6933,0.138412,0.992867,NS
SEPTIN11,0.6376,1.3291,0.1421,0.992867,NS
