gene,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,significance,quadrant,imputed
CD248,1.0842,-2.7873,0.021915,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
CAV2,1.6336,-2.026,0.002059,4.01e-4,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
KRT19,0.7622,-2.632,0.311288,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
EML4,-0.9983,2.282,0.105329,2.81e-4,0,Interaction,Discordant (CRE Down / PLA Up),TRUE
AHNAK2,2.1243,-1.0816,0,0.08185,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
KRT8,1.6296,-1.5558,0.030818,0.021053,9e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
AOX1,0.7798,-2.3178,0.263589,3.1e-5,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
TUBB4A,0.3202,-2.5858,0.765452,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
RETSAT,-0.5162,-2.2877,0.658392,7.3e-5,0.022854,Interaction,Concordant Down,TRUE
HGH1,-1.6963,1.0385,4.4e-5,0.105847,1e-6,Interaction,Discordant (CRE Down / PLA Up),TRUE
SDR39U1,-1.0029,1.7163,0.058616,2.5e-5,0,Interaction,Discordant (CRE Down / PLA Up),TRUE
CES1,-0.0914,-2.5913,0.992373,2.1e-5,0.001502,Interaction,Concordant Down,TRUE
TMEM70,-0.2022,2.4381,0.945959,4e-5,1.23e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
ATL3,0.3041,-2.2747,0.800244,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
HBA1,0.6863,-1.8916,0.590271,0.00452,7.86e-4,Interaction,Discordant (CRE Up / PLA Down),FALSE
PRKAR2B,-0.063,-2.4856,0.992572,0,0,Interaction,Concordant Down,TRUE
FCGRT,1.023,-1.5233,0.068157,0.009651,1.3e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
HNMT,0.8775,-1.6628,0.039854,3e-6,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
FASN,0.3568,-2.1561,0.834574,9e-6,3e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
COL6A2,0.8997,-1.6028,0.18282,0.002144,9e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
PALM,0.3811,-2.0878,0.614669,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
MYL3,-0.5784,1.8815,0.631762,8.44e-4,2.11e-4,Interaction,Discordant (CRE Down / PLA Up),FALSE
FABP4,0.7375,-1.708,0.539115,0.014961,0.001892,Interaction,Discordant (CRE Up / PLA Down),FALSE
HBB,0.5492,-1.8052,0.729032,0.00885,0.003587,Interaction,Discordant (CRE Up / PLA Down),FALSE
ALYREF,0.7289,-1.5955,0.272247,0.007179,1.39e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
COL4A2,1.0997,-1.2243,0.148132,0.081941,8.33e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
VCAN,0.8689,-1.4421,0.121893,0.002351,4e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
GGT5,0.6616,-1.6097,0.057438,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
TNKS1BP1,0.5256,-1.7345,0.54645,5.28e-4,5e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
MRPL13,0.3599,1.8526,0.676764,1.04e-4,0.009848,Interaction,Concordant Up,TRUE
TIMM8A,-0.8933,1.3137,0.062614,0.003494,2e-6,Interaction,Discordant (CRE Down / PLA Up),TRUE
ACTN3,1.4066,-0.7779,0.031442,0.502283,0.004805,Interaction,Discordant (CRE Up / PLA Down),TRUE
CKAP4,1.373,-0.806,0.001819,0.284072,6.6e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
BASP1,1.5005,-0.6758,0.006224,0.472244,6.25e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
DBN1,1.0366,-1.1304,0.014044,0.005161,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
OVCA2,-0.7016,1.4506,0.130656,0.011993,8.7e-5,Interaction,Discordant (CRE Down / PLA Up),TRUE
HBG2,0.9474,-1.1936,0.376977,0.170841,0.014368,Interaction,Discordant (CRE Up / PLA Down),TRUE
ADIRF,0.0275,-2.1071,0.999246,1.32e-4,0.003563,Interaction,Discordant (CRE Up / PLA Down),TRUE
G3BP2,-0.0968,2.0231,0.985197,4.1e-5,3.14e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
MYH2,-0.2906,1.8066,0.893667,9.39e-4,0.001726,Interaction,Discordant (CRE Down / PLA Up),TRUE
COL14A1,1.8469,-0.2344,5.1e-5,0.917054,2.85e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
GOSR2,-0.8437,1.2335,0.095239,0.002286,3e-6,Interaction,Discordant (CRE Down / PLA Up),TRUE
GPNMB,1.7283,-0.3031,0.001053,0.888606,0.002521,Interaction,Discordant (CRE Up / PLA Down),TRUE
NDUFA3,-0.6099,1.3995,0.539387,0.010265,0.001453,Interaction,Discordant (CRE Down / PLA Up),TRUE
S100A9,0.5596,-1.4436,0.599505,0.010357,0.001796,Interaction,Discordant (CRE Up / PLA Down),FALSE
ACADL,0.1961,-1.8,0.899607,3.38e-4,1.96e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
MRC1,1.2348,-0.7586,6.02e-4,0.121333,1e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
RPL35A,1.0375,-0.9555,0.004219,0.063102,6e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
COL6A1,1.0484,-0.9275,0.12042,0.235295,0.003387,Interaction,Discordant (CRE Up / PLA Down),TRUE
ADD3,1.0254,-0.9398,0.009158,0.020229,1e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
RAP1A,-0.7,1.2647,0.289764,0.014165,2.78e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
ALB,0.5625,-1.3876,0.679054,0.05052,0.014156,Interaction,Discordant (CRE Up / PLA Down),FALSE
NGLY1,-1.4267,0.4961,0.003745,0.511557,3.35e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
NUDT9,-0.6035,1.297,0.173516,0.002267,8e-6,Interaction,Discordant (CRE Down / PLA Up),TRUE
GNG2,0.1158,-1.7746,0.981857,3.67e-4,0.003017,Interaction,Discordant (CRE Up / PLA Down),TRUE
IPO9,-1.0376,0.8479,0.030485,0.065637,4.4e-5,Interaction,Discordant (CRE Down / PLA Up),TRUE
COL1A2,1.2558,-0.6291,0.122073,0.640329,0.030754,Interaction,Discordant (CRE Up / PLA Down),TRUE
MARCHF5,-0.2019,1.6816,0.917847,0.002781,0.002584,Interaction,Discordant (CRE Down / PLA Up),TRUE
SAMHD1,0.9472,-0.9346,0.019238,0.050114,1.6e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
TUBB2B,0.0757,-1.7676,0.992824,0.005742,0.01573,Interaction,Discordant (CRE Up / PLA Down),TRUE
UBE2F,-0.4083,1.431,0.609149,0.001201,1.38e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
MRC2,1.2459,-0.5707,5.22e-4,0.411957,5.9e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
HDGFL3,-0.0421,-1.76,0.997639,0.015332,0.041458,Interaction,Concordant Down,TRUE
ELAVL1,0.7102,-1.0914,0.040364,0.002453,1e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
CD276,1.2642,-0.5205,0.011528,0.575376,0.002302,Interaction,Discordant (CRE Up / PLA Down),TRUE
IL18,0.1047,1.6726,0.972078,2.14e-4,0.003085,Interaction,Concordant Up,TRUE
PVALB,0.5169,-1.2584,0.488278,0.101184,0.012221,Interaction,Discordant (CRE Up / PLA Down),TRUE
RCN3,1.4268,-0.3282,0.082564,0.852769,0.040012,Interaction,Discordant (CRE Up / PLA Down),TRUE
GNAQ,0.3081,-1.438,0.822479,0.002141,0.00181,Interaction,Discordant (CRE Up / PLA Down),TRUE
SFXN3,0.9564,-0.7756,0.002415,0.03583,1e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
DRG1,-0.1604,1.551,0.957112,1.39e-4,0.001615,Interaction,Discordant (CRE Down / PLA Up),TRUE
AHNAK,0.6382,-1.0708,0.424813,0.061062,0.004377,Interaction,Discordant (CRE Up / PLA Down),FALSE
CSTA,0.1364,-1.5371,0.969438,8.1e-4,0.004064,Interaction,Discordant (CRE Up / PLA Down),TRUE
MYL1,-0.0206,1.6488,0.99936,2.66e-4,0.004596,Interaction,Discordant (CRE Down / PLA Up),TRUE
CD58,0.6837,-0.9816,0.287595,0.033289,0.001176,Interaction,Discordant (CRE Up / PLA Down),TRUE
MICU2,-1.0925,0.5695,0.04466,0.553404,0.007804,Interaction,Discordant (CRE Down / PLA Up),TRUE
COL1A1,1.6452,-0.015,0.010732,0.999754,0.042277,Interaction,Discordant (CRE Up / PLA Down),TRUE
MYH7,-0.4841,1.1608,0.701202,0.083718,0.02536,Interaction,Discordant (CRE Down / PLA Up),TRUE
GNAI3,0.7764,-0.8685,0.037873,0.043894,4e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
CAVIN3,-0.0232,-1.6086,0.999279,0.00144,0.018338,Interaction,Concordant Down,TRUE
EMC2,1.2451,-0.3857,0.005278,0.748877,0.004162,Interaction,Discordant (CRE Up / PLA Down),TRUE
SLC25A4,-0.1881,1.4411,0.939408,0.001556,0.00442,Interaction,Discordant (CRE Down / PLA Up),FALSE
UGDH,0.9657,-0.6594,0.048944,0.356318,0.002698,Interaction,Discordant (CRE Up / PLA Down),TRUE
PLIN4,0.1,-1.5167,0.985192,0.001732,0.009822,Interaction,Discordant (CRE Up / PLA Down),FALSE
MAP1B,0.0695,-1.5364,0.986577,9e-6,1.13e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
SERPINH1,0.6789,-0.9251,0.401249,0.045788,0.005284,Interaction,Discordant (CRE Up / PLA Down),TRUE
TYMP,0.6171,-0.9815,0.348193,0.07341,0.003272,Interaction,Discordant (CRE Up / PLA Down),TRUE
APOC1,0.4921,-1.105,0.692225,0.113897,0.033653,Interaction,Discordant (CRE Up / PLA Down),TRUE
