pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
GOBP_PLATELET_AGGREGATION,Platelet Aggregation,GO:BP,1.767,-1.868,0.1336,0.103,NS,25
GOBP_VACUOLAR_LOCALIZATION,Vacuolar Localization,GO:BP,1.85,-1.727,0.1175,0.1623,NS,10
GOBP_REGULATION_OF_STEROL_TRANSPORT,Regulation Of Sterol Transport,GO:BP,1.72,-1.8,0.1899,0.1091,NS,15
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Positive Regulation Of Protein Localization To Plasma Membrane,GO:BP,1.902,-1.588,0.06704,0.2179,NS,18
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,Reactive Nitrogen Species Metabolic Process,GO:BP,1.706,-1.766,0.1665,0.112,NS,26
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,Regulation Of Alternative Mrna Splicing Via Spliceosome,GO:BP,1.928,-1.532,0.06016,0.274,NS,13
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,Scavenging Of Heme From Plasma,Reactome,1.746,-1.709,0.0732,0.09572,NS,19
GOBP_INTERLEUKIN_8_PRODUCTION,Interleukin 8 Production,GO:BP,1.616,-1.825,0.244,0.09711,NS,16
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Negative Regulation Of Actin Filament Polymerization,GO:BP,1.874,-1.566,0.09528,0.2179,NS,23
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO:BP,1.659,-1.768,0.1638,0.05229,NS,49
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,Negative Regulation Of Protein Polymerization,GO:BP,1.711,-1.711,0.163,0.112,NS,29
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Regulation Of Nitric Oxide Metabolic Process,GO:BP,1.679,-1.739,0.2186,0.1248,NS,19
GOBP_PLATELET_ACTIVATION,Platelet Activation,GO:BP,1.608,-1.797,0.22,0.09051,NS,32
GOBP_CELL_CELL_JUNCTION_ASSEMBLY,Cell Cell Junction Assembly,GO:BP,1.726,-1.673,0.1638,0.1517,NS,25
GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION,Cortical Actin Cytoskeleton Organization,GO:BP,1.699,-1.691,0.2021,0.1551,NS,15
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,Cell Cycle Checkpoint Signaling,GO:BP,-1.688,1.702,0.1917,0.1186,NS,17
GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION,Positive Regulation Of Lipid Localization,GO:BP,1.535,-1.854,0.2963,0.0843,NS,22
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,Antigen Processing And Presentation Of Exogenous Antigen,GO:BP,1.514,-1.866,0.3545,0.09711,NS,13
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,Regulation Of Vasculature Development,GO:BP,1.615,-1.762,0.1784,0.05229,NS,54
GOBP_QUINONE_METABOLIC_PROCESS,Quinone Metabolic Process,GO:BP,-1.619,1.758,0.2251,0.112,NS,11
GOBP_RESPONSE_TO_TYPE_II_INTERFERON,Response To Type Ii Interferon,GO:BP,1.853,-1.504,0.1015,0.2487,NS,29
REACTOME_CDC42_GTPASE_CYCLE,Cdc42 Gtpase Cycle,Reactome,1.588,-1.768,0.1747,0.07364,NS,18
GOBP_UBIQUINONE_METABOLIC_PROCESS,Ubiquinone Metabolic Process,GO:BP,-1.578,1.777,0.3012,0.09694,NS,10
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,Cellular Response To Type Ii Interferon,GO:BP,1.864,-1.487,0.07934,0.2528,NS,26
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,Cell Substrate Junction Organization,GO:BP,1.614,-1.737,0.2152,0.112,NS,35
GOBP_ODONTOGENESIS,Odontogenesis,GO:BP,1.53,-1.821,0.3447,0.112,NS,12
GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION,Regulation Of Mononuclear Cell Migration,GO:BP,1.669,-1.679,0.1813,0.1476,NS,28
GOBP_HETEROTYPIC_CELL_CELL_ADHESION,Heterotypic Cell Cell Adhesion,GO:BP,1.696,-1.649,0.2046,0.206,NS,10
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Regulation Of Establishment Of Protein Localization To Mitochondrion,GO:BP,-1.656,1.683,0.2209,0.1326,NS,19
GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS,Hydrogen Peroxide Catabolic Process,GO:BP,1.619,-1.716,0.238,0.1551,NS,16
GOBP_PROTEIN_DEPOLYMERIZATION,Protein Depolymerization,GO:BP,1.773,-1.557,0.1067,0.197,NS,37
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,Plasma Lipoprotein Clearance,Reactome,1.648,-1.678,0.1345,0.1101,NS,12
GOBP_MEMBRANE_RAFT_ORGANIZATION,Membrane Raft Organization,GO:BP,1.641,-1.678,0.2245,0.1848,NS,14
REACTOME_MET_ACTIVATES_PTK2_SIGNALING,Met Activates Ptk2 Signaling,Reactome,1.649,-1.653,0.1272,0.1281,NS,11
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,Ameboidal Type Cell Migration,GO:BP,1.796,-1.502,0.1067,0.2155,NS,45
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS,Olefinic Compound Metabolic Process,GO:BP,-1.511,-1.783,0.2991,0.09711,NS,32
GOBP_CHOLESTEROL_EFFLUX,Cholesterol Efflux,GO:BP,1.715,-1.571,0.1899,0.2259,NS,16
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS,Thrombin Signalling Through Proteinase Activated Receptors Pars,Reactome,1.594,-1.692,0.2035,0.1101,NS,10
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,Interleukin 4 And Interleukin 13 Signaling,Reactome,1.812,-1.473,0.05341,0.2245,NS,18
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Rho Protein Signal Transduction,GO:BP,1.57,-1.711,0.2649,0.1248,NS,25
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING,DNA Integrity Checkpoint Signaling,GO:BP,-1.651,1.627,0.2182,0.206,NS,12
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,Regulation Of Leukocyte Migration,GO:BP,1.769,-1.502,0.1067,0.2179,NS,39
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,Regulation Of Protein Depolymerization,GO:BP,1.845,-1.415,0.1067,0.2958,NS,32
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly,GO:BP,1.622,-1.637,0.2209,0.189,NS,22
GOBP_REGULATION_OF_PROTEIN_TARGETING,Regulation Of Protein Targeting,GO:BP,-1.711,1.544,0.1645,0.2155,NS,26
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,Sars Cov 1 Activates Modulates Innate Immune Responses,Reactome,1.709,-1.546,0.0963,0.1984,NS,12
GOBP_FOCAL_ADHESION_ASSEMBLY,Focal Adhesion Assembly,GO:BP,1.443,-1.801,0.3614,0.09429,NS,27
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,Actin Filament Depolymerization,GO:BP,1.904,-1.339,0.05529,0.3669,NS,25
REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA,Sensory Processing Of Sound By Outer Hair Cells Of The Cochlea,Reactome,1.661,-1.581,0.1242,0.157,NS,14
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,Positive Regulation Of Protein Localization To Cell Periphery,GO:BP,1.755,-1.486,0.1426,0.2753,NS,24
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Negative Regulation Of Cytoskeleton Organization,GO:BP,1.652,-1.584,0.1665,0.1551,NS,43
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,Regulation Of Actin Filament Length,GO:BP,1.836,-1.391,0.05529,0.2838,NS,47
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY,Establishment Or Maintenance Of Bipolar Cell Polarity,GO:BP,1.625,-1.601,0.2599,0.2259,NS,11
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,Antigen Processing And Presentation Of Exogenous Peptide Antigen,GO:BP,1.402,-1.82,0.4454,0.112,NS,11
GOBP_CELL_CELL_JUNCTION_ORGANIZATION,Cell Cell Junction Organization,GO:BP,1.665,-1.556,0.1791,0.2019,NS,33
GOBP_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,Regulation Of Substrate Adhesion Dependent Cell Spreading,GO:BP,1.345,-1.875,0.4614,0.08009,NS,20
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,Plasma Lipoprotein Assembly Remodeling And Clearance,Reactome,1.546,-1.673,0.2111,0.1088,NS,19
REACTOME_SENSORY_PROCESSING_OF_SOUND,Sensory Processing Of Sound,Reactome,1.676,-1.543,0.1082,0.1686,NS,19
GOBP_TAXIS,Taxis,GO:BP,1.665,-1.553,0.1067,0.1263,NS,64
GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION,Cortical Cytoskeleton Organization,GO:BP,1.595,-1.619,0.2607,0.1981,NS,19
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,Mitochondrial Membrane Organization,GO:BP,-1.47,1.74,0.2581,0.0618,NS,56
GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY,Regulation Of Lamellipodium Assembly,GO:BP,1.918,-1.289,0.06585,0.4612,NS,11
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,Rho Gtpases Activate Iqgaps,Reactome,1.401,-1.804,0.3851,0.05265,NS,16
GOBP_CELL_CHEMOTAXIS,Cell Chemotaxis,GO:BP,1.784,-1.418,0.07393,0.2646,NS,48
GOBP_COLLAGEN_METABOLIC_PROCESS,Collagen Metabolic Process,GO:BP,1.867,-1.331,0.1107,0.3979,NS,20
GOBP_ENDOTHELIAL_CELL_MIGRATION,Endothelial Cell Migration,GO:BP,1.589,-1.607,0.2021,0.1279,NS,48
GOBP_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,Positive Regulation Of Substrate Adhesion Dependent Cell Spreading,GO:BP,1.485,-1.709,0.3655,0.1517,NS,15
GOBP_FIBROBLAST_MIGRATION,Fibroblast Migration,GO:BP,1.74,-1.442,0.1784,0.3082,NS,20
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL,Protein Modification By Small Protein Removal,GO:BP,-1.891,1.289,0.06704,0.4089,NS,32
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,Positive Regulation Of Cytosolic Calcium Ion Concentration,GO:BP,-1.802,-1.378,0.1491,0.382,NS,14
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE,Negative Regulation Of Cell Cycle,GO:BP,-1.517,1.662,0.2939,0.1122,NS,32
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Positive Regulation Of Nitric Oxide Metabolic Process,GO:BP,1.675,-1.499,0.2152,0.2933,NS,12
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,Positive Regulation Of Lamellipodium Organization,GO:BP,1.952,-1.222,0.05494,0.5225,NS,12
