pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,arc_r1_var,clean_label
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.3517455060931652e-8,2.838665562795647e-7,0.7477396631498854,0.42599068351949126,2.215035415469146,158,UQCR11;IDH2;TIMM13;FH;GRPEL1;SUCLA2;ACADM;AIFM1;FXN;NDUFA6;SLC25A4;ATP5PD;GOT2;ACAA1;NNT;SLC25A6;SUCLG1;SLC25A11;PDHB;PDP1;SDHA;ATP5ME;ETFDH;PDHX;UQCRFS1;MRPS22;NDUFA4;IDH3A;IDH3B;ACO2;SLC25A20;CYCS;SUPV3L1;HTRA2;UQCRB;MDH2;HADHB;NDUFA3;HADHA;BCKDHA;OPA1;ECI1;ATP1B1;NDUFB5;ETFB;SLC25A12;HSPA9;SDHB;DLAT;IDH3G;ACADSB;IMMT;ETFA;PDHA1;COX7C;ATP5MF;NDUFA2;UQCRC2;ATP5F1E;SURF1;UQCRQ;NDUFB3;ACADVL;AFG3L2;TIMM50;TIMM10;LRPPRC;ATP5PF;UQCRC1;ATP5PB;SLC25A5;UQCR10;NDUFV1;ACAT1;ATP5PO;CYC1;SLC25A3;ATP5F1C;SDHD,Hallmark,Baseline_Supplement,1,45.27358490566034,45.575471698113176,45.42452830188676,0.7901731207849794,0.795442039281566,0.7928075800332727,6.1541671456205105,OXPHOS
GOSLIM_MITOCHONDRION_ORGANIZATION,1.0723599618286801e-7,1.3060175878568395e-6,0.7049757151672383,0.3806054230155684,2.012709058105419,183,MARCHF5;TIMM8A;TMEM70;TFRC;SSBP1;PARP1;MAPT;BCL2;NDUFAF3;STOML2;TIMM13;MT-ND4;SLC25A46;MICOS13;AIFM1;FXN;NDUFA6;SLC25A4;CHCHD3;LETM1;HMGCL;CLPP;MTM1;SLC25A6;GGCT;CHCHD7;MT-ND5;ATPAF2;UQCRFS1;TMEM11;TFAM;SMIM20;NUBPL;SUPV3L1;EPM2A;HTRA2;NIPSNAP2;NDUFA3;PRKACA;AGK;BCL2L13;NDUFAF2;CHCHD4;PPIF;FAM162A;OPA1;ATP2A1;ROMO1;ACAD9;UQCC2;MTX1;HSPA4;VPS13C;TACO1;NDUFB5;APOO;SAMM50;UQCC1;HSPA9;NDUFAF4;GSK3B;APOOL;IMMT;AKT1;PPP2CB;SLIRP;NDUFA2;NOL3;SURF1;NDUFB3;MYH14;AFG3L2;TIMM50;TIMM10,GO Slim,Baseline_Supplement,2,48.575471698113176,48.877358490566,48.726415094339586,0.8478019168413959,0.8530708353379826,0.8504363760896892,6.068892381238632,Mitochondrion Org.
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1.3049055259664985e-6,8.808112300273865e-6,0.6435518361507222,0.3433651917014687,1.8773715923519456,235,FBP1;SLC35A4;PFKM;UQCR11;PPP1R2;IDH2;ENO3;STOML2;STBD1;FH;MT-ND4;AKT2;SUCLA2;SHMT2;TRAP1;ACADM;FXN;NDUFA6;SLC25A4;ATP5PD;COA6;NNT;HMGCL;COQ9;GAA;SUCLG1;GALK1;PDHB;SDHA;ATP5ME;TIGAR;MT-ND5;ETFDH;UQCRFS1;NDUFA4;IDH3A;IDH3B;ACO2;SUCLG2;CYCS;EPM2A;NIPSNAP2;UQCRB;TPI1;MDH2;NDUFA3;PRKACA;BCL2L13;PPP1CB;CHCHD4;PPIF;SLC25A13;ADHFE1;PFKFB2;UQCC2;NDUFB5;ETFB;PPP2CA;THTPA;MT-ATP6;ARL2;HK1;FDXR;PKM;SDHB;DLAT;GSK3B;IDH3G;ETFA;FECH;PDHA1;COX7C;PYGM;GYS1;AKT1;IDE;ATP5MF;NDUFA2;MT-ATP8;UQCRC2;ATP5F1E;SURF1;SIRT3;UQCRQ;NDUFB3;ACADVL;PRKAA1;PFKL;PGM1;COQ10B;ETFRF1;ATP5PF;UQCRC1;ATP5PB,GO Slim,Baseline_Supplement,3,51.877358490566,52.17924528301883,52.02830188679242,0.9054307128978124,0.910699631394399,0.9080651721461057,5.953009658538843,"Generation Of
Precursor Metabolites
And Energy"
GOBP_MITOCHONDRION_ORGANIZATION,2.287540173096585e-8,1.4049613175043723e-5,0.7337619883564803,0.40391825421669786,2.1026688851457784,166,MARCHF5;TIMM8A;TMEM70;TFRC;SSBP1;PARP1;MAPT;BCL2;NDUFAF3;STOML2;TIMM13;MT-ND4;SLC25A46;MICOS13;AIFM1;FXN;NDUFA6;SLC25A4;CHCHD3;LETM1;COA6;HMGCL;CLPP;MTM1;SLC25A6;GGCT;CHCHD7;MT-ND5;ATPAF2;UQCRFS1;TMEM11;TFAM;SMIM20;NUBPL;SUPV3L1;EPM2A;HTRA2;NIPSNAP2;PRKACA;AGK;BCL2L13;NDUFAF2;CHCHD4;PPIF;FAM162A;OPA1;ATP2A1;ROMO1;ACAD9;UQCC2;MTX1;VPS13C;TACO1;APOO;SAMM50;UQCC1;HSPA9;NDUFAF4;GSK3B;APOOL;IMMT;AKT1;PPP2CB;SLIRP;NOL3;SURF1;NDUFB3;MYH14;AFG3L2;TIMM50;TIMM10,GO:BP,Baseline_Supplement,4,55.17924528301883,55.48113207547166,55.330188679245246,0.9630595089542289,0.9683284274508157,0.9656939682025222,5.922757335853325,Mitochondrion Org.
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,6.97408443435172e-7,1.5316832938944966e-4,0.6594443980379349,0.3729650265242168,1.969214649848105,181,PFKM;UQCR11;PPP1R2;IDH2;STOML2;STBD1;FH;MT-ND4;AKT2;SUCLA2;SHMT2;TRAP1;ACADM;FXN;NDUFA6;ATP5PD;COA6;NNT;COQ9;GAA;SUCLG1;PDHB;SDHA;ATP5ME;TIGAR;MT-ND5;ETFDH;UQCRFS1;NDUFA4;IDH3A;IDH3B;ACO2;SUCLG2;CYCS;EPM2A;NIPSNAP2;UQCRB;MDH2;NDUFA3;BCL2L13;PPP1CB;PPIF;SLC25A13;ADHFE1;UQCC2;NDUFB5;ETFB;MT-ATP6;ARL2;SDHB;DLAT;GSK3B;IDH3G;ETFA;PDHA1;COX7C;PYGM;GYS1;AKT1;IDE;ATP5MF;NDUFA2;MT-ATP8;UQCRC2;ATP5F1E;SURF1;SIRT3;UQCRQ;NDUFB3;ACADVL;COQ10B;ETFRF1;ATP5PF;UQCRC1;ATP5PB,GO:BP,Baseline_Supplement,5,58.48113207547166,58.7830188679245,58.63207547169808,1.0206883050106454,1.025957223507232,1.0233227642589389,5.752240985116745,"Energy Derivation By
Oxidation Of Organic
Compounds"
GOBP_TRANSLATIONAL_INITIATION,6.763700692355606e-7,1.5316832938944966e-4,0.6594443980379349,0.5265234310743354,2.275517604811923,58,EIF2A;EIF2S1;BZW2;AKT2;CSDE1;EIF3L;EIF4H;PAIP1;EIF4A2;EIF3K;METAP2;EIF4G1;NCK1;ABCF1;EIF5B;AGO2;EIF3A;ABCE1;EIF4G2;RPS17;COPS5;DDX1;EIF3D;EIF2S3;EIF3J;RPS3;EIF3F;DDX3X;EIF1;BZW1;EIF1AX;EIF3G;EIF3M;MTIF2;MCTS1;PPP1CA;EIF2B3;EIF5;EIF2S2;RPS3A;EIF3E,GO:BP,Baseline_Supplement,6,61.7830188679245,62.08490566037732,61.93396226415091,1.078317101067062,1.0835860195636486,1.0809515603153554,5.752240985116745,"Translational
Initiation"
GOBP_CELLULAR_RESPIRATION,2.833506186748317e-6,4.6262217100149307e-4,0.6272567397185284,0.38687703317476563,1.9677352576893443,142,UQCR11;IDH2;STOML2;FH;MT-ND4;SUCLA2;SHMT2;TRAP1;FXN;NDUFA6;ATP5PD;COA6;NNT;COQ9;SUCLG1;PDHB;SDHA;ATP5ME;MT-ND5;ETFDH;UQCRFS1;NDUFA4;IDH3A;IDH3B;ACO2;SUCLG2;CYCS;NIPSNAP2;UQCRB;MDH2;NDUFA3;BCL2L13;PPIF;SLC25A13;UQCC2;NDUFB5;ETFB;MT-ATP6;ARL2;SDHB;DLAT;IDH3G;ETFA;PDHA1;COX7C;IDE;ATP5MF;NDUFA2;MT-ATP8;UQCRC2;ATP5F1E;SURF1;SIRT3;UQCRQ;NDUFB3;COQ10B;ETFRF1;ATP5PF;UQCRC1;ATP5PB;UQCR10;NDUFS5;NDUFV1;ATP5PO;CYC1;ATP5F1C;SDHD,GO:BP,Baseline_Supplement,7,65.08490566037733,65.38679245283015,65.23584905660374,1.1359458971234786,1.1412148156200652,1.138580356371772,5.661304023659074,Cellular Respiration
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,3.055519835560939e-6,4.6262217100149307e-4,0.6272567397185284,0.3363542168978574,1.8389709529496296,234,FBP1;PFKM;UQCR11;PPP1R2;IDH2;ENO3;STOML2;STBD1;FH;MT-ND4;AKT2;SUCLA2;SHMT2;TRAP1;ACADM;FXN;NDUFA6;SLC25A4;ATP5PD;COA6;NNT;HMGCL;COQ9;GAA;SUCLG1;GALK1;PDHB;SDHA;ATP5ME;TIGAR;MT-ND5;ETFDH;UQCRFS1;NDUFA4;IDH3A;IDH3B;ACO2;SUCLG2;CYCS;EPM2A;NIPSNAP2;UQCRB;TPI1;MDH2;NDUFA3;PRKACA;BCL2L13;PPP1CB;PPIF;SLC25A13;ADHFE1;PFKFB2;UQCC2;NDUFB5;ETFB;PPP2CA;THTPA;MT-ATP6;ARL2;HK1;FDXR;PKM;SDHB;DLAT;GSK3B;IDH3G;ETFA;FECH;PDHA1;COX7C;PYGM;GYS1;AKT1;IDE;ATP5MF;NDUFA2;MT-ATP8;UQCRC2;ATP5F1E;SURF1;SIRT3;UQCRQ;NDUFB3;ACADVL;PRKAA1;PFKL;PGM1;COQ10B;ETFRF1;ATP5PF;UQCRC1;ATP5PB,GO:BP,Baseline_Supplement,8,68.38679245283015,68.68867924528298,68.53773584905656,1.193574693179895,1.1988436116764818,1.1962091524281884,5.661304023659074,"Generation Of
Precursor Metabolites
And Energy"
GOBP_AEROBIC_RESPIRATION,1.0020642353044976e-5,0.00135432835494615,0.5933254763964051,0.3856830553958669,1.928035724473074,129,UQCR11;IDH2;STOML2;FH;MT-ND4;SUCLA2;SHMT2;FXN;NDUFA6;ATP5PD;COA6;NNT;COQ9;SUCLG1;PDHB;SDHA;ATP5ME;MT-ND5;UQCRFS1;NDUFA4;IDH3A;IDH3B;ACO2;SUCLG2;CYCS;NIPSNAP2;UQCRB;MDH2;NDUFA3;BCL2L13;PPIF;UQCC2;NDUFB5;MT-ATP6;ARL2;SDHB;DLAT;IDH3G;PDHA1;COX7C;IDE;ATP5MF;NDUFA2;MT-ATP8;UQCRC2;ATP5F1E;SURF1;SIRT3;UQCRQ;NDUFB3;ETFRF1;ATP5PF;UQCRC1;ATP5PB;UQCR10;NDUFS5;NDUFV1;ATP5PO;CYC1;ATP5F1C;SDHD,GO:BP,Baseline_Supplement,9,71.68867924528298,71.99056603773582,71.83962264150941,1.2512034892363117,1.2564724077328984,1.2538379484846052,5.561892646103583,Aerobic Respiration
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,1.5553573053960413e-5,0.00169999511749753,0.5756102610711286,0.5089693074828525,2.142387802994537,51,TMEM70;NDUFAF3;MT-ND4;AIFM1;FXN;NDUFA6;COA6;CHCHD7;MT-ND5;ATPAF2;UQCRFS1;TFAM;SMIM20;NUBPL;NDUFAF2;CHCHD4;ACAD9;UQCC2;TACO1;SAMM50;UQCC1;NDUFAF4,GO:BP,Baseline_Supplement,10,74.99056603773582,75.29245283018864,75.14150943396223,1.308832285292728,1.3141012037893147,1.3114667445410215,5.539018035193457,"Mito. Resp. Chain
Complex Assembly"
