gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
HBB,3.5681,4.6144,0,7.73e-4,Up
HBA1,3.806,5.1027,0,3.65e-4,Up
ALB,3.1371000000000002,4.569,0,8.06e-4,Up
IGHG1,3.1998,5.5197,0,2e-4,Up
PRDX2,1.9827,3.8885,0,0.002216,Up
IGKC,3.4542,6.1003,0,9e-5,Up
FABP4,2.674,3.1427,0,0.007842,Up
CA2,1.8365,4.166,0,0.001507,Up
SERPINA1,2.6581,4.4854,0,9.32e-4,Up
IGHG2,3.3738,5.7567,0,1.45e-4,Up
TF,2.6639,5.3412,0,2.72e-4,Up
HP,3.2795,5.0547,0,3.93e-4,Up
IGLC2,3.3511,5.9262,0,1.12e-4,Up
ORM1,2.7842,5.1922,0,3.21e-4,Up
IGHA1,3.3611,5.1193,0,3.58e-4,Up
VIM,2.97,3.9434,0,0.002094,Up
ANXA2,1.9845,3.6319,0,0.003405,Up
C3,3.1919,6.3303,0,7e-5,Up
TTR,2.4176,5.3123,0,2.78e-4,Up
A2M,3.1786,6.265,0,7e-5,Up
S100A6,3.1368,4.1179,0,0.001644,Up
CAT,2.8392,6.4932,0,6.6e-5,Up
S100A4,2.3336,5.4835,0,2.12e-4,Up
DCN,2.0651,3.1573,0,0.007695,Up
PLIN1,4.1417,3.993,0,0.001946,Up
ANXA1,2.6086,4.3769,0,0.001119,Up
LUM,1.9945,3.8,0,0.002522,Up
HBG2,3.7262,3.4811,0,0.004497,Up
IGHM,3.6335,5.9006,0,1.14e-4,Up
LCP1,1.865,3.7445,0,0.002773,Up
IGKV3-15,3.4644,7.054,0,3.9e-5,Up
IGKV3-20,3.5578,7.5523,0,2e-5,Up
CP,2.7087,6.4384,0,6.6e-5,Up
SERPINA3,2.7577,7.0031,0,3.9e-5,Up
EHD2,1.8419,3.6648,0,0.003195,Up
ADIRF,3.5983,2.257,0,0.029357,Up
CAV1,1.9824,3.3073,0,0.005951,Up
AKR1C1,2.179,4.089,0,0.001707,Up
CLU,3.192,6.8883,0,4e-5,Up
S100A9,2.8558,5.5867000000000004,0,1.76e-4,Up
IGHG3,2.6349,4.0179,0,0.001879,Up
S100A8,2.3813,4.2762,0,0.001269,Up
TAGLN,2.5159,5.6628,0,1.57e-4,Up
BPGM,2.0346,5.4481,0,2.24e-4,Up
IGHV3-7,3.0643,6.426,0,6.6e-5,Up
COMP,3.7712,2.358,0,0.025472,Up
PRELP,2.6865,3.7077,0,0.002948,Up
AOC3,3.0182,4.5325,0,8.51e-4,Up
IGKV3-11,3.0261,7.482,0,2e-5,Up
SERPING1,3.011,6.7218,0,5.2e-5,Up
SNCA,3.6614,7.6196,0,2e-5,Up
CFH,3.1883,7.8793,0,2e-5,Up
APOD,1.7503,3.6236,0,0.00345,Up
MYO6,-1.5562,4.4717,0,9.51e-4,Down
STOM,2.2901,5.421,0,2.32e-4,Up
CFB,2.5438,6.058,0,9e-5,Up
DEFA3,2.2303,4.828,0,5.6e-4,Up
AGT,2.4073,6.2879,0,7e-5,Up
ITIH4,3.0794,6.5207,0,6.6e-5,Up
PNP,2.6614,6.9545,0,3.9e-5,Up
ALAD,1.8664,4.3485,0,0.001144,Up
