gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
PC,1.4991,-0.9572,0.075776,0.055679,NS,Discordant (Cancer Up / Training Down),TRUE
CNRIP1,1.0064,-0.9531,0.199194,0.055519,NS,Discordant (Cancer Up / Training Down),TRUE
CLTA,1.1859,-0.7644,0.266601,0.322466,NS,Discordant (Cancer Up / Training Down),TRUE
FUNDC1,0.6636,1.197,0.592893,0.178567,NS,Concordant Up,TRUE
ACTC1,1.2316,0.581,0.076736,0.618211,NS,Concordant Up,TRUE
BCS1L,0.92490000000000006,0.8632,0.15212,0.162776,NS,Concordant Up,TRUE
MYBPH,0.8826,0.9031,0.241202,0.116674,NS,Concordant Up,TRUE
C7,1.5389,-0.1925,0.08809,0.916975,NS,Discordant (Cancer Up / Training Down),TRUE
HDGFL3,0.7645,-0.8992,0.554689,0.167871,NS,Discordant (Cancer Up / Training Down),TRUE
BCO2,-0.8898,0.7513,0.098054,0.232668,NS,Discordant (Cancer Down / Training Up),TRUE
MYL1,-0.794,0.8126,0.122762,0.05231,NS,Discordant (Cancer Down / Training Up),TRUE
PTGIS,1.5023,0.0607,0.066747,0.99213,NS,Concordant Up,TRUE
C6orf136,0.5702,0.9872,0.508891,0.058649,NS,Concordant Up,TRUE
LYVE1,1.5353,-0.0074,0.060589,0.999894,NS,Discordant (Cancer Up / Training Down),TRUE
COL4A1,1.0452,-0.4871,0.092173,0.604692,NS,Discordant (Cancer Up / Training Down),TRUE
UGDH,1.3584,0.1521,0.073616,0.938978,NS,Concordant Up,TRUE
NENF,-0.7436,0.7307,0.368531,0.390806,NS,Discordant (Cancer Down / Training Up),TRUE
HMGCS2,0.6512,-0.8123,0.405668,0.153229,NS,Discordant (Cancer Up / Training Down),TRUE
ACTN3,1.1465,0.2941,0.079519,0.864636,NS,Concordant Up,TRUE
LAMB1,1.1545,-0.286,0.078536,0.816038,NS,Discordant (Cancer Up / Training Down),TRUE
RPL36AL,-0.835,-0.5744,0.189393,0.385152,NS,Concordant Down,TRUE
SELENOP,0.9669,-0.4292,0.204042,0.520138,NS,Discordant (Cancer Up / Training Down),TRUE
LGMN,1.0426,0.3357,0.100956,0.68159,NS,Concordant Up,TRUE
