pathway,pathway_label,database,NES_Cancer_vs_Healthy,NES_Training_CR,padj_Cancer_vs_Healthy,padj_Training_CR,significance,set_size
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,1.529,1.376,0.06211,0.2908,NS,41
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,1.099,-1.763,0.4934,0.05736,NS,24
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,1.561,-1.241,0.05037,0.4171,NS,41
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,1.505,-1.165,0.09136,0.4944,NS,22
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,1.5,-1.133,0.07828,0.4944,NS,34
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,-1.181,-1.432,0.234,0.1125,NS,101
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Hallmark,1.545,-1.044,0.07828,0.627,NS,21
HALLMARK_HYPOXIA,Hypoxia,Hallmark,1.458,1.026,0.07828,0.6394,NS,59
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO Slim,1.257,-1.223,0.2235,0.4147,NS,73
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Hallmark,1.541,0.858,0.09136,0.8473,NS,10
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,1.194,1.204,0.3717,0.4792,NS,40
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.186,-1.182,0.3156,0.4122,NS,115
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,-0.855,-1.513,0.7475,0.2748,NS,12
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,1.14,-1.223,0.401,0.4122,NS,72
GOSLIM_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO Slim,1.02,-1.324,0.5532,0.3115,NS,60
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,1.555,0.774,0.05037,0.9502,NS,49
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,Nucleocytoplasmic Transport,GO Slim,1.301,-0.996,0.1688,0.6405,NS,81
HALLMARK_P53_PATHWAY,p53 Pathway,Hallmark,1.339,-0.91,0.2119,0.8127,NS,31
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,1.092,-1.145,0.4934,0.4944,NS,35
GOSLIM_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO Slim,-1.091,1.143,0.4298,0.5517,NS,60
GOSLIM_MUSCLE_SYSTEM_PROCESS,Muscle System Process,GO Slim,-1.029,1.164,0.5125,0.461,NS,146
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFa Signaling Via Nfkb,Hallmark,1.012,1.163,0.6224,0.4944,NS,17
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,Glycoprotein Metabolic Process,GO Slim,1.4,0.752,0.1522,0.8768,NS,29
GOSLIM_TELOMERE_ORGANIZATION,Telomere Organization,GO Slim,0.944,1.208,0.6388,0.4636,NS,37
GOSLIM_VITAMIN_METABOLIC_PROCESS,Vitamin Metabolic Process,GO Slim,1.249,-0.89,0.2908,0.8254,NS,25
GOSLIM_PROTEIN_FOLDING,Protein Folding,GO Slim,1.002,1.033,0.5747,0.6405,NS,99
HALLMARK_PEROXISOME,Peroxisome,Hallmark,0.795,-1.211,0.8604,0.458,NS,43
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,-0.952,0.979,0.6824,0.7032,NS,40
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-1.178,0.752,0.3829,0.9488,NS,14
GOSLIM_CHROMOSOME_SEGREGATION,Chromosome Segregation,GO Slim,-0.653,1.272,0.9817,0.4147,NS,56
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,-0.772,1.148,0.8815,0.4944,NS,34
GOSLIM_MICROTUBULE-BASED_MOVEMENT,Microtubule-Based Movement,GO Slim,1.096,0.793,0.4574,0.8768,NS,51
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,-0.895,0.85,0.7475,0.8473,NS,25
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,0.866,0.862,0.7475,0.8473,NS,31
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,0.906,-0.773,0.7475,0.9978,NS,97
GOSLIM_DNA_REPLICATION,DNA Replication,GO Slim,0.597,1.067,0.9817,0.6405,NS,28
HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,-0.93,0.717,0.6824,0.9502,NS,13
GOSLIM_DNA_RECOMBINATION,DNA Recombination,GO Slim,-0.739,0.855,0.9817,0.8254,NS,35
GOSLIM_MITOTIC_NUCLEAR_DIVISION,Mitotic Nuclear Division,GO Slim,0.684,-0.87,0.9817,0.8254,NS,45
HALLMARK_UV_RESPONSE_UP,UV Response Up,Hallmark,0.654,-0.665,0.9466,0.9978,NS,47
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,0.695,0.585,0.9149,0.9978,NS,35
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,-2.95,2.223,1.21e-17,8.494e-9,Sig Both,158
GOSLIM_DETOXIFICATION,Detoxification,GO Slim,2.038,-2.046,6.89e-5,4.518e-4,Sig Both,56
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Generation Of Precursor Metabolites And Energy,GO Slim,-2.159,1.911,1.469e-9,1.82e-6,Sig Both,234
GOSLIM_MITOCHONDRION_ORGANIZATION,Mitochondrion Organization,GO Slim,-1.838,1.778,4.795e-5,1.56e-4,Sig Both,182
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,1.864,-1.712,0.001341,0.02279,Sig Both,65
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,2.418,-1.318,1.2e-8,0.2748,Sig Cancer only,67
GOSLIM_RENAL_SYSTEM_PROCESS,Renal System Process,GO Slim,2.419,-1.291,2.588e-7,0.4147,Sig Cancer only,23
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,2.235,1.458,5.219e-6,0.1881,Sig Cancer only,51
GOSLIM_TRNA_METABOLIC_PROCESS,Trna Metabolic Process,GO Slim,-2.086,1.537,1.549e-4,0.1069,Sig Cancer only,46
GOSLIM_WOUND_HEALING,Wound Healing,GO Slim,2.521,-1.02,3.848e-11,0.6405,Sig Cancer only,95
HALLMARK_COMPLEMENT,Complement,Hallmark,2.284,-0.941,1.011e-6,0.8004,Sig Cancer only,59
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,2.202,-1.02,6.553e-5,0.6394,Sig Cancer only,23
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,2.171,0.981,1.507e-5,0.7032,Sig Cancer only,50
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO Slim,2.107,-1.026,5.382e-5,0.6405,Sig Cancer only,46
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,Extracellular Matrix Organization,GO Slim,2.121,1.008,6.415e-5,0.6405,Sig Cancer only,43
HALLMARK_COAGULATION,Coagulation,Hallmark,2.607,0.517,5.691e-10,0.9978,Sig Cancer only,47
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,1.915,-1.178,0.001675,0.4792,Sig Cancer only,38
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Hallmark,1.765,-1.315,0.02081,0.4122,Sig Cancer only,15
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,1.666,-1.404,0.03247,0.2748,Sig Cancer only,27
GOSLIM_CILIUM_ORGANIZATION,Cilium Organization,GO Slim,1.758,1.117,0.01023,0.6048,Sig Cancer only,35
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,1.81,-1.061,0.007904,0.6128,Sig Cancer only,36
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,Amino Acid Metabolic Process,GO Slim,-1.897,0.767,4.795e-5,0.9193,Sig Cancer only,115
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,1.907,-0.747,0.002265,0.9915,Sig Cancer only,41
GOSLIM_DIGESTION,Digestion,GO Slim,1.773,-0.745,0.02142,0.8768,Sig Cancer only,15
GOSLIM_CYTOKINESIS,Cytokinesis,GO Slim,1.59,-0.879,0.0332,0.8254,Sig Cancer only,44
GOSLIM_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO Slim,-1.345,1.586,0.05499,0.01953,Sig Training only,116
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,-0.991,1.587,0.6404,0.02304,Sig Training only,135
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,0.808,1.56,0.8815,0.04365,Sig Training only,111
