pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
GOBP_CELLULAR_RESPIRATION,4.2379343963684195e-15,4.928717702976472e-12,0.9969862175331805,-0.4931458644266203,-2.696674396874086,142,NDUFA4;SDHC;MFN2;CISD1;NNT;BCL2L13;ATP5F1D;DLAT;TRAP1;SDHD;DLD;MT-ND4;PDHB;ETFDH;ATP5PD;MT-ND5;DLST;PDHA1;NDUFB5;FH;SDHA;SUCLA2;ATP5F1C;SDHB;UQCRQ;OGDH;NDUFS5;SUCLG1;NIPSNAP2;NDUFB4;IDH2;MT-ATP8;MT-ATP6;ATP5MF;IDH3A;MT-ND3;ATP5PO;SLC25A13;ATP5MG;ATP5ME;NDUFS6;NDUFA2;MT-CO2;UQCRB;NDUFA12;PNPT1;COX7C;NDUFB9;NDUFA8;NDUFB3;IDH3G;MDH2;NDUFS4;ACO2;IDH3B;NDUFV2;COX7A1;COQ9;NDUFS3;NDUFB11;NDUFS8;COA6;PPIF;FXN;SHMT2;NDUFB1;COX5A;UQCRC2;COX4I1;NDUFA10;NDUFB7;NDUFA13;CYC1;NDUFV1;NDUFA9;NDUFA6;ATP5PF;SURF1;ETFB;ARL2;ATP5PB;NDUFS1;UQCR10;CS;IDE;STOML2;NDUFS2;COX5B;ATP5F1A;UQCRC1;NDUFA11;NDUFA3;NDUFA7;NDUFA5;COX7A2;HCCS,GO:BP,Cancer_vs_Healthy
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,8.789620054651922e-15,5.111164061780093e-12,0.9865462835875821,-0.5888478325817507,-2.9391120777536606,85,NDUFA4;DMAC2L;SLC25A3;NNT;ATP1A2;ATP5F1D;ATP1A1;ATP1B1;MT-ND4;ATP5PD;MT-ND5;SLC16A1;NDUFB5;ATP5F1C;NDUFS5;NDUFB4;MT-ATP8;MT-ATP6;ATP5MF;MT-ND3;ATP5PO;SLC25A13;ATP5MG;ATP5ME;NDUFS6;NDUFA2;MT-CO2;NDUFA12;NDUFB9;NDUFA8;NDUFB3;NDUFS4;NDUFV2;COX7A1;NDUFS3;NDUFS8;PPIF;NDUFB1;COX5A;SLC25A4;COX4I1;NDUFA10;NDUFB7;CYC1;NDUFV1;SLC25A5;NDUFA9;NDUFA6;ATP6V1B2;ATP5PF;SURF1;ATP5PB;NDUFS1;UQCR10;SLC25A12;PHB2;LETM1;NDUFS2;COX5B;ATP5F1A;UQCRC1;NDUFA3;NDUFA7;NDUFA5,GO:BP,Cancer_vs_Healthy
GOBP_AEROBIC_RESPIRATION,9.841980939372414e-14,3.815407944163373e-11,0.9545416307257243,-0.49478817017138543,-2.664762629344679,129,NDUFA4;SDHC;MFN2;NNT;BCL2L13;ATP5F1D;DLAT;SDHD;DLD;MT-ND4;PDHB;ATP5PD;MT-ND5;DLST;PDHA1;NDUFB5;FH;SDHA;SUCLA2;ATP5F1C;SDHB;UQCRQ;OGDH;NDUFS5;SUCLG1;NIPSNAP2;NDUFB4;IDH2;MT-ATP8;MT-ATP6;ATP5MF;IDH3A;MT-ND3;ATP5PO;ATP5MG;ATP5ME;NDUFS6;NDUFA2;MT-CO2;UQCRB;NDUFA12;COX7C;NDUFB9;NDUFA8;NDUFB3;IDH3G;MDH2;NDUFS4;ACO2;IDH3B;NDUFV2;COX7A1;COQ9;NDUFS3;NDUFB11;NDUFS8;COA6;PPIF;FXN;SHMT2;NDUFB1;COX5A;UQCRC2;COX4I1;NDUFA10;NDUFB7;NDUFA13;CYC1;NDUFV1;NDUFA9;NDUFA6;ATP5PF;SURF1;ARL2;ATP5PB;NDUFS1;UQCR10;CS;IDE;STOML2;NDUFS2;COX5B;ATP5F1A;UQCRC1;NDUFA11;NDUFA3;NDUFA7;NDUFA5,GO:BP,Cancer_vs_Healthy
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,1.3374969093855816e-13,3.8887722640385786e-11,0.9436322252328375,-0.4358180219526853,-2.4786375472319024,180,NDUFA4;SDHC;MFN2;CISD1;STBD1;NNT;BCL2L13;ATP5F1D;DLAT;TRAP1;ACADVL;SDHD;DLD;GAA;MT-ND4;PDHB;ETFDH;ATP5PD;MT-ND5;DLST;PDHA1;NDUFB5;FH;SDHA;SUCLA2;ATP5F1C;GYG1;SDHB;UQCRQ;OGDH;NDUFS5;PFKM;SUCLG1;NIPSNAP2;NDUFB4;IDH2;MT-ATP8;MT-ATP6;ATP5MF;IDH3A;MT-ND3;ATP5PO;SLC25A13;ATP5MG;ATP5ME;NDUFS6;NDUFA2;MT-CO2;GYS1;UQCRB;NDUFA12;PHKA2;PNPT1;COX7C;NDUFB9;AGL;NDUFA8;NDUFB3;IDH3G;MDH2;NDUFS4;ACO2;IDH3B;NDUFV2;PYGM;COX7A1;COQ9;NDUFS3;NDUFB11;NDUFS8;ACADM;COA6;PPIF;FXN;PHKB;SHMT2;NDUFB1;PHKG1;COX5A;UQCRC2;COX4I1;PHKA1;NDUFA10;NDUFB7;NDUFA13;CYC1;NDUFV1;NDUFA9;NDUFA6;ATP5PF;SURF1;ETFB;PPP1R2;ARL2;ATP5PB;NDUFS1;UQCR10;CS;PPP1CB;IDE;STOML2;NDUFS2;COX5B;ATP5F1A;UQCRC1;NDUFA11;PYGB;NDUFA3;NDUFA7;NDUFA5;GBE1;COX7A2;HCCS,GO:BP,Cancer_vs_Healthy
GOBP_WOUND_HEALING,6.657306320792184e-13,1.548489450216262e-10,0.9214260034948982,0.5964829791620845,2.534233540986013,100,SERPING1;FBLN1;APOE;SERPINF2;CLIC1;CSRP1;FN1;LRG1;HBB;SERPINA1;YAP1;ANXA1;TLN1;FLNA;PRDX2;LCP1;ANXA2;CD9;F13A1;ILK;CAV1;S100A10;PPIA;PDIA3;MCAM;AHNAK;ANXA5;MYH9;CD34;GNAS;RHOA;CD36;COMP;ACTB;ITGB1;CNN2;HMGB1;GPX1;MYL9;CORO1B;MYH10;AP3B1;AQP1;GNAQ;CRK;VWF;VCL;THBS1;RHOC;CD44;FERMT2;DMTN;CTSG;PROS1;KLKB1,GO:BP,Cancer_vs_Healthy
GOBP_HUMORAL_IMMUNE_RESPONSE,1.2633495530329488e-12,2.448792550295533e-10,0.9101197347744591,0.7185034640869064,2.671367277063341,47,CFH;IGKV3-20;CLU;SERPING1;C3;A2M;CFB;CFI;IGHM;IGHG2;S100A9;IGHG1;TF;IGHA1;DEFA3;IGHA2;C4A;IGHG3;CD81;B2M;C8G;C1QB;C1QC;JCHAIN;LGALS3;LYZ;C1S;PPBP,GO:BP,Cancer_vs_Healthy
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,2.6215609503188706e-12,4.355536264601209e-10,0.8986712320616942,-0.6302189396281526,-2.911271176770924,59,SDHC;ATP5F1D;SDHD;MT-ND4;ATP5PD;MT-ND5;NDUFB5;SDHA;ATP5F1C;SDHB;NDUFS5;NDUFB4;MT-ATP8;MT-ATP6;ATP5MF;MT-ND3;ATP5PO;ATP5MG;ATP5ME;NDUFS6;NDUFA2;NDUFA12;NDUFB9;NDUFA8;NDUFB3;NDUFS4;NDUFV2;NDUFS3;NDUFB11;NDUFS8;NDUFB1;NDUFA10;NDUFB7;NDUFA13;NDUFV1;NDUFA9;NDUFA6;ATP5PF;ATP5PB;NDUFS1;STOML2;NDUFS2;ATP5F1A;NDUFA11;NDUFA3;NDUFA7;NDUFA5,GO:BP,Cancer_vs_Healthy
GOBP_OXIDATIVE_PHOSPHORYLATION,3.2040821605996336e-12,4.657934440971717e-10,0.8986712320616942,-0.5167097748737968,-2.6586369917667945,102,NDUFA4;SDHC;BCL2L13;ATP5F1D;SDHD;DLD;MT-ND4;ATP5PD;MT-ND5;NDUFB5;SDHA;ATP5F1C;SDHB;UQCRQ;NDUFS5;NIPSNAP2;NDUFB4;MT-ATP8;MT-ATP6;ATP5MF;MT-ND3;ATP5PO;ATP5MG;ATP5ME;NDUFS6;NDUFA2;MT-CO2;UQCRB;NDUFA12;COX7C;NDUFB9;NDUFA8;NDUFB3;NDUFS4;NDUFV2;COX7A1;COQ9;NDUFS3;NDUFB11;NDUFS8;COA6;PPIF;FXN;SHMT2;NDUFB1;COX5A;UQCRC2;COX4I1;NDUFA10;NDUFB7;NDUFA13;CYC1;NDUFV1;NDUFA9;NDUFA6;ATP5PF;ATP5PB;NDUFS1;UQCR10;STOML2;NDUFS2;COX5B;ATP5F1A;UQCRC1;NDUFA11;NDUFA3;NDUFA7;NDUFA5;COX7A2,GO:BP,Cancer_vs_Healthy
GOBP_ATP_BIOSYNTHETIC_PROCESS,1.4687486770232035e-11,1.897949679308873e-9,0.8634153916066928,-0.5817875942625672,-2.7845080795473813,70,SDHC;DMAC2L;ATP5F1D;SDHD;MT-ND4;ATP5PD;MT-ND5;NDUFB5;SDHA;ATP5F1C;SDHB;COX11;NDUFS5;NDUFB4;MT-ATP8;MT-ATP6;ATP5MF;MT-ND3;ATP5PO;SLC25A13;ATP5MG;ATP5ME;NDUFS6;NDUFA2;NDUFA12;NDUFB9;NDUFA8;NDUFB3;NDUFS4;NDUFV2;NDUFS3;NDUFB11;NDUFS8;STAT3;NDUFB1;NDUFA10;NDUFB7;NDUFA13;NDUFV1;NDUFA9;NDUFA6;ATP5PF;ATP5PB;NDUFS1;STOML2;PARP1;NDUFS2;ATP5F1A;NDUFA11;NDUFA3;NDUFA7;NDUFA5,GO:BP,Cancer_vs_Healthy
GOBP_CELL_SUBSTRATE_ADHESION,1.7362507941766972e-11,2.0192596736274987e-9,0.8634153916066928,0.6103833144105841,2.4749249185274134,76,FBLN1;RAB1A;FN1;THY1;CTTN;TLN1;FLNA;FBLN2;ANXA2;APOD;ILK;ACTN4;S100A10;PARVA;ZYX;CD34;CORO1C;RHOA;RRAS;CD36;ITGA1;ITGB1;CFL1;SORBS1;RSU1;NID1;LAMC1;LIMS1;TNXB;CALR;CRK;VWF;VCL;THBS1;CDC42;CD44;FERMT2;ARPC2;DMTN;NRP1;P4HB;CD63;PECAM1;ACTN1;ITGA7;POLDIP2;LAMB1;ITGA6;ACTN3,GO:BP,Cancer_vs_Healthy
