"gene","t_TR","t_CvH","logFC_CvH","cancer_dir"
"ENPP4",3.76629068769579,-0.9024869445635,-0.282204904466684,"Cancer Down"
"CLPP",3.70751806664393,-2.9436842243304,-0.511865318463197,"Cancer Down"
"MRPL13",3.36820476045064,-2.38311489758624,-0.707579927613581,"Cancer Down"
"MAP1B",-3.27993764347176,2.3617764972554,1.41081035987772,"Cancer Up"
"MAP1B",-3.27993764347176,2.3617764972554,1.41081035987772,"Cancer Up"
"RBM3",-3.26071676208614,1.80128122290632,0.833518104284867,"Cancer Up"
"CTBP1",3.1757958300574,-1.35879692362286,-0.24447290888064,"Cancer Down"
"SCN1B",-3.12120128816008,1.36322242977837,0.32755732515538,"Cancer Up"
"ALDH1B1",3.1155647036194,-2.44635293129271,-0.628817718207475,"Cancer Down"
"DIAPH2",3.09999239618901,-4.77703110388149,-1.56027280730677,"Cancer Down"
"DIAPH2",3.09999239618901,-4.77703110388149,-1.56027280730677,"Cancer Down"
"ATL3",-2.92470983936637,5.3475196688167,3.769608113696,"Cancer Up"
"ATL3",-2.92470983936637,5.3475196688167,3.769608113696,"Cancer Up"
"SELENOO",2.84895963541094,-0.61999731230484,-0.300283239745148,"Cancer Down"
"SORD",-2.84776069174066,4.07741099323585,0.891959098264621,"Cancer Up"
"PEBP4",-2.80567763938061,1.1759741173288,0.251655349308622,"Cancer Up"
"CTNNA1",-2.78226476670192,4.16606660774461,0.946830026344129,"Cancer Up"
"MARCHF5",2.78024020624046,-4.12648069660719,-1.04114093406887,"Cancer Down"
"MARCHF5",2.78024020624046,-4.12648069660719,-1.04114093406887,"Cancer Down"
"TMEM70",2.74299273230924,-0.489647898039608,-0.190208591044687,"Cancer Down"
"GGT5",-2.74086955580959,3.96125130336591,1.64844011624526,"Cancer Up"
"TUBB4A",-2.71114964820356,4.43238278902196,2.04818482067513,"Cancer Up"
"TUBB4A",-2.71114964820356,4.43238278902196,2.04818482067513,"Cancer Up"
"G3BP2",2.65754463696912,-2.14664409554277,-0.920528901104601,"Cancer Down"
"C19orf12",2.63608846874833,-3.16120479937523,-0.819845941783179,"Cancer Down"
