pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
REACTOME_ION_HOMEOSTASIS,2.764876608775813e-8,9.981204557680685e-6,3.1124448799608033,20,26,Reactome,10.455043859649123,blue,Ion Homeostasis,AHCYL1/ATP1A1/ATP1A2/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/CASQ2/FXYD1/PLN/PRKACA/RYR1/STIM1,20,9.981204557680685e-6,REACTOME_ION_HOMEOSTASIS
GOBP_TRANSLATIONAL_INITIATION,1.1016541198824763e-8,1.323086597978854e-5,2.4002752887833316,35,59,GO:BP,4.645517144463182,blue,Translational Initiation,ABCE1/ABCF1/BZW2/COPS5/CSDE1/DDX1/EIF1/EIF1AX/EIF2A/EIF2B1/EIF2B3/EIF2S1/EIF2S2/EIF2S3/EIF3A/EIF3B/EIF3C/EIF3D/EIF3E/EIF3G/EIF3I/EIF3J/EIF3K/EIF3L/EIF4A2/EIF4G1/EIF4G2/EIF4H/EIF5/EIF5B/METAP2/PAIP1/RPS17/RPS3/RPS3A,35,1.323086597978854e-5,GOBP_TRANSLATIONAL_INITIATION
REACTOME_CARDIAC_CONDUCTION,1.89183733317869e-7,3.127453288940895e-5,2.8323248407643313,21,30,Reactome,7.319055464030752,blue,Cardiac Conduction,AHCYL1/ATP1A1/ATP1A2/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/CACNB1/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/CASQ2/FXYD1/PLN/PRKACA/RYR1/STIM1,21,3.127453288940895e-5,REACTOME_CARDIAC_CONDUCTION
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,2.59899165285947e-7,3.127453288940895e-5,3.371815286624204,15,18,Reactome,15.579119086460032,blue,Ion Transport By P Type Atpases,ATP1A1/ATP1A2/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CUTC/FXYD1/PLN,15,3.127453288940895e-5,REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES
REACTOME_NEDDYLATION,1.6546528868640212e-6,1.4933242303947792e-4,2.0230891719745223,37,74,Reactome,3.1742808798646363,blue,Neddylation,COPS2/COPS3/COPS4/COPS5/COPS6/COPS7A/CUL1/CUL2/CUL3/CUL4A/CUL4B/CUL5/DCAF6/DDB1/ELOB/ELOC/GPS1/NAE1/NEDD8/NPLOC4/PSMB5/PSMC4/PSMC5/PSMD1/PSMD11/PSMD12/PSMD2/PSMD3/PSMD6/RBBP7/RNF7/SENP8/UBA3/UBE2D1/UBE2D3/UBE2M/UFD1,37,1.4933242303947792e-4,REACTOME_NEDDYLATION
REACTOME_ION_CHANNEL_TRANSPORT,1.1158699427872699e-5,8.056580986924088e-4,2.452229299363057,20,33,Reactome,4.8076923076923075,blue,Ion Channel Transport,ATP1A1/ATP1A2/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/ATP6V1B2/ATP6V1D/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/CASQ2/CUTC/FXYD1/PLN/RYR1,20,8.056580986924088e-4,REACTOME_ION_CHANNEL_TRANSPORT
REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER,2.7915191237217593e-5,0.0016795640061059252,2.92223991507431,13,18,Reactome,8.066341463414634,blue,Transcription Coupled Nucleotide Excision Repair Tc Ner,COPS2/COPS3/COPS4/COPS5/COPS6/COPS7A/CUL4A/CUL4B/DDB1/GPS1/RPA1/RPA3/USP7,13,0.0016795640061059252,REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER
REACTOME_REGULATION_OF_TP53_ACTIVITY,3.355634568641907e-5,0.0017305486846853262,2.589554140127389,16,25,Reactome,5.530864197530864,blue,Regulation Of Tp53 Activity,CSNK2A1/CSNK2B/MAP2K6/MAPK14/PIN1/PIP4K2B/PPP2CA/PRKAA1/PRKAA2/PRMT5/RBBP4/RBBP7/RPA1/RPA3/SMYD2/USP7,16,0.0017305486846853262,REACTOME_REGULATION_OF_TP53_ACTIVITY
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,4.407324901313193e-5,0.0019888053617175784,2.023089171974522,27,54,Reactome,3.1381031613976704,blue,Activation Of The Mrna Upon Binding Of The Cap Binding Complex And Eifs And Subsequent Binding To 43s,EIF1AX/EIF2S1/EIF2S2/EIF2S3/EIF3A/EIF3B/EIF3C/EIF3D/EIF3E/EIF3G/EIF3I/EIF3J/EIF3K/EIF3L/EIF4A2/EIF4G1/EIF4H/PABPC1/RPS11/RPS17/RPS2/RPS3/RPS3A/RPS4X/RPS6/RPS8/RPS9,27,0.0019888053617175784,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,1.639547649111102e-4,0.006576407792545643,1.7637187653111221,34,78,Reactome,2.431359044995409,blue,Antigen Processing Ubiquitination Proteasome Degradation,ARIH2/CUL1/CUL2/CUL3/CUL5/ELOB/ELOC/NPEPPS/PSMB5/PSMC4/PSMC5/PSMD1/PSMD11/PSMD12/PSMD2/PSMD3/PSMD6/RNF114/RNF123/RNF126/RNF7/STUB1/THOP1/UBA3/UBA6/UBAC1/UBE2D1/UBE2D3/UBE2K/UBE2M/UBE2R2/UBE2V2/UBE3A/UBE3C,34,0.006576407792545643,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION
