module,contrast,NES,pval,size,padj
blue,CRvH_Baseline,-3.7048697251178195,1e-10,420,1.6666666666666669e-10
brown,CRvH_Baseline,-3.7167046133601853,1e-10,393,1.6666666666666669e-10
green,CRvH_Baseline,-0.7842340675702445,0.8652291105121294,58,0.9419795221843004
turquoise,CRvH_Baseline,4.527499480247377,1e-10,588,1.6666666666666669e-10
yellow,CRvH_Baseline,-0.806749171114306,0.9419795221843004,172,0.9419795221843004
blue,CR_Training,1.6689223401595563,1.858463722544328e-6,407,3.09743953757388e-6
brown,CR_Training,-1.1086515969578754,0.1596244131455399,377,0.1596244131455399
green,CR_Training,2.182847350778673,2.8702973121071288e-6,57,3.587871640133911e-6
turquoise,CR_Training,-2.011454404473803,1e-10,627,2.5e-10
yellow,CR_Training,2.4441910891674765,1e-10,169,2.5e-10
