module_color,pathway,database,pval,padj,overlap,size,odds_ratio
turquoise,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,4.38682961150066e-11,1.7547318446002642e-9,39,52,7.061611374407583
turquoise,REACTOME_NEUTROPHIL_DEGRANULATION,Reactome,7.233740543034355e-10,3.240715763279391e-7,75,135,3.021356783919598
turquoise,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,Reactome,3.470018867669268e-9,7.772842263579161e-7,41,61,4.817987321711569
turquoise,REACTOME_ECM_PROTEOGLYCANS,Reactome,1.137696597708701e-8,1.698960252578327e-6,21,24,16.129032258064516
turquoise,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,GO:BP,3.774978354454228e-9,5.55299315940217e-6,32,43,6.781818181818182
turquoise,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,Reactome,6.006430778109636e-7,6.0879316752118415e-5,21,27,8.048387096774194
turquoise,REACTOME_CILIUM_ASSEMBLY,Reactome,6.794566601798931e-7,6.0879316752118415e-5,22,29,7.233406593406594
turquoise,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,Reactome,2.164383221108294e-6,1.3852052615093082e-4,13,14,29.629742033383916
turquoise,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,Reactome,2.164383221108294e-6,1.3852052615093082e-4,13,14,29.629742033383916
turquoise,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,Reactome,4.043431832128561e-6,2.2643218259919942e-4,14,16,15.96808510638298
turquoise,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,Reactome,6.599272089751894e-6,3.2849709957876095e-4,12,13,27.30909090909091
turquoise,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,GO:BP,5.017249201990013e-7,3.6901867880636543e-4,20,25,9.190184049079754
turquoise,HALLMARK_PROTEIN_SECRETION,Hallmark,3.130008439433734e-5,6.260016878867467e-4,25,40,3.8330757341576507
turquoise,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Reactome,1.476161954311374e-5,6.613205555314954e-4,34,59,3.1505956112852664
turquoise,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,Reactome,1.8245353260517988e-5,7.430834782465507e-4,24,37,4.245014245014245
turquoise,REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,Reactome,2.168888433485228e-5,7.474323216933709e-4,22,33,4.590769230769231
turquoise,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,KEGG,4.641249327199378e-5,0.0013923747981598135,30,52,3.1457094307561597
turquoise,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,Reactome,4.971702603740315e-5,0.0014834182105809095,26,43,3.5181205609178656
turquoise,REACTOME_DEVELOPMENTAL_CELL_LINEAGES,Reactome,6.056918093766709e-5,0.0015961760623573443,16,22,6.085365853658536
turquoise,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,Reactome,7.212120725309684e-5,0.001700542149967757,40,77,2.5076975709887104
turquoise,REACTOME_CELL_CELL_COMMUNICATION,Reactome,7.212120725309684e-5,0.001700542149967757,40,77,2.5076975709887104
turquoise,REACTOME_SIGNALING_BY_INTERLEUKINS,Reactome,8.745460031821783e-5,0.0018656981401219803,43,85,2.3780377015671132
turquoise,REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS,Reactome,1.0259425141536455e-4,0.002089192028821969,31,56,2.859157566302652
turquoise,REACTOME_MRNA_3_END_PROCESSING,Reactome,1.1633019764682629e-4,0.0021394475963266973,24,40,3.4421296296296298
turquoise,REACTOME_COLLAGEN_DEGRADATION,Reactome,1.1946011357155914e-4,0.0021394475963266973,12,15,9.090909090909092
turquoise,REACTOME_SIGNALING_BY_WNT,Reactome,1.241643694296744e-4,0.0021394475963266973,37,71,2.5175081056044464
turquoise,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,Reactome,1.3614052095772822e-4,0.002255127985696441,13,17,7.392640364188164
turquoise,REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,Reactome,1.4444508462818916e-4,0.002255127985696441,14,19,6.374468085106383
turquoise,REACTOME_BIOLOGICAL_OXIDATIONS,Reactome,1.5996058594679066e-4,0.0023887447501387406,31,57,2.7473298931957277
turquoise,REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE,Reactome,1.7117182820290623e-4,0.002473709001125871,33,62,2.6248988181965354
turquoise,GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS,GO:BP,8.316205321615578e-6,0.0026408752109146967,25,38,4.428724289620734
turquoise,GOBP_RESPONSE_TO_TYPE_II_INTERFERON,GO:BP,1.0631969736123552e-5,0.0026408752109146967,20,28,5.732361963190184
turquoise,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,GO:BP,1.1645728234126953e-5,0.0026408752109146967,13,15,14.805007587253414
turquoise,GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,GO:BP,1.2567047230729353e-5,0.0026408752109146967,35,61,3.121301775147929
turquoise,REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,Reactome,2.332236753723589e-4,0.0030383141359003937,23,39,3.293624807395994
turquoise,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,Reactome,2.3900056426063207e-4,0.0030383141359003937,26,46,2.9843653250773996
turquoise,REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_INTEGUMENTARY_SYSTEM,Reactome,2.606115130261126e-4,0.0030383141359003937,10,12,11.336858006042297
turquoise,REACTOME_LAMININ_INTERACTIONS,Reactome,2.606115130261126e-4,0.0030383141359003937,10,12,11.336858006042297
turquoise,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,Reactome,2.7127804784824947e-4,0.0030383141359003937,22,37,3.3575384615384616
turquoise,REACTOME_MITOTIC_G2_G2_M_PHASES,Reactome,3.06036480240768e-4,0.003095239894910958,32,61,2.5413793103448277
turquoise,REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,Reactome,3.151897087378514e-4,0.003095239894910958,11,14,8.32072617246596
turquoise,REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,Reactome,3.151897087378514e-4,0.003095239894910958,11,14,8.32072617246596
turquoise,REACTOME_SIGNALING_BY_MET,Reactome,3.2900087977461777e-4,0.003095239894910958,15,22,4.879321591650359
turquoise,REACTOME_SARS_COV_1_HOST_INTERACTIONS,Reactome,3.325505938394854e-4,0.003095239894910958,24,42,3.0555555555555554
turquoise,REACTOME_AGGREPHAGY,Reactome,3.523598987510242e-4,0.003095239894910958,13,18,5.910166919575114
turquoise,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,GO:BP,2.0312842227272443e-5,0.0031115149548248304,15,19,8.55593607305936
turquoise,GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,GO:BP,2.0312842227272443e-5,0.0031115149548248304,15,19,8.55593607305936
turquoise,GOBP_CELL_SUBSTRATE_ADHESION,GO:BP,2.4205766460142766e-5,0.0031115149548248304,34,60,3.0273691825415963
turquoise,GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,GO:BP,2.4435394228996777e-5,0.0031115149548248304,20,29,5.0920245398773005
turquoise,GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION,GO:BP,2.5382854832017653e-5,0.0031115149548248304,18,25,5.882044560943643
turquoise,GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,GO:BP,4.311892445896026e-5,0.004099402349846223,27,45,3.453488372093023
turquoise,GOBP_CYTOSOLIC_TRANSPORT,GO:BP,4.379909430600839e-5,0.004099402349846223,22,34,4.205384615384616
turquoise,GOBP_DNA_BIOSYNTHETIC_PROCESS,GO:BP,4.458901264278693e-5,0.004099402349846223,13,16,9.863429438543248
turquoise,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Reactome,5.277120233199072e-4,0.004371156587702701,47,101,2.0178666666666665
turquoise,REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,Reactome,5.366375275081441e-4,0.004371156587702701,24,43,2.892787524366472
turquoise,HALLMARK_MYC_TARGETS_V1,Hallmark,3.413158445934593e-4,0.004550877927912791,51,110,2.0099893556046835
turquoise,GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,GO:BP,6.00928321659107e-5,0.0046524503218976125,10,11,22.68882175226586
turquoise,GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,GO:BP,6.531212969533321e-5,0.004803707139091757,24,39,3.674074074074074
turquoise,REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,Reactome,7.145761283672337e-4,0.0052480345165331265,9,11,10.187782805429864
turquoise,REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,Reactome,7.145761283672337e-4,0.0052480345165331265,9,11,10.187782805429864
turquoise,REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,Reactome,7.145761283672337e-4,0.0052480345165331265,9,11,10.187782805429864
turquoise,REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS,Reactome,7.145761283672337e-4,0.0052480345165331265,9,11,10.187782805429864
