module,trait,r,p,n,padj
turquoise,age,-0.00686787544487945,0.9740082459496524,25,0.9740082459496524
green,age,0.09737062190829193,0.6433421527041063,25,0.9382073060268217
brown,age,-0.021823202008403965,0.9175330741766585,25,0.9445193410642072
blue,age,0.0542019954722343,0.796928512075413,25,0.9445193410642072
yellow,age,-0.05600189408019408,0.7903297081375315,25,0.9445193410642072
turquoise,pre_ALM_kg,-0.04763434957949016,0.8211187898715951,25,0.9445193410642072
green,pre_ALM_kg,-0.16536407991291868,0.42955602293367334,25,0.692867923885445
brown,pre_ALM_kg,-0.06599212572959685,0.7539694478811498,25,0.9445193410642072
blue,pre_ALM_kg,0.19320733354359773,0.3547892988270842,25,0.6399307935119019
yellow,pre_ALM_kg,0.25203908157894483,0.22420647085471715,25,0.4682054124594966
turquoise,pre_sts_max_pwr,-0.4050278368875641,0.13422795044947597,15,0.3131985510487773
green,pre_sts_max_pwr,-0.03538996248544643,0.9003559123427436,15,0.9445193410642072
brown,pre_sts_max_pwr,0.21779959311004013,0.43551698072799405,15,0.692867923885445
blue,pre_sts_max_pwr,0.5073637492299601,0.053542268138126986,15,0.18739793848344444
yellow,pre_sts_max_pwr,0.4438427979437243,0.09745934766132086,15,0.26239055139586387
turquoise,pre_LBM_kg,-0.07213973371205504,0.7983452607133588,15,0.9445193410642072
green,pre_LBM_kg,-0.050643735776296314,0.8577494331442296,15,0.9445193410642072
brown,pre_LBM_kg,0.03037608356974632,0.914421334942157,15,0.9445193410642072
blue,pre_LBM_kg,0.20548144559788778,0.4625338289347123,15,0.7038558266397796
yellow,pre_LBM_kg,0.2516065238750812,0.3656747391496582,15,0.6399307935119019
turquoise,pre_chest_press_lbs,-0.6072666710519478,0.016353468425329448,15,0.11447427897730614
green,pre_chest_press_lbs,0.3278689099722727,0.23286885242042904,15,0.4682054124594966
brown,pre_chest_press_lbs,0.420719987790321,0.11838295683732966,15,0.29595739209332417
blue,pre_chest_press_lbs,0.6908355096737958,0.004348900187804863,15,0.11447427897730614
yellow,pre_chest_press_lbs,0.6230683453522442,0.0130889406043599,15,0.11447427897730614
turquoise,pre_leg_ext_lbs,-0.6738002028358959,0.011565216572258554,13,0.11447427897730614
green,pre_leg_ext_lbs,0.6601421703230363,0.014067084563742723,13,0.11447427897730614
brown,pre_leg_ext_lbs,0.5584518875446819,0.04729539521736432,13,0.18739793848344444
blue,pre_leg_ext_lbs,0.6341006668136536,0.01993916678442069,13,0.11631180624245402
yellow,pre_leg_ext_lbs,0.5349321628804419,0.05961378612004261,13,0.18968022856377192
turquoise,pre_grip_lbs,-0.45269224248306134,0.09018684086397959,15,0.26239055139586387
green,pre_grip_lbs,0.09525599629167879,0.7355981909871112,15,0.9445193410642072
brown,pre_grip_lbs,0.32267602080930935,0.24079135497916968,15,0.4682054124594966
blue,pre_grip_lbs,0.5541566015906426,0.03206696621586423,15,0.16033483107932117
yellow,pre_grip_lbs,0.508433999785196,0.05295693868193254,15,0.18739793848344444
