module,trait,r,p,n,padj
turquoise,age,-0.061240141696624374,0.7111221090682032,39,0.854874695200232
yellow,age,0.16473633433127288,0.31625930885330233,39,0.5903507098594977
blue,age,0.06876498347638815,0.6774405610122298,39,0.854874695200232
brown,age,-0.0028787497904070353,0.9861231854848351,39,0.9861231854848351
turquoise,ALM_kg,-0.12380296694794375,0.45271864135929385,39,0.6671643135821173
yellow,ALM_kg,-0.049817498027624904,0.7632809778573499,39,0.854874695200232
blue,ALM_kg,0.279895126889359,0.08439117231870033,39,0.21481389317487357
brown,ALM_kg,0.02912955935176579,0.8602683378289777,39,0.9264428253542837
turquoise,sts_max_pwr,-0.42624998386880286,0.021127925624440436,29,0.07394773968554152
yellow,sts_max_pwr,-0.12222270511354323,0.527640148619458,29,0.7386962080672411
blue,sts_max_pwr,0.5520699303239363,0.001903110568604685,29,0.013321773980232795
brown,sts_max_pwr,0.20729783293872936,0.2805863069465879,29,0.5611726138931759
turquoise,LBM_kg,-0.16686767303283154,0.3869445792289885,29,0.637320483435981
yellow,LBM_kg,-0.05966610226398982,0.7584992355194496,29,0.854874695200232
blue,LBM_kg,0.29253165098944295,0.123573534971299,29,0.2661583830151055
brown,LBM_kg,0.0813741315110005,0.6747525233667397,29,0.854874695200232
turquoise,chest_press_lbs,-0.5630299543647344,0.0014735940856722691,29,0.013321773980232795
yellow,chest_press_lbs,0.14583145797638836,0.45035026752924945,29,0.6671643135821173
blue,chest_press_lbs,0.7004086735733491,2.3338357731511466e-5,29,6.534740164823211e-4
brown,chest_press_lbs,0.34453604704501145,0.06720996605426814,29,0.18818790495195079
turquoise,leg_ext_lbs,-0.498472635558513,0.011207476344688152,25,0.04482990537875261
yellow,leg_ext_lbs,0.18475474652311288,0.37662808579839835,25,0.637320483435981
blue,leg_ext_lbs,0.5745835144705651,0.002663777905807776,25,0.014917156272523545
brown,leg_ext_lbs,0.42421692697660834,0.034559921892989606,25,0.10751975700041211
turquoise,grip_lbs,-0.4989827814515402,0.005861314321804242,29,0.0273528001684198
yellow,grip_lbs,0.02092153150801178,0.9142165518233849,29,0.9480764241131399
blue,grip_lbs,0.6013874933580461,5.594731114727113e-4,29,0.007832623560617959
brown,grip_lbs,0.30727539533664466,0.104922214759538,29,0.2448185011055887
