module,trait,beta,se,t,p,padj
turquoise,age,-0.006415328343393471,0.030061919396106543,-0.21340381693074295,0.8321835670920157,0.9125834848160206
turquoise,ALM_kg,-0.019598669851343967,0.029800936165832282,-0.6576528248067074,0.5148321298119893,0.7536168772662039
turquoise,sts_max_pwr,-0.06988444372179971,0.029608379410659615,-2.360292765521638,0.023643382509459073,0.07355719002942823
turquoise,LBM_kg,-0.02921688263873325,0.03623229382718999,-0.8063768410049675,0.4251784596933501,0.6613887150785446
turquoise,chest_press_lbs,-0.0945157096416318,0.02763824903368159,-3.4197430353293883,0.0015410772397840414,0.014383387571317722
turquoise,leg_ext_lbs,-0.08140612450328585,0.029903168744932068,-2.722324352902647,0.009827875960533514,0.039311503842134055
turquoise,grip_lbs,-0.082916063277127,0.029080269494103,-2.851282492204586,0.007081658747244425,0.033047740820473986
yellow,age,0.02639227008356334,0.026495417976400305,0.9961069535521636,0.3256683222647164,0.607914201560804
yellow,ALM_kg,-0.008139122892804978,0.0271446509126674,-0.2998426068911703,0.7659753099244029,0.8939975948906096
yellow,sts_max_pwr,-0.022476313808771832,0.036183986959652865,-0.6211674195503707,0.5382977694758599,0.7536168772662039
yellow,LBM_kg,-0.011141246879024767,0.03720753880441282,-0.2994352014947953,0.7662836527633796,0.8939975948906096
yellow,chest_press_lbs,0.030010818201866386,0.036932518677450954,0.8125852034074623,0.4216537095114655,0.6613887150785446
yellow,leg_ext_lbs,0.0340639215314029,0.035803401428580295,0.9514157921378709,0.3475673836401473,0.6082429213702577
yellow,grip_lbs,0.0039522880388250985,0.03703357737811222,0.10672174601098625,0.9155862928707008,0.9155862928707008
blue,age,0.009655311883718537,0.029842694329586503,0.323540219830155,0.7481078293441153,0.8939975948906096
blue,ALM_kg,0.0441977265117984,0.028546768409329553,1.548256737086705,0.13007243265290408,0.3035023428567762
blue,sts_max_pwr,0.09116387076423528,0.029694619038195716,3.070046820502147,0.003995949863295582,0.022377319234455257
blue,LBM_kg,0.05000996884845558,0.03880547351690784,1.2887349210328758,0.20549025118227615,0.4109805023645523
blue,chest_press_lbs,0.12668144316044816,0.026494018718972293,4.781511046103849,2.7651434443540445e-5,7.742401644191324e-4
blue,leg_ext_lbs,0.08859555948395799,0.02678157066095713,3.308079298467543,0.0020989347633196074,0.014692543343237252
blue,grip_lbs,0.10354417520489634,0.028920588750461995,3.580292783743632,9.814189992541791e-4,0.013739865989558508
brown,age,-0.005297332807470049,0.029396186955136114,-0.18020475973821826,0.8579751986340906,0.9125834848160206
brown,ALM_kg,0.0044611939754972164,0.029344652310001888,0.1520274947669649,0.8799912175011627,0.9125834848160206
brown,sts_max_pwr,0.04719348226052267,0.0334158112532594,1.4123099362407183,0.16621485639991715,0.3580012291690523
brown,LBM_kg,0.016458349023979284,0.03738580489596299,0.44022989660860545,0.6623317668232881,0.8831090224310507
brown,chest_press_lbs,0.06799322768572685,0.03400996757488745,1.9992147165683343,0.052969847498209904,0.1483155729949877
brown,leg_ext_lbs,0.08498391699678735,0.03354166060849606,2.533682455044013,0.015654126554851752,0.05478944294198113
brown,grip_lbs,0.05846831143375571,0.03429672548313088,1.7047782436989156,0.0966202585361386,0.24594247627380736
