module,model,contrast,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
MEred,CRvCtl,CRvH_Baseline,0.09974,0.06125,29.32,1.6283,0.11414917841598073,0.288,FALSE,0.2435660332129028
MEred,CRvCtl,CR_Training,-0.00411,0.05571,14.01,-0.0738,0.9422262952667293,-0.0197,FALSE,0.9422262952667293
MEturquoise,CRvCtl,CRvH_Baseline,0.17659,0.05205,28.79,3.3924,0.002032943081099508,0.5344,FALSE,0.009487067711797704
MEturquoise,CRvCtl,CR_Training,-0.02772,0.04564,13.63,-0.6073,0.5536584062687879,-0.1623,FALSE,0.7225122815690468
MEyellow,CRvCtl,CRvH_Baseline,0.351,0.01861,27.76,18.8594,2.309637569143857e-17,0.9631,FALSE,3.2334925968014e-16
MEyellow,CRvCtl,CR_Training,-0.00556,0.015,12.9,-0.371,0.7166929856147537,-0.1027,FALSE,0.8237664262372447
MEgreen,CRvCtl,CRvH_Baseline,0.01806,0.05985,30.71,0.3017,0.7649259672202987,0.0544,FALSE,0.8237664262372447
MEgreen,CRvCtl,CR_Training,0.09679,0.05902,15.04,1.6399,0.1217830166064514,0.3895,FALSE,0.2435660332129028
MEblue,CRvCtl,CRvH_Baseline,-0.12504,0.05298,30.45,-2.3601,0.02486636219906769,-0.3933,FALSE,0.08703226769673691
MEblue,CRvCtl,CR_Training,0.05597,0.05151,14.84,1.0865,0.29457532184977214,0.2715,FALSE,0.4582282784329789
MEbrown,CRvCtl,CRvH_Baseline,-0.09961,0.0574,27.66,-1.7354,0.09380170811928727,-0.3133,FALSE,0.2435660332129028
MEbrown,CRvCtl,CR_Training,0.0696,0.04583,12.83,1.5187,0.15308299822192828,0.3903,FALSE,0.2678952468883745
MEgrey,CRvCtl,CRvH_Baseline,-0.02964,0.05131,30.54,-0.5777,0.5676882212328225,-0.104,FALSE,0.7225122815690468
MEgrey,CRvCtl,CR_Training,-0.19266,0.05014,14.91,-3.8423,0.0016152698552707207,-0.7054,FALSE,0.009487067711797704
