module,model,contrast,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
MEturquoise,CRvCtl,CRvH_Baseline,0.19116,0.05028,29.59,3.8021,6.666499337619409e-4,0.5729,FALSE,0.006666499337619409
MEturquoise,CRvCtl,CR_Training,-0.01011,0.04649,14.2,-0.2175,0.8309325283561638,-0.0576,FALSE,0.8682776245661432
MEyellow,CRvCtl,CRvH_Baseline,0.01407,0.06093,30.86,0.231,0.8188498789173672,0.0415,FALSE,0.8682776245661432
MEyellow,CRvCtl,CR_Training,0.0826,0.06058,15.16,1.3636,0.1926061446439039,0.3306,FALSE,0.3852122892878078
MEblue,CRvCtl,CRvH_Baseline,-0.11346,0.05697,26.97,-1.9917,0.0566216434305792,-0.3581,FALSE,0.188738811435264
MEblue,CRvCtl,CR_Training,0.06187,0.04215,12.34,1.4679,0.16714675956455471,0.3856,FALSE,0.3852122892878078
MEbrown,CRvCtl,CRvH_Baseline,-0.16604,0.05155,29.38,-3.2207,0.003117580641416273,-0.5108,FALSE,0.015587903207081364
MEbrown,CRvCtl,CR_Training,0.03273,0.04705,14.05,0.6957,0.497991250872706,0.1825,FALSE,0.7114160726752943
MEgrey,CRvCtl,CRvH_Baseline,-0.05184,0.05983,31.4,-0.8665,0.3927796756965791,-0.1528,FALSE,0.6546327928276319
MEgrey,CRvCtl,CR_Training,0.01031,0.06117,15.59,0.1686,0.8682776245661432,0.0427,FALSE,0.8682776245661432
