gene,pathway_label,pathway_padj,pathway_db,primary_contrast,display_logFC
ADD1,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.73709048461522
ALAD,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,2.01060606967645
ANK1,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,2.62566958554534
BLVRA,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.766650809014266
BLVRB,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.68150470230198
BPGM,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,2.10454421345483
CA2,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.86177563255215
CAST,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.615960884821536
CAT,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,2.79859057459828
CLIC2,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.962629384721106
DCUN1D1,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.698203334286706
DMTN,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.86527639842077
EPB41,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,2.18741458869188
FBXO7,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.72141265502231
GAPVD1,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.767462793001533
GCLC,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.22103538649375
GCLM,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.933646088582929
GYPC,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.990109812152333
HEBP1,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.4583621403395
HMBS,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.1228856118181
MPP1,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.29641153889937
PGLS,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.743026489769989
PICALM,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.00894840975391
PRDX2,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.99706666866736
PSMD9,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.562961833031903
SDCBP,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.735971860588512
SELENBP1,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.1024312291512
SLC2A1,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,2.84936394137929
SNCA,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,3.69965895111177
SPTB,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,2.12699336971905
TNS1,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,0.88725883744937994
UROD,Heme Metabolism,6.693518612321511e-9,Hallmark,Cancer_vs_Healthy,1.48996644881451
ACTN4,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.55458726926722
ANXA5,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.37495599677111
ARRB1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.6447420272077
CALM1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,0.771012708629357
CAP1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.29130580377629
CD36,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.26444135011575
CD9,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.88304433783598
CFL1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,0.645837953271297
CLEC3B,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.66773486980836
CLU,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,3.03340421072831
COL1A2,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,2.77812073856066
F13A1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.52721688387596
FLNA,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.26299775496226
FN1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,2.5661810586055
GNAI1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.30883966364327
GNAI2,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.20518431523039
GNAI3,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.71270874909773
GNAQ,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,0.939392868202848
GNB1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.08426086186027
GNB2,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,0.640536835590961
GNG12,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,0.957827973571813
GNG2,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,2.18674069509387
LGALS3BP,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.67441959234462
MGLL,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.40721256292138
PPBP,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,2.81638722626497
PPIA,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.11062725085068
PROS1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,2.07300332257681
RAP1B,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.28137525972958
RHOG,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,0.978352842149466
SERPINF2,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,2.18487070711746
SERPING1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,3.05703430161384
SOD1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.0552290078898
SPARC,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,2.29538766331821
TAGLN2,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.3220536456676
THBS1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,2.63732015348373
TLN1,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,1.12972715784282
YWHAZ,Platelet Activation Signal..,9.705152897699151e-8,Reactome,Cancer_vs_Healthy,0.857888231163315
BGN,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.48441807120801
CALD1,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.3595903050749
CAPG,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.48027448958949
CD44,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.77118565395032
COL12A1,EMT,1.5326576096223792e-7,Hallmark,Training_CR,1.06187659332068
COL1A2,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,2.77812073856066
COL6A2,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,2.13673113336764
COL6A3,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.21226793623315
COMP,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,3.6044224856376
DCN,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.86292667444177
FBLN1,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.9353613362502
FBLN2,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.03338091711082
FBN1,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.98934251200624
FLNA,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.26299775496226
FN1,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,2.5661810586055
ITGB1,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,0.684037906369099
LAMC1,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.12997708058068
LGALS1,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.18288364491768
LUM,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.8170560975672
MYL9,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,0.809224526439793
PPIB,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.05601920311384
SPARC,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,2.29538766331821
TAGLN,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,2.37282900081741
TGFBI,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,1.19410532132821
THBS1,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,2.63732015348373
THY1,EMT,1.5326576096223792e-7,Hallmark,Cancer_vs_Healthy,2.40084527437348
