uniprot_id,gene,protein,description
A0AVT1,UBA6,UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6
A0FGR8,ESYT2,ESYT2_HUMAN,Extended synaptotagmin-2
A1L0T0,ILVBL,ILVBL_HUMAN,Acetolactate synthase-like protein
A2RTX5,TARS3,SYTC2_HUMAN,"Threonine--tRNA ligase 2, cytoplasmic"
A5D6W6,FITM1,FITM1_HUMAN,Fat storage-inducing transmembrane protein 1
A5D8V6,VPS37C,VP37C_HUMAN,Vacuolar protein sorting-associated protein 37C
A5YM72,CARNS1,CRNS1_HUMAN,Carnosine synthase 1
A6NCE7,MAP1LC3B2,MP3B2_HUMAN,Microtubule-associated proteins 1A/1B light chain 3 beta 2
A6NDG6,PGP,PGP_HUMAN,Glycerol-3-phosphate phosphatase
A6NHX0,CASTOR2,CAST2_HUMAN,Cytosolic arginine sensor for mTORC1 subunit 2
A6NNS2,DHRS7C,DRS7C_HUMAN,Dehydrogenase/reductase SDR family member 7C
A8MU46,SMTNL1,SMTL1_HUMAN,Smoothelin-like protein 1
A8MXV4,NUDT19,NUD19_HUMAN,Nucleoside diphosphate-linked moiety X motif 19
E9PAV3,NACA,NACAM_HUMAN,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"
L0R6Q1,SLC35A4,S35U4_HUMAN,SLC35A4 upstream open reading frame protein
O00151,PDLIM1,PDLI1_HUMAN,PDZ and LIM domain protein 1
O00159,MYO1C,MYO1C_HUMAN,Unconventional myosin-Ic
O00161,SNAP23,SNP23_HUMAN,Synaptosomal-associated protein 23
O00168,FXYD1,PLM_HUMAN,Phospholemman
O00186,STXBP3,STXB3_HUMAN,Syntaxin-binding protein 3
O00203,AP3B1,AP3B1_HUMAN,AP-3 complex subunit beta-1
O00217,NDUFS8,NDUS8_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"
O00231,PSMD11,PSD11_HUMAN,26S proteasome non-ATPase regulatory subunit 11
O00232,PSMD12,PSD12_HUMAN,26S proteasome non-ATPase regulatory subunit 12
O00233,PSMD9,PSMD9_HUMAN,26S proteasome non-ATPase regulatory subunit 9
O00264,PGRMC1,PGRC1_HUMAN,Membrane-associated progesterone receptor component 1
O00299,CLIC1,CLIC1_HUMAN,Chloride intracellular channel protein 1
O00303,EIF3F,EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F
O00330,PDHX,ODPX_HUMAN,"Pyruvate dehydrogenase protein X component, mitochondrial"
O00410,IPO5,IPO5_HUMAN,Importin-5
O00418,EEF2K,EF2K_HUMAN,Eukaryotic elongation factor 2 kinase
O00423,EML1,EMAL1_HUMAN,Echinoderm microtubule-associated protein-like 1
O00429,DNM1L,DNM1L_HUMAN,Dynamin-1-like protein
O00442,RTCA,RTCA_HUMAN,RNA 3'-terminal phosphate cyclase
O00483,NDUFA4,NDUA4_HUMAN,Cytochrome c oxidase subunit NDUFA4
O00487,PSMD14,PSDE_HUMAN,26S proteasome non-ATPase regulatory subunit 14
O00499,BIN1,BIN1_HUMAN,Myc box-dependent-interacting protein 1
O00505,KPNA3,IMA4_HUMAN,Importin subunit alpha-4
O00560,SDCBP,SDCB1_HUMAN,Syntenin-1
O00571,DDX3X,DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X
O00629,KPNA4,IMA3_HUMAN,Importin subunit alpha-3
O00748,CES2,EST2_HUMAN,Cocaine esterase
