gene,quadrant,sig_cat,pathway,logFC_Training_CRE,logFC_Training_PLA
PLTP,Concordant Up,Tr.(CRE),Amino Acid & Cofactor Metabolism,1.4591,0.1259
LPCAT3,Concordant Up,Tr.(PLA),Amino Acid & Cofactor Metabolism,0.3431,1.4697
SMS,Concordant Up,Tr.(PLA),Amino Acid & Cofactor Metabolism,0.079,0.8915
ME2,Concordant Up,Tr.(PLA),Amino Acid & Cofactor Metabolism,0.0657,0.6803
ALDH1B1,Concordant Up,Tr.(PLA),Carbohydrate & Energy Metabolism,0.5434,0.8622
ABLIM2,Concordant Up,Both,Cytoskeleton & Motility,1.2682,2.5808
PXN,Concordant Up,Tr.(PLA),Cytoskeleton & Motility,0.156,1.3087
TMOD3,Concordant Up,Tr.(CRE),DNA & Cell Cycle,1.1237,0.0269
COL1A1,Concordant Up,Tr.(CRE),ECM & Adhesion,1.6624,0.1593
THY1,Concordant Up,Tr.(CRE),ECM & Adhesion,1.5766,0.5905
COL12A1,Concordant Up,Tr.(CRE),ECM & Adhesion,1.3372,0.775
MYOZ1,Concordant Up,Tr.(PLA),ECM & Adhesion,1.0587,1.6417
ENPP4,Concordant Up,Tr.(PLA),ECM & Adhesion,0.6449,1.1869
S100A13,Concordant Up,Tr.(CRE),Immune & Inflammation,1.2133,0.2542
FTH1,Concordant Up,Tr.(CRE),Immune & Inflammation,0.8919,0.2177
IL18,Concordant Up,Tr.(PLA),Immune & Inflammation,0.107,1.6548
BDH2,Concordant Up,Tr.(CRE),Lipid Metabolism,0.7584,0.0954
FAM162A,Concordant Up,Tr.(PLA),Mitochondria & Energy,0.012,0.8805
SYNM,Concordant Up,Tr.(PLA),Muscle & Contractile,0.4326,1.0419
MYL1,Concordant Up,Tr.(PLA),Muscle & Contractile,0.0242,1.156
FTL,Concordant Up,Both,Other,2.5434,1.2172
SELENOO,Concordant Up,Tr.(CRE),Other,2.0504,1.0436
PBDC1,Concordant Up,Both,Other,0.8675,1.0751
MRPL13,Concordant Up,Tr.(PLA),Other,0.3502,2.2406
C6orf136,Concordant Up,Tr.(PLA),Other,0.2824,1.6575
JPT2,Concordant Up,Tr.(PLA),Other,0.1263,0.701
FUNDC1,Concordant Up,Tr.(CRE),Protein Homeostasis,1.5851,0.8062
CTSG,Concordant Up,Tr.(CRE),Protein Homeostasis,1.083,0.1964
CLPP,Concordant Up,Tr.(PLA),Protein Homeostasis,0.2953,0.9592
ERP29,Concordant Up,Tr.(PLA),Protein Homeostasis,0.1752,0.7632
C19orf12,Concordant Up,Tr.(PLA),Protein Homeostasis,0.1152,1.1524
CRABP2,Concordant Up,Tr.(CRE),Transcription & Chromatin,1.7211,0.0851
CTBP1,Concordant Up,Tr.(PLA),Transcription & Chromatin,0.0393,1.148
RPS2,Concordant Up,Tr.(PLA),Translation & Ribosome,0.1367,0.5152
SLC41A3,Concordant Up,Both,Transport,1.2017,1.8055
ARCN1,Concordant Up,Tr.(CRE),Transport,0.7187,0.2185
AP1B1,Concordant Up,Tr.(PLA),Transport,0.4421,0.917
MYO6,Concordant Up,Tr.(PLA),Transport,0.0498,0.9364
PYGL,Concordant Down,Tr.(PLA),Carbohydrate & Energy Metabolism,-0.1452,-0.6179
HMGCS2,Concordant Down,Tr.(PLA),Carbohydrate & Energy Metabolism,-0.2915,-1.3978
PC,Concordant Down,Tr.(PLA),Carbohydrate & Energy Metabolism,-0.5415,-1.247
SMTNL1,Concordant Down,Tr.(CRE),Circulatory System,-0.8904,-3e-4
SORD,Concordant Down,Tr.(CRE),Cytoskeleton & Motility,-0.7445,-0.3088
TACC2,Concordant Down,Tr.(PLA),DNA & Cell Cycle,-0.2166,-0.7099
PRKAR2B,Concordant Down,Tr.(PLA),Lipid Metabolism,-0.0695,-2.6363
CES1,Concordant Down,Tr.(PLA),Lipid Metabolism,-0.1083,-2.239
ACAT2,Concordant Down,Tr.(PLA),Lipid Metabolism,-0.1851,-1.0098
LIPE,Concordant Down,Tr.(PLA),Lipid Metabolism,-0.3439,-1.6783
KYAT1,Concordant Down,Tr.(PLA),Lipid Metabolism,-0.5239,-0.9781
RETSAT,Concordant Down,Tr.(PLA),Lipid Metabolism,-0.5253,-2.2793
LMOD3,Concordant Down,Tr.(PLA),Muscle & Contractile,-0.2316,-0.9599
MRPL1,Concordant Down,Tr.(PLA),Other,-0.0778,-1.2152
DCUN1D1,Concordant Down,Tr.(PLA),Other,-0.1141,-0.7752
PEBP4,Concordant Down,Tr.(PLA),Other,-0.1269,-1.403
TMX4,Concordant Down,Tr.(PLA),Other,-0.1559,-0.7464
CNRIP1,Concordant Down,Tr.(PLA),Other,-0.5485,-1.565
ART3,Concordant Down,Tr.(CRE),Other,-0.7715,-0.308
ALDH9A1,Concordant Down,Tr.(PLA),Protein Homeostasis,-0.0405,-0.5544
UBE3A,Concordant Down,Tr.(PLA),Protein Homeostasis,-0.0414,-0.7599
PAFAH1B2,Concordant Down,Tr.(PLA),Protein Homeostasis,-0.1742,-0.7516
ARIH2,Concordant Down,Tr.(CRE),Protein Homeostasis,-0.9225,-0.0324
ASAH1,Concordant Down,Tr.(PLA),Transcription & Chromatin,-0.0278,-0.9855
CAPRIN1,Concordant Down,Tr.(PLA),Transcription & Chromatin,-0.6118,-1.0719
RBM3,Concordant Down,Both,Transcription & Chromatin,-1.8717,-1.7704
NNMT,Discordant,Tr.(CRE),Amino Acid & Cofactor Metabolism,1.3968,-0.1721
HBG2,Discordant,Tr.(PLA),Amino Acid & Cofactor Metabolism,0.9594,-1.6206
FBLN5,Discordant,Tr.(CRE),Amino Acid & Cofactor Metabolism,0.9021,-0.0979
HNMT,Discordant,Both,Amino Acid & Cofactor Metabolism,0.8654,-1.4179
GGT5,Discordant,Tr.(PLA),Amino Acid & Cofactor Metabolism,0.6583,-1.6111
TYMP,Discordant,Inter.,Amino Acid & Cofactor Metabolism,0.61240000000000006,-0.768
S100A9,Discordant,Inter.,Amino Acid & Cofactor Metabolism,0.5548,-1.0294
MTARC2,Discordant,Inter.,Amino Acid & Cofactor Metabolism,0.3106,-0.6723
TXN,Discordant,Inter.,Amino Acid & Cofactor Metabolism,0.2842,-0.6249
FAH,Discordant,Inter.,Amino Acid & Cofactor Metabolism,0.1869,-0.8633
FITM2,Discordant,Tr.(PLA),Amino Acid & Cofactor Metabolism,-0.1731,0.8952
NADK2,Discordant,Tr.(PLA),Amino Acid & Cofactor Metabolism,-0.2736,1.2436
ACACA,Discordant,Inter.,Amino Acid & Cofactor Metabolism,-0.3246,0.9936
MCEE,Discordant,Inter.,Amino Acid & Cofactor Metabolism,-0.6108,0.6391
ACOT1,Discordant,Tr.(CRE),Amino Acid & Cofactor Metabolism,-0.9985,0.241
ACTN3,Discordant,Tr.(CRE),Carbohydrate & Energy Metabolism,1.4208,-0.7798
G6PD,Discordant,Tr.(PLA),Carbohydrate & Energy Metabolism,0.4355,-1.1327
GPD1,Discordant,Tr.(PLA),Carbohydrate & Energy Metabolism,0.0943,-0.7968
SLC25A4,Discordant,Tr.(PLA),Carbohydrate & Energy Metabolism,-0.153,1.0179
NLN,Discordant,Inter.,Carbohydrate & Energy Metabolism,-0.2131,0.785
SLC35A4,Discordant,Inter.,Carbohydrate & Energy Metabolism,-0.5281,0.5722
ATP5F1E,Discordant,Inter.,Carbohydrate & Energy Metabolism,-0.5489,0.73
NUDT9,Discordant,Tr.(PLA),Carbohydrate & Energy Metabolism,-0.6036,1.231
NDUFA3,Discordant,Tr.(PLA),Carbohydrate & Energy Metabolism,-0.6044,1.2869
SIRT3,Discordant,Inter.,Carbohydrate & Energy Metabolism,-0.7084,0.634
LANCL2,Discordant,Tr.(CRE),Carbohydrate & Energy Metabolism,-0.8098,0.4636
ADD3,Discordant,Tr.(CRE),Circulatory System,1.0358,-0.7121
YWHAE,Discordant,Inter.,Circulatory System,0.2923,-0.5834
MYL3,Discordant,Tr.(PLA),Circulatory System,-0.5369,1.3147
KRT8,Discordant,Tr.(CRE),Cytoskeleton & Motility,1.6193,-1.1531
CD248,Discordant,Both,Cytoskeleton & Motility,1.0829,-2.4717
VCAN,Discordant,Inter.,Cytoskeleton & Motility,0.8684,-0.8568
KRT19,Discordant,Tr.(PLA),Cytoskeleton & Motility,0.7805,-3.1114
ARPC1B,Discordant,Inter.,Cytoskeleton & Motility,0.711,-0.4379
CTNNA1,Discordant,Tr.(PLA),Cytoskeleton & Motility,0.1669,-1.0141
MAP1B,Discordant,Tr.(PLA),Cytoskeleton & Motility,0.0682,-1.6229
IGBP1,Discordant,Inter.,Cytoskeleton & Motility,-0.4682,0.6187
RRAS2,Discordant,Inter.,Cytoskeleton & Motility,-0.7514,0.5675
GPNMB,Discordant,Tr.(CRE),DNA & Cell Cycle,1.7253,-0.1144
CAV2,Discordant,Both,DNA & Cell Cycle,1.6275,-1.6761
RHOC,Discordant,Tr.(CRE),DNA & Cell Cycle,1.0233,-0.0255
SAMHD1,Discordant,Both,DNA & Cell Cycle,0.9475,-1.3903
TNKS1BP1,Discordant,Tr.(PLA),DNA & Cell Cycle,0.5225,-1.1297
RUVBL1,Discordant,Inter.,DNA & Cell Cycle,0.4282,-0.5898
ARF1,Discordant,Inter.,DNA & Cell Cycle,0.4189,-0.6045
CALM1,Discordant,Inter.,DNA & Cell Cycle,0.4108,-0.6509
TUBB4A,Discordant,Tr.(PLA),DNA & Cell Cycle,0.3141,-2.2053
TUBB2B,Discordant,Tr.(PLA),DNA & Cell Cycle,0.0752,-2.7952
DRG1,Discordant,Tr.(PLA),DNA & Cell Cycle,-0.1545,1.3501
TIGAR,Discordant,Inter.,DNA & Cell Cycle,-0.5249,0.7543
RBBP4,Discordant,Inter.,DNA & Cell Cycle,-0.566,0.7381
TFRC,Discordant,Inter.,DNA & Cell Cycle,-0.8036,0.6209
EML4,Discordant,Tr.(PLA),DNA & Cell Cycle,-0.9947,1.9387
COL14A1,Discordant,Tr.(CRE),ECM & Adhesion,1.856,-0.1518
CD276,Discordant,Tr.(CRE),ECM & Adhesion,1.2758,-0.5889
COL4A2,Discordant,Inter.,ECM & Adhesion,1.1074,-1.1085
COL6A1,Discordant,Inter.,ECM & Adhesion,1.0484,-0.8657
DBN1,Discordant,Both,ECM & Adhesion,1.0411,-0.9591
COL6A2,Discordant,Tr.(PLA),ECM & Adhesion,0.9039,-1.5484
LIMCH1,Discordant,Tr.(CRE),ECM & Adhesion,0.8817,-0.5205
AHNAK,Discordant,Inter.,ECM & Adhesion,0.6418,-0.6618
CYFIP1,Discordant,Inter.,ECM & Adhesion,0.3309,-0.7812
GNAQ,Discordant,Tr.(PLA),ECM & Adhesion,0.3017,-1.403
NPTN,Discordant,Tr.(PLA),ECM & Adhesion,-0.3037,1.4621
SYNPO,Discordant,Inter.,ECM & Adhesion,-0.4281,0.8753
MAPK14,Discordant,Tr.(PLA),ECM & Adhesion,-0.4282,0.9995
MRC1,Discordant,Both,Immune & Inflammation,1.243,-1.0885
FCGRT,Discordant,Tr.(PLA),Immune & Inflammation,1.0178,-1.4023
PTGIS,Discordant,Inter.,Immune & Inflammation,0.8349,-0.5628
FABP4,Discordant,Inter.,Immune & Inflammation,0.7381,-1.1393
CD58,Discordant,Inter.,Immune & Inflammation,0.6696,-0.6336
CD163,Discordant,Tr.(PLA),Immune & Inflammation,0.428,-1.0369
FASN,Discordant,Tr.(PLA),Immune & Inflammation,0.3476,-1.9944
LGALS1,Discordant,Tr.(PLA),Immune & Inflammation,0.0442,-0.8102
G3BP2,Discordant,Tr.(PLA),Immune & Inflammation,-0.0942,2.035
VAPB,Discordant,Tr.(PLA),Immune & Inflammation,-0.2398,0.8462
AOX1,Discordant,Tr.(PLA),Lipid Metabolism,0.7807,-2.0195
HDLBP,Discordant,Inter.,Lipid Metabolism,0.6664,-0.6892
ABHD5,Discordant,Tr.(PLA),Lipid Metabolism,0.2805,-1.4093
ACADL,Discordant,Tr.(PLA),Lipid Metabolism,0.1878,-1.6533
DHRS11,Discordant,Inter.,Lipid Metabolism,-0.6497,0.7155
CNP,Discordant,Inter.,Mitochondria & Energy,0.3731,-0.6708
TMEM70,Discordant,Tr.(PLA),Mitochondria & Energy,-0.189,2.4309
FIS1,Discordant,Inter.,Mitochondria & Energy,-0.2107,0.5576
MARCHF5,Discordant,Tr.(PLA),Mitochondria & Energy,-0.2112,1.7157
TIMM8A,Discordant,Tr.(PLA),Mitochondria & Energy,-0.9023,1.4464
MYH2,Discordant,Tr.(PLA),Muscle & Contractile,-0.25,1.4469
CNN1,Discordant,Tr.(PLA),Muscle & Contractile,-0.5137,1.4671
AHNAK2,Discordant,Tr.(CRE),Other,2.1299,-0.8699
CKAP4,Discordant,Tr.(CRE),Other,1.378,-0.1284
PCOLCE,Discordant,Tr.(CRE),Other,1.2447,-0.2686
OSTF1,Discordant,Tr.(CRE),Other,0.9043,-0.3214
C20orf27,Discordant,Inter.,Other,0.6085,-0.7097
PVALB,Discordant,Inter.,Other,0.5111,-1.2477
HNRNPDL,Discordant,Tr.(PLA),Other,0.3279,-0.6283
GNG2,Discordant,Tr.(PLA),Other,0.1129,-1.4655
IRGQ,Discordant,Tr.(PLA),Other,-0.1417,1.145
BZW2,Discordant,Tr.(PLA),Other,-0.175,1.0428
MRPS27,Discordant,Tr.(PLA),Other,-0.2005,1.1354
TIPRL,Discordant,Inter.,Other,-0.2251,0.6326
FAHD1,Discordant,Tr.(PLA),Other,-0.2556,0.8954
C11orf68,Discordant,Tr.(PLA),Other,-0.307,1.1269
ETHE1,Discordant,Tr.(PLA),Other,-0.3229,0.9672
SPRYD4,Discordant,Inter.,Other,-0.3803,0.727
UBE2F,Discordant,Tr.(PLA),Other,-0.4073,1.3091
TXN2,Discordant,Inter.,Other,-0.442,0.4146
CA14,Discordant,Inter.,Other,-0.4895,0.4876
OVCA2,Discordant,Tr.(PLA),Other,-0.7031,1.4463
LHPP,Discordant,Inter.,Other,-0.7298,0.5599
