pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,set,pathway_label,neg_log10_padj,significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION,6.233278075602262e-26,2.306312887972837e-24,2.2793002504144186,110,156,,Hallmark,6.1119723768585725,Reversed (Cancer Down / Training Up),OXPHOS,23.637081774100242,TRUE
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,7.872203967475954e-25,2.6686771449743483e-22,2.2285919331550574,111,161,,Reactome,5.668928571428571,Reversed (Cancer Down / Training Up),Aerobic Respiration And Respiratory Electron Transport,21.573703963731138,TRUE
GOBP_CELLULAR_RESPIRATION,2.5134113781182694e-22,2.789886629711279e-19,2.246675836772123,98,141,,GO:BP,5.724849336340444,Reversed (Cancer Down / Training Up),Cellular Respiration,18.554413444429333,TRUE
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,1.606522823203105e-18,4.458100834388616e-16,2.471882838417348,65,85,,GO:BP,7.869712990936556,Reversed (Cancer Down / Training Up),Proton Transmembrane Transport,15.350850112768452,TRUE
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,5.3113020548854764e-17,1.1791090561845758e-14,1.8112934591851253,130,232,,GO:BP,3.2471179426544485,Reversed (Cancer Down / Training Up),Generation Of Precursor Metabolites And Energy,13.92844602500769,TRUE
GOBP_ACTIN_FILAMENT_ORGANIZATION,2.5323645197420845e-11,2.8109246169137136e-8,2.246578558969542,57,116,,GO:BP,3.7565923673181767,Exacerbated Up,Actin Filament Organization,7.551150801100986,TRUE
REACTOME_EPH_EPHRIN_SIGNALING,1.8653472732421654e-8,6.323527256290941e-6,3.200389105058366,21,30,,Reactome,8.647058823529411,Exacerbated Up,Eph Ephrin Signaling,5.1990406051627325,TRUE
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,8.557508273941297e-8,1.4504976524330498e-5,2.285992217898833,36,72,,Reactome,3.7656903765690375,Exacerbated Up,Extracellular Matrix Organization,4.838482969747354,TRUE
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,3.753958166299451e-8,2.0834467822961953e-5,2.7644557053660304,26,43,,GO:BP,5.700819672131147,Exacerbated Up,External Encapsulating Structure Organization,4.6812175882953895,TRUE
HALLMARK_APICAL_JUNCTION,1.3411094088958341e-6,4.1242332611021945e-5,2.4259509251171285,26,49,,Hallmark,4.199750534568781,Exacerbated Up,Apical Junction,4.384656779580407,TRUE
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,3.5916399408258115e-5,0.012175659399399501,3.1649831649831652,12,18,,Reactome,7.6563146997929605,Exacerbated Down,Branched Chain Amino Acid Catabolism,1.9145075093112054,TRUE
GOBP_AMINO_ACID_CATABOLIC_PROCESS,4.062174209761144e-5,0.029389955466930715,2.3185341789992955,21,43,,GO:BP,3.6913118527042577,Exacerbated Down,Amino Acid Catabolic Process,1.5318010719907051,TRUE
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,5.295487471519048e-5,0.029389955466930715,2.9389129389129387,13,21,,GO:BP,6.226919087136929,Exacerbated Down,Branched Chain Amino Acid Metabolic Process,1.5318010719907051,TRUE
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,0.0011312840322630655,0.33468476798633573,1.79828588919498,25,66,,GO:BP,2.3533990659055526,Exacerbated Down,Alpha Amino Acid Metabolic Process,0.47536405259595405,FALSE
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,0.002435652036706143,0.4505956267906364,1.5991493886230728,32,95,,GO:BP,1.9659227261819054,Exacerbated Down,Organic Acid Catabolic Process,0.34621302759201783,FALSE
HALLMARK_HEME_METABOLISM,2.8384413817540206e-6,1.0502233112489877e-4,2.0332858306188926,34,64,,Hallmark,3.3335632183908044,Reversed (Cancer Up / Training Down),Heme Metabolism,3.978718346138047,TRUE
HALLMARK_XENOBIOTIC_METABOLISM,6.007031288296735e-6,1.1113007883348961e-4,2.004808438033194,33,63,,Hallmark,3.229948364888124,Reversed (Cancer Up / Training Down),Xenobiotic Metabolism,3.9541683775721825,TRUE
HALLMARK_COMPLEMENT,1.4638903112180028e-4,0.0018054647171688702,1.9527354915907729,25,49,,Hallmark,3.0277306168647424,Reversed (Cancer Up / Training Down),Complement,2.7434109942427423,TRUE
REACTOME_NEUTROPHIL_DEGRANULATION,4.6688491655939015e-5,0.015827398671363326,1.4861563517915308,73,188,,Reactome,1.9020011251305955,Reversed (Cancer Up / Training Down),Neutrophil Degranulation,1.800590458195601,TRUE
GOBP_RECEPTOR_INTERNALIZATION,4.424920954092903e-5,0.027529753086620534,2.375603729080085,18,29,,GO:BP,4.736119585112874,Reversed (Cancer Up / Training Down),Receptor Internalization,1.5601976837610139,TRUE
