replicate,r_boot
1,-0.19743478272802867
2,-0.201479274375644
3,-0.1913488129051549
4,-0.1622733599775963
5,-0.1983862986661466
6,-0.1816180453524993
7,-0.2163978949387508
8,-0.1656340148676787
9,-0.22083019097086423
10,-0.18335130419441525
11,-0.21583362569013367
12,-0.13353069178124494
13,-0.19924653536055112
14,-0.17138804575691016
15,-0.22565241957023166
16,-0.19406527240418117
17,-0.18307333686906196
18,-0.17835724723883958
19,-0.16147490697288452
20,-0.1941799619240867
21,-0.16535814988504674
22,-0.14702932698109972
23,-0.1805409663313782
24,-0.19598967645559093
25,-0.2062177780275188
26,-0.17547819578836923
27,-0.23147588454197757
28,-0.1674650054004534
29,-0.19052645882151859
30,-0.13780770403510578
31,-0.17174892460950175
32,-0.16953516036305097
33,-0.2281479026933641
34,-0.23511601086322687
35,-0.17556485427742743
36,-0.17828697078531122
37,-0.2171604468341013
38,-0.19946772070930743
39,-0.11899370952540501
40,-0.17706093194112751
41,-0.20494611003884128
42,-0.1931820070869168
43,-0.14274229440247294
44,-0.208935320907847
45,-0.18989755460724497
46,-0.19521561424666634
47,-0.18326331315529124
48,-0.2307777905065725
49,-0.17110345053895262
50,-0.17900345952120872
51,-0.17164777239380744
52,-0.13784544933910364
53,-0.1853265926027855
54,-0.19348589636995978
55,-0.1614289254423484
56,-0.1595766092410526
57,-0.19186375824762333
58,-0.17314712169302698
59,-0.17747826502147238
60,-0.1799175580609668
61,-0.1110775733660152
62,-0.20099419520980108
63,-0.1604584442208711
64,-0.18641568070190123
65,-0.17627368745658295
66,-0.2093965494863696
67,-0.15523332474776577
68,-0.23738232219782726
69,-0.21116604648034762
70,-0.21413419931557554
71,-0.16528897517176983
72,-0.1617368492364482
73,-0.21383049216005887
74,-0.18319309706083806
75,-0.17984701717435592
76,-0.14337485391397375
77,-0.17092034419716712
78,-0.14250620873430528
79,-0.21803049788668802
80,-0.19346801211622652
81,-0.21205854020793694
82,-0.1702024125976079
83,-0.22548467257329222
84,-0.1445571386559997
85,-0.13939750714776805
86,-0.16167543432236178
87,-0.17061323954649915
88,-0.21324536011272327
89,-0.1922492930507435
90,-0.17498273387476487
91,-0.20962733868938888
92,-0.20317980358635918
93,-0.20926237422189053
94,-0.19194467064998222
95,-0.16740927562424862
96,-0.16352055853780106
97,-0.19246069956522963
98,-0.22135653732625762
99,-0.1754494431541827
100,-0.18541118196400908
101,-0.20005826319459924
102,-0.12855411837851605
103,-0.1481539334257702
104,-0.16741751411045128
105,-0.1990461356937401
106,-0.20313218362740684
107,-0.1842562268858908
108,-0.21596472689751742
109,-0.16956203346874713
110,-0.148773080407814
111,-0.15435072475917055
112,-0.18319511470001204
113,-0.1976645970404345
114,-0.19180931851025135
115,-0.19204916644581665
116,-0.13455361436631344
117,-0.1514467875111189
118,-0.22076144647331886
119,-0.19932366549979688
120,-0.19843190505275848
121,-0.14053976371852236
122,-0.1418431473718244
123,-0.1249347821114877
124,-0.11643615366592071
125,-0.1394267314340517
126,-0.21256961159169646
127,-0.18132784050795092
128,-0.11628332923605558
129,-0.1661227968846726
130,-0.1447331137861461
131,-0.12885718620677225
132,-0.1541995204847188
133,-0.18163555928829248
134,-0.21100200912302752
135,-0.17878216963795265
136,-0.17006171677499957
137,-0.1637719759919135
138,-0.17973283798267428
139,-0.1884992977439731
140,-0.21877352543883566
141,-0.17579338580428833
142,-0.19091924723303647
143,-0.20145402764328219
144,-0.16321998507761895
145,-0.15258165766081017
146,-0.15474080432820425
147,-0.21858199865521216
148,-0.14605868373607853
149,-0.11794756257378984
150,-0.1642608240573401
151,-0.13529934035777702
152,-0.14665737591260203
153,-0.15973155246562473
154,-0.1530331384059438
155,-0.1958905138215044
156,-0.16317800125364287
157,-0.1904306507690794
158,-0.23190937533661435
159,-0.19573974873086594
160,-0.19474883843137486
161,-0.2108296753214987
162,-0.1626055552748345
163,-0.2140124070542861
164,-0.21098411545414208
165,-0.1400617931843101
166,-0.16560147298075265
167,-0.179133066265459
168,-0.16369215128207276
169,-0.1999145352740178
170,-0.2624302497688619
171,-0.19412625395227845
172,-0.18649825092399747
173,-0.1695394334891492
174,-0.20432898153157947
175,-0.15669357849134652
176,-0.1918531769270763
177,-0.1851500025083276
178,-0.17831419142507188
179,-0.1624462159403267
180,-0.15919491937422833
181,-0.14563270523135355
182,-0.18271555130152373
183,-0.20415592021754955
184,-0.1842792868829419
185,-0.18879298335549882
186,-0.18104607407107642
187,-0.1596041215810595
188,-0.1759540635114185
189,-0.18801884358072513
190,-0.20956915960381714
191,-0.20515692290372775
192,-0.20718709785377828
193,-0.18488774130710184
194,-0.15092162023067973
195,-0.20976401043544682
196,-0.18793945062370881
197,-0.2022496555643455
198,-0.14648215288600716
199,-0.16543476761420037
200,-0.19999751006959457
201,-0.16178536775852786
202,-0.1612703892724788
203,-0.2160065476508213
204,-0.1752803873708753
205,-0.15225475826017443
206,-0.16237531679065545
207,-0.1750862197104872
208,-0.178355587240519
209,-0.12261892076765782
210,-0.20846749963802375
211,-0.18828766943802264
212,-0.19731671073157162
213,-0.1550583979642955
214,-0.18846158003920657
215,-0.1963343201936906
216,-0.17144483517633322
217,-0.20076399700615283
218,-0.12449425745522659
219,-0.14716115451073875
220,-0.21439313697778506
221,-0.14331502213187766
222,-0.20675068737068675
223,-0.16787709236808646
224,-0.18936569993792668
225,-0.17952371113700555
226,-0.16226693258014277
227,-0.15106180409920086
228,-0.11129971785715058
229,-0.21547579970504296
230,-0.12914608444461767
231,-0.17707420677430075
232,-0.14029855133904018
233,-0.1456519097667084
234,-0.14481349652001174
235,-0.15373752002064134
236,-0.2278316381636876
237,-0.21259012134629432
238,-0.18585221776959152
239,-0.176264466279553
240,-0.18776793565687688
241,-0.16821239330053084
242,-0.18546007071954682
243,-0.20080058273569135
244,-0.18851657917768905
245,-0.13219745927075743
246,-0.20915378015665892
247,-0.20976415888110164
248,-0.162726384057081
249,-0.20340622724446852
250,-0.20671448260191563
251,-0.17362631097324518
252,-0.21955230973415044
253,-0.1797120294866487
254,-0.16324970268009653
255,-0.138163884173815
256,-0.19212779508941158
257,-0.1824801995747084
258,-0.20066739935805494
259,-0.1989359653714564
260,-0.18418102498698627
261,-0.2468109861053741
262,-0.17363285838600057
263,-0.13635301409154926
264,-0.192115103164397
265,-0.19842605350553302
266,-0.2013822387849649
267,-0.18027058428688275
268,-0.21073795617576743
269,-0.17795771140281869
270,-0.13832173794207417
271,-0.15203211803915698
272,-0.18509606732092132
273,-0.1391192590265282
274,-0.20265082635936507
275,-0.14466320302754507
276,-0.14098003694523367
277,-0.1567996178472611
278,-0.2134097125772715
279,-0.16281037024379716
280,-0.22136847512200422
281,-0.20226168042248668
282,-0.15972391311681472
283,-0.18835543353204953
284,-0.1343298425892025
285,-0.10288046877225507
286,-0.212444706114111
287,-0.1881777625068862
288,-0.18813923347148498
289,-0.17546197199839345
290,-0.18372840115078287
291,-0.1595343613167515
292,-0.13691039330934424
293,-0.13814245166966985
294,-0.19046283963864216
295,-0.22764117326399397
296,-0.16523528166204174
297,-0.17715265419236367
298,-0.15366650730845163
299,-0.16000616628749115
300,-0.1808937341134652
301,-0.1413841550606049
302,-0.15521039684711424
303,-0.1977885177899754
304,-0.12534852280343947
305,-0.1872147432022213
306,-0.17853271967570825
307,-0.18040738581184063
308,-0.17711667704268294
309,-0.16770336697958613
310,-0.20177460421518034
311,-0.19607683492393138
312,-0.1815627959178128
313,-0.2058041104938038
314,-0.19202331951664875
315,-0.17200853467322297
316,-0.21543533063691295
317,-0.17942724813526686
318,-0.18510496576784663
319,-0.17046661297495505
320,-0.15913286318188186
321,-0.17074157288015684
322,-0.22979027463610535
323,-0.1856058538904799
324,-0.18516446651784652
325,-0.19855308251230816
326,-0.2040692370515963
327,-0.1504898025916065
328,-0.1951038518459595
329,-0.1696896018726003
330,-0.13859589539302478
331,-0.19030087003060714
332,-0.19634453055054715
333,-0.14534907602068167
334,-0.13815632322556015
335,-0.20112718543220065
336,-0.16478711861274384
337,-0.20725740392315534
338,-0.17472342226247256
339,-0.21721122854895275
340,-0.18550626315543897
341,-0.16216053789119578
342,-0.18299710847381706
343,-0.1676099019319376
344,-0.15573925243691197
345,-0.18124011770502807
346,-0.14957798094080188
347,-0.2017358435407821
348,-0.2007307884123482
349,-0.17448800054019284
350,-0.14193177735064086
351,-0.19473837212515327
352,-0.1994281699102406
353,-0.22040885267304974
354,-0.20273029204504725
355,-0.15919259117866624
356,-0.1499854637279761
357,-0.1948233081909311
358,-0.1591708121557142
359,-0.2080444183509288
360,-0.16052667154183067
361,-0.22627025451997262
362,-0.15715263992418643
363,-0.18446927921434558
364,-0.16908798501982053
365,-0.17680722875387267
366,-0.15140974874618246
367,-0.1548378286985427
368,-0.1819746064095626
369,-0.16405713687182177
370,-0.14242619882649843
371,-0.14709951674073754
372,-0.19973800547166268
373,-0.18364910415897895
374,-0.1754266957933561
375,-0.18474729389338176
376,-0.20163497635236077
377,-0.16773817717477538
378,-0.2001674378065582
379,-0.2102781340458268
380,-0.17503142203253738
381,-0.1601860335501169
382,-0.13583191623617258
383,-0.16246982342934524
384,-0.19958929326198754
385,-0.160212226585049
386,-0.23070270814656224
387,-0.1841447091583746
388,-0.20357402931069388
389,-0.16288031553680118
390,-0.12168491624315333
391,-0.14705464453518238
392,-0.17514763624427415
393,-0.175108945825683
394,-0.14970767994031128
395,-0.18448928825129607
396,-0.14971715866808605
397,-0.17114590815980302
398,-0.21486586950591785
399,-0.14967941175676155
400,-0.16096779896287639
401,-0.1688493714292082
402,-0.12947540929717724
403,-0.2091716873927889
404,-0.19112454770156528
405,-0.15537602889124555
406,-0.1876736174762402
407,-0.19072133991684184
408,-0.22719914653636697
409,-0.20069773108463115
410,-0.18394999349491467
411,-0.22906919379700136
412,-0.2748607770685095
413,-0.18039135428479025
414,-0.1422761687265738
415,-0.18173419123824253
416,-0.17185487036150646
417,-0.1353972202180693
418,-0.1702408920071798
419,-0.18126801582184998
420,-0.18122873743805343
421,-0.17799200312198174
422,-0.15567671144385342
423,-0.186167420211403
424,-0.1703702777798314
425,-0.18090313217293238
426,-0.17185776412774284
427,-0.21990619806577189
428,-0.17668665231647843
429,-0.1512047499334278
430,-0.2157549713955857
431,-0.18558445666281043
432,-0.22990108957699118
433,-0.1860354783638958
434,-0.15614450778571276
435,-0.17515480342929643
436,-0.18325355358192388
437,-0.2312305593012505
438,-0.2017224977557748
439,-0.17992318609276278
440,-0.16831650000813242
441,-0.21147506526361004
442,-0.17749599983718625
443,-0.16443438483901607
444,-0.1360045897036526
445,-0.18281899536023716
446,-0.18894028935764015
447,-0.20601236081135885
448,-0.1716315397809491
449,-0.19693573956535676
450,-0.17323314174457594
451,-0.1808209044303304
452,-0.1541898701420738
453,-0.19627253849594425
454,-0.21352884547905182
455,-0.1740744485614964
456,-0.19518179182987386
457,-0.18507657021641188
458,-0.20096065959277387
459,-0.16542589923833
460,-0.1637110131227747
461,-0.1615750384080256
462,-0.18301735286446483
463,-0.1924125021989582
464,-0.16349864000665998
465,-0.17080080358337396
466,-0.16555261689970754
467,-0.18943097896376385
468,-0.17767980039675008
469,-0.15407721124979953
470,-0.1665259300461649
471,-0.16733645554036286
472,-0.16559945773480836
473,-0.16758936059526025
474,-0.15459026330239795
475,-0.18941492299204596
476,-0.1455007405140594
477,-0.1650437349463552
478,-0.12720423767954667
479,-0.1524891965525403
480,-0.1456842520022583
481,-0.16721470749276843
482,-0.22997155577794773
483,-0.20121411610727913
484,-0.1542907075977758
485,-0.15971343781102204
486,-0.17604644354441243
487,-0.15386535587542252
488,-0.19264817686407107
489,-0.173884197574475
490,-0.19598155095558262
491,-0.18678319993151318
492,-0.21094057449537185
493,-0.1627562196317644
494,-0.20758064606047935
495,-0.18087118439348213
496,-0.15438936049119814
497,-0.2308986058425846
498,-0.14993234579744755
499,-0.18309781002469178
500,-0.1913958131359657
501,-0.16733589233592394
502,-0.1948113775435173
503,-0.18227881057684422
504,-0.1602854031997185
505,-0.237669871625003
506,-0.2146351315528293
507,-0.15371195963076487
508,-0.19846967601905738
509,-0.19150563365656598
510,-0.17249571262980296
511,-0.16268666463359371
512,-0.1931133680399654
513,-0.1596949630713018
514,-0.1823142344797513
515,-0.1626569918619166
516,-0.19627251324814657
517,-0.224039598099931
518,-0.15911062439526572
519,-0.18605187933282277
520,-0.1888640038540517
521,-0.1966203176448299
522,-0.17980282927265837
523,-0.15859774439473331
524,-0.18219054290646497
525,-0.19653957317256965
526,-0.16493106274541064
527,-0.14977458521341605
528,-0.18243217157740232
529,-0.19690988224711917
530,-0.16196121538076771
531,-0.18502612230048987
532,-0.15303184274488887
533,-0.18678218761194096
534,-0.16199378701561792
535,-0.1936518282568669
536,-0.1876683159285814
537,-0.1900071553926119
538,-0.19703375982815285
539,-0.19697111755116795
540,-0.16164441116950856
541,-0.1617089409121885
542,-0.20000510333539653
543,-0.1333182726127341
544,-0.13638722253973498
545,-0.13486545948535797
546,-0.21734111450754307
547,-0.15605844453064374
548,-0.17528281322558892
549,-0.1848002051930135
550,-0.1723015502135138
551,-0.18289792538172742
552,-0.1988606293970199
553,-0.24025578657455632
554,-0.19712283445046827
555,-0.2024439576538962
556,-0.091412859532677
557,-0.15534750520935806
558,-0.18291799758674088
559,-0.19146546671799936
560,-0.16957551386038386
561,-0.1654187724460314
562,-0.14268541909732593
563,-0.20467620697283578
564,-0.12076545617384911
565,-0.1895228378496602
566,-0.16079122688126063
567,-0.21264053422288584
568,-0.16929662058504263
569,-0.13950906849619316
570,-0.18657643817192385
571,-0.1693935327869952
572,-0.15812732664703766
573,-0.21722686986467246
574,-0.17668402627726523
575,-0.1544125651259019
576,-0.15207445898072225
577,-0.18482689026955368
578,-0.15721514523575428
579,-0.1591038422839987
580,-0.18831083750641
581,-0.17329293183130118
582,-0.2621883612287825
583,-0.19741750767485172
584,-0.1976746035935547
585,-0.20547452653473056
586,-0.14843502611508824
587,-0.16318226276382033
588,-0.17698166632188894
589,-0.18577842503265887
590,-0.20257958096132267
591,-0.16715437927873228
592,-0.1950257913550848
593,-0.18002120943724664
594,-0.16441700709840193
595,-0.22121795934925037
596,-0.16746424258914824
597,-0.2011143434999914
598,-0.21167518627847373
599,-0.14513838836107346
600,-0.19320966946889157
601,-0.18575540750408912
602,-0.18166829853661368
603,-0.21572192361898349
604,-0.1994484819108903
605,-0.18016852772897607
606,-0.17425412214223673
607,-0.18740145277126263
608,-0.18783394649686105
609,-0.20068021772438177
610,-0.1997909416902804
611,-0.21333122947380573
612,-0.19462193872578043
613,-0.16483681511674303
614,-0.20844528582356095
615,-0.17507177322224998
616,-0.17314058023971007
617,-0.17241025049222977
618,-0.16638471811058356
619,-0.15974117835889787
620,-0.1797019949984932
621,-0.13079304795583305
622,-0.17352516384118466
623,-0.14826601353689478
624,-0.1811298401604062
625,-0.20634065030525253
626,-0.19584153316210384
627,-0.13619255286717544
628,-0.15709930134510236
629,-0.17410416410617952
630,-0.1910277222419276
