"gene","cv_t1","cv_t2","delta_cv","supplement"
"HBB",121.514257786784,236.102540983768,114.588283196985,"Creatine"
"HBA1",101.129436364024,233.51583082441,132.386394460386,"Creatine"
"MB",26.4161468380546,29.1943658391476,2.77821900109303,"Creatine"
"ALB",104.901794101065,204.687814899027,99.7860207979626,"Creatine"
"CKM",12.769389021433,22.4444008286186,9.6750118071856,"Creatine"
"ALDOA",11.2380493396535,14.6321317915067,3.39408245185318,"Creatine"
"GAPDH",13.9330693685196,14.5911114594799,0.658042090960253,"Creatine"
"CKB",45.6448402775421,41.5443858336157,-4.10045444392646,"Creatine"
"CA3",37.0220519162328,26.424900840529,-10.5971510757038,"Creatine"
"FHL1",34.5920499053642,28.7471604457631,-5.8448894596011,"Creatine"
"ACTA1",26.6288348066694,120.237638950536,93.6088041438668,"Creatine"
"ENO1",12.8459380001337,70.2780911555595,57.4321531554258,"Creatine"
"ENO3",19.011234577189,31.6815809895641,12.6703464123751,"Creatine"
"ACTB",49.3935499324924,109.89750535806,60.5039554255673,"Creatine"
"IGHG1",107.009432715602,134.568474252913,27.5590415373112,"Creatine"
"PRDX2",86.1218020711486,162.643717710306,76.5219156391575,"Creatine"
"PKM",18.1312051545327,13.2593513428795,-4.8718538116532,"Creatine"
"TPI1",17.4695711872945,20.1653313662054,2.69576017891088,"Creatine"
"ENO2",45.5515302975319,40.5991940524916,-4.95233624504028,"Creatine"
"PGAM1",12.5463818049138,34.892622880238,22.3462410753242,"Creatine"
"CASQ1",18.2437609502648,22.8886730154757,4.64491206521083,"Creatine"
"PGK1",14.2330626882961,23.1867761425442,8.95371345424808,"Creatine"
"HSPB1",32.8785037512623,34.1358512597866,1.25734750852438,"Creatine"
"MYL1",42.2035037083712,104.202132477264,61.9986287688923,"Creatine"
"IGKC",106.507669904726,105.499481743924,-1.00818816080222,"Creatine"
"PYGM",25.6341541706488,33.4601590999855,7.82600492933669,"Creatine"
"CRYAB",23.5331713981495,26.1620471964372,2.62887579828778,"Creatine"
