gene,uniprot_id,set,t_training_cre,t_training_pla,logFC_Training_CRE,logFC_Training_PLA,pi_score_Training_CRE
FTH1,P02794,tcre_up,2.47231609683665,1.34828222104262,0.873496895809254,0.492925186213284,0.0320815664613704
FTL,P02792,tcre_up,4.16231461349162,2.17492438569659,2.5406546112918,1.37371841418514,7.597640781803282e-10
COL12A1,Q99715,tcre_up,1.98365373861288,0.639499075044482,1.34345510347637,0.39246194777229,0.02474701820942182
THY1,P04216,tcre_up,2.96475003164272,0.628664619953178,1.58028707301824,0.331692529693402,3.4251817300473027e-4
FSCN1,Q16658,tcre_up,2.32206287635088,0.800586009345307,0.840430399738615,0.299832431088564,0.04866149753959286
CRABP2,P29373,tcre_up,1.72966338621604,0.0706910283206151,1.72195088622518,0.089203587770804,0.02674351543294638
CTSG,P08311,tcre_up,2.24791242526466,0.461735560966746,1.08234763607296,0.260425559487182,0.02651528446316795
SLC41A3,Q96GZ6,tcre_up,2.24419534279214,2.52844960859356,1.20253044230988,1.80948320039044,0.03016368706331317
BDH2,Q9BUT1,tcre_up,2.60753773375294,0.240365020274132,0.76090524505077906,0.0897382867217722,0.04175139427555723
ARCN1,P48444,tcre_up,4.56397602602173,1.36043730717169,0.720201097044924,0.218082432827913,0.0013613840056127
PCOLCE,Q15113,tcre_up,1.92155047048799,0.513129024002226,1.23478548526231,0.295759443894067,0.04102755349914618
ABLIM2,Q6H8Q1,tcre_up,2.43746185485574,3.96584684718636,1.28164491163128,2.57193244780733,0.01832352476037915
PLTP,P55058,tcre_up,1.64852387768523,0.97483568286369,1.44868613349784,0.658791041956601,0.04721090951868235
PBDC1,Q9BVG4,tcre_up,2.72681203276304,1.79571911456267,0.871861641963761,0.793707739230324,0.02383052941491602
SELENOO,Q9BVL4,tcre_up,2.96976924094182,2.06998602502698,2.03978454642478,1.03399177819131,2.5969231529495416e-4
ART3,Q13508,tcre_down,-2.80690595489054,-0.98348350354567,-0.77330202096023,-0.303093782846801,0.02734222916372388
ARIH2,O95376,tcre_down,-3.43691367511316,-0.0812924051118807,-0.926273043679267,-0.031137247082615,0.00475887412402362
RBM3,P98179,tcre_down,-2.3100614255949,-1.84742797206008,-1.86633197942824,-1.62068379205971,0.00261746236111782
SORD,Q00796,tcre_down,-2.72205767047737,-1.06730725871714,-0.736596181346245,-0.309004526973194,0.03702076026440427
SRSF11,Q05519,tcre_down,-2.71795106513184,-0.187341191453358,-0.951702620459988,-0.0820451380948288,0.01848690673049174
