gene,pattern,sort_key,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,imputed
DIAPH2,Reversed,1.7291,-1.7291,0.9523,0,0.009701,TRUE
G3BP2,Reversed,0.9637,-0.9637,0.9494,0.037836,0.021709,TRUE
ALDH1B1,Reversed,0.8544,-0.8544,0.689,0.011552,0.030345,TRUE
CLPP,Reversed,0.6396,-0.6396,0.6174,0.016085,0.015082,TRUE
MAP1B,Reversed,-1.1221,1.1221,-0.7335,0.033423,0.02385,TRUE
TUBB4A,Reversed,-1.8677,1.8677,-1.1335,3e-6,0.015211,TRUE
DDX19B,Reversed,-1.9086,1.9086,-1.2637,1e-6,0.009865,TRUE
RETSAT,Reversed,-3.0406,3.0406,-1.3817,0,0.003984,TRUE
ATL3,Reversed,-3.4103,3.4103,-0.9846,0,0.009479,TRUE
SDHC,Partially Reversed,1.6808,-1.6808,0.1731,0,0.913722,TRUE
MYO6,Partially Reversed,1.5562,-1.5562,0.6011,0,0.128912,FALSE
LPCAT3,Partially Reversed,1.5512,-1.5512,0.8921,5.6e-5,0.054211,TRUE
CYB5B,Partially Reversed,1.4561,-1.4561,0.038,0,0.99398,FALSE
ACACA,Partially Reversed,1.3973,-1.3973,0.4522,2.01e-4,0.487984,FALSE
MYL3,Partially Reversed,1.3419,-1.3419,0.6399,0.009189,0.355971,FALSE
MT-ND4,Partially Reversed,1.2144,-1.2144,0.2644,0.003221,0.832502,TRUE
NDUFA4,Partially Reversed,1.1694,-1.1694,0.1856,2e-6,0.815676,FALSE
MYH2,Partially Reversed,1.149,-1.149,0.7593,0.028701,0.180176,TRUE
SLC25A6,Partially Reversed,1.1067,-1.1067,0.4577,0.002922,0.410238,FALSE
COQ3,Partially Reversed,1.1001,-1.1001,0.1071,0.004239,0.967841,TRUE
SLC25A46,Partially Reversed,1.0768,-1.0768,0.3196,8.54e-4,0.728336,TRUE
SLC25A11,Partially Reversed,1.0748,-1.0748,0.4008,0.002774,0.49635,FALSE
FAM162A,Partially Reversed,1.0706,-1.0706,0.5144,5.12e-4,0.192084,FALSE
MRPL49,Partially Reversed,1.0582,-1.0582,0.3961,0.00138,0.467689,TRUE
MARCHF5,Partially Reversed,1.0541,-1.0541,0.7399,8.55e-4,0.067321,TRUE
MT-ND3,Partially Reversed,1.0523,-1.0523,0.2852,0.025473,0.803439,TRUE
ANK3,Partially Reversed,1.0456,-1.0456,0.1259,7e-6,0.923627,TRUE
ISCA2,Partially Reversed,1.0264,-1.0264,0.7409,0.008289,0.145364,TRUE
SDHD,Partially Reversed,1.0217,-1.0217,0.004,0.005428,0.999955,TRUE
MYH14,Partially Reversed,1.0074,-1.0074,0.0589,1.15e-4,0.984624,TRUE
BZW2,Partially Reversed,1.0007,-1.0007,0.4497,0.010834,0.434829,TRUE
HINT3,Partially Reversed,0.9916,-0.9916,0.2391,3.8e-4,0.726385,TRUE
STBD1,Partially Reversed,0.9907,-0.9907,0.3318,0.001747,0.560739,FALSE
PTRHD1,Partially Reversed,0.9544,-0.9544,0.2741,0.007227,0.743133,TRUE
