gene,pathway,go_slim_id,pattern,logFC_Cancer_vs_Healthy,logFC_Training_CR
ALDH1B1,Carbohydrate & Energy Metabolism,GO:0005975,Reversed,-0.8544,0.689
MAP1B,Cytoskeleton & Motility,GO:0007018,Reversed,1.1221,-0.7335
TUBB4A,DNA & Cell Cycle,GO:0000278,Reversed,1.8677,-1.1335
G3BP2,Immune & Inflammation,GO:0098542,Reversed,-0.9637,0.9494
RETSAT,Lipid Metabolism,GO:0006629,Reversed,3.0406,-1.3817
CLPP,Mitochondria & Energy,GO:0007005,Reversed,-0.6396,0.6174
ATL3,Protein Homeostasis,GO:0065003,Reversed,3.4103,-0.9846
DIAPH2,Protein Homeostasis,GO:0065003,Reversed,-1.7291,0.9523
DDX19B,Transcription & Chromatin,GO:0006325,Reversed,1.9086,-1.2637
ACACA,Amino Acid & Cofactor Metabolism,GO:0055086,Partially Reversed,-1.3973,0.4522
ACOT9,Amino Acid & Cofactor Metabolism,GO:0055086,Partially Reversed,-0.638,0.2449
AKR1C1,Amino Acid & Cofactor Metabolism,GO:0007586,Partially Reversed,2.179,-0.3231
AKR1C2,Amino Acid & Cofactor Metabolism,GO:0007586,Partially Reversed,1.7661,-0.4958
ALB,Amino Acid & Cofactor Metabolism,GO:0098754,Partially Reversed,3.1371000000000002,-0.4069
ALDH5A1,Amino Acid & Cofactor Metabolism,GO:0006520,Partially Reversed,-0.8781,0.3454
ATP1A2,Amino Acid & Cofactor Metabolism,GO:0006766,Partially Reversed,-0.7978,0.0415
CAT,Amino Acid & Cofactor Metabolism,GO:0098754,Partially Reversed,2.8392,-0.3581
CCS,Amino Acid & Cofactor Metabolism,GO:0098754,Partially Reversed,1.1724,-0.2365
CD36,Amino Acid & Cofactor Metabolism,GO:0007586,Partially Reversed,1.4077,-0.4262
CYGB,Amino Acid & Cofactor Metabolism,GO:0098754,Partially Reversed,0.7432,-0.1697
EPB41,Amino Acid & Cofactor Metabolism,GO:0007586,Partially Reversed,2.0668,-0.1496
