gene,uniprot_id,set,t_cancer_vs_healthy,t_training_cr,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_Cancer_vs_Healthy
HBB,P68871,cvh_up,4.80261952706639,-1.01166966628744,3.56814918246507,-0.616850088507235,3.4281957636310725e-17
HBA1,P69905,cvh_up,5.16207696658666,-0.9814850440766,3.80600494195684,-0.593888123080767,3.795377698903244e-20
ALB,P02768,cvh_up,4.76899540445008,-0.753797377377032,3.13707051701393,-0.406937845066684,4.640929801395867e-15
IGHG1,P01857,cvh_up,5.46672620495906,-0.030456815211516,3.19978543988029,-0.0146303294092061,2.1787349578676167e-18
PRDX2,P32119,cvh_up,4.25846789092588,-0.675068244198431,1.98267596894184,-0.257942037637077,1.951319278978369e-8
PGAM1,P18669,cvh_up,3.35022457705842,-2.40611026397739,0.621908153823753,-0.366559042965234,0.01982292749830801
IGKC,P01834,cvh_up,5.88915572748387,-0.222783034708456,3.45422150096751,-0.107239638599939,8.479313030390725e-22
FABP4,P15090,cvh_up,3.67868028531373,-0.811896740112781,2.67401379255415,-0.484337925663791,3.947071144431746e-9
CA2,P00918,cvh_up,4.4682136812588,-1.22137594368556,1.83649618159424,-0.411985128188732,2.2347901586225263e-8
SERPINA1,P01009,cvh_up,4.7069026488934,-0.286998764618082,2.65807545688809,-0.133011195942627,1.1953450060708388e-12
IGHG2,P01859,cvh_up,5.63929483497924,-0.0743673944753669,3.37377947395893,-0.0365132539852286,3.7866482630847633e-20
EEF1A1,P68104,cvh_up,3.00119701155266,-0.536062511219923,0.638073618529962,-0.0935336326340668,0.03279269981146534
SOD1,P00441,cvh_up,5.12109420362357,-2.70423533149724,1.09310406777444,-0.47371737043791,3.0435444934689717e-06
ORM1,P02763,cvh_up,5.22760820622794,-0.113949338705553,2.78423192848246,-0.0498069868487452,3.4978654721589204e-15
TUBB,P07437,cvh_up,2.86270496773566,-0.711214723692655,0.81586295531898,-0.166347946132797,0.01701272175109633
PPIA,P62937,cvh_up,3.64826492025245,-0.759360345754619,1.23034750445697,-0.210167433764637,1.5142483784745715e-4
GPD1,P21695,cvh_up,3.42561252439292,-2.28301722661289,0.801842535043356,-0.438567174368362,0.00538391172551215
CFL1,P23528,cvh_up,3.00728107743433,-1.03418971850902,0.719368114944995,-0.203026842408381,0.0209720197962312
VIM,P08670,cvh_up,4.30018883356249,-0.138458808926534,2.96995452299335,-0.078479991104869,1.9417379206010428e-12
LGALS1,P09382,cvh_up,4.50878314609423,-2.00418316687046,1.21060351366893,-0.441627464317786,7.785066122666476e-6
