pathway,pathway_label,database,NES_Cancer_vs_Healthy,NES_Training_CR,padj_Cancer_vs_Healthy,padj_Training_CR,significance,set_size
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,1.539,1.379,0.06249,0.2745,NS,41
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,1.57,-1.234,0.05232,0.4454,NS,41
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,1.511,-1.165,0.09202,0.4994,NS,22
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,1.509,-1.132,0.07951,0.4994,NS,34
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,-1.179,-1.43,0.2636,0.1245,NS,101
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Hallmark,1.556,-1.041,0.07951,0.6426,NS,21
HALLMARK_HYPOXIA,Hypoxia,Hallmark,1.464,1.029,0.07951,0.6471,NS,59
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Goslim Protein Localization To Plasma Memb...,GOSlim,1.257,-1.217,0.2235,0.405,NS,73
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,1.2,1.206,0.3527,0.486,NS,40
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Hallmark,1.537,0.859,0.09202,0.8371,NS,10
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,-0.861,-1.511,0.7476,0.2745,NS,12
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.182,-1.184,0.3158,0.4133,NS,115
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,1.141,-1.223,0.3955,0.4133,NS,72
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,1.561,0.777,0.0504,0.9502,NS,49
GOSLIM_KETONE_METABOLIC_PROCESS,Goslim Ketone Metabolic Process,GOSlim,1.02,-1.315,0.5532,0.3283,NS,60
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,Goslim Nucleocytoplasmic Transport,GOSlim,1.301,-0.99,0.1688,0.6691,NS,81
HALLMARK_P53_PATHWAY,p53 Pathway,Hallmark,1.346,-0.906,0.1925,0.806,NS,31
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,1.101,-1.143,0.4732,0.4994,NS,35
GOSLIM_RIBOSOME_BIOGENESIS,Goslim Ribosome Biogenesis,GOSlim,-1.091,1.147,0.4298,0.5371,NS,60
GOSLIM_MUSCLE_SYSTEM_PROCESS,Goslim Muscle System Process,GOSlim,-1.029,1.167,0.5125,0.4432,NS,146
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFa Signaling Via Nfkb,Hallmark,1.015,1.165,0.6224,0.4994,NS,17
GOSLIM_TELOMERE_ORGANIZATION,Goslim Telomere Organization,GOSlim,0.944,1.214,0.6388,0.4432,NS,37
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,Goslim Glycoprotein Metabolic Process,GOSlim,1.4,0.755,0.1522,0.8669,NS,29
GOSLIM_VITAMIN_METABOLIC_PROCESS,Goslim Vitamin Metabolic Process,GOSlim,1.249,-0.886,0.2908,0.8194,NS,25
GOSLIM_PROTEIN_FOLDING,Goslim Protein Folding,GOSlim,1.002,1.036,0.5747,0.659,NS,99
HALLMARK_PEROXISOME,Peroxisome,Hallmark,0.797,-1.2,0.8703,0.4714,NS,43
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-1.193,0.749,0.3667,0.9469,NS,14
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,-0.958,0.981,0.6767,0.6966,NS,40
GOSLIM_CHROMOSOME_SEGREGATION,Goslim Chromosome Segregation,GOSlim,-0.653,1.276,0.9817,0.405,NS,56
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,-0.779,1.148,0.8703,0.4994,NS,34
GOSLIM_MICROTUBULE-BASED_MOVEMENT,Goslim Microtubule-Based Movement,GOSlim,1.096,0.792,0.4574,0.8669,NS,51
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,-0.903,0.852,0.7473,0.8429,NS,25
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,0.871,0.863,0.7476,0.8429,NS,31
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,0.906,-0.772,0.7476,0.9972,NS,97
GOSLIM_DNA_REPLICATION,Goslim DNA Replication,GOSlim,0.597,1.071,0.9817,0.659,NS,28
HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,-0.946,0.715,0.6767,0.9502,NS,13
GOSLIM_DNA_RECOMBINATION,Goslim DNA Recombination,GOSlim,-0.739,0.857,0.9817,0.8194,NS,35
GOSLIM_MITOTIC_NUCLEAR_DIVISION,Goslim Mitotic Nuclear Division,GOSlim,0.684,-0.873,0.9817,0.8194,NS,45
HALLMARK_UV_RESPONSE_UP,UV Response Up,Hallmark,0.656,-0.661,0.9456,0.9972,NS,47
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,0.701,0.587,0.9138,0.9972,NS,35
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,-2.974,2.231,5.457e-18,7.69e-9,Sig Both,158
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Goslim Generation Of Precursor Metabolites...,GOSlim,-2.159,1.917,1.469e-9,3.345e-6,Sig Both,234
GOSLIM_DETOXIFICATION,Goslim Detoxification,GOSlim,2.038,-2.029,6.89e-5,3.46e-4,Sig Both,56
GOSLIM_MITOCHONDRION_ORGANIZATION,Goslim Mitochondrion Organization,GOSlim,-1.838,1.784,4.795e-5,3.607e-4,Sig Both,182
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,1.871,-1.704,0.001126,0.03012,Sig Both,65
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,2.428,-1.314,3.651e-8,0.2745,Sig Cancer only,67
GOSLIM_RENAL_SYSTEM_PROCESS,Goslim Renal System Process,GOSlim,2.419,-1.29,2.588e-7,0.405,Sig Cancer only,23
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,2.237,1.46,3.717e-6,0.1715,Sig Cancer only,51
GOSLIM_TRNA_METABOLIC_PROCESS,Goslim Trna Metabolic Process,GOSlim,-2.086,1.534,1.549e-4,0.1083,Sig Cancer only,46
GOSLIM_WOUND_HEALING,Goslim Wound Healing,GOSlim,2.521,-1.01,3.848e-11,0.659,Sig Cancer only,95
HALLMARK_COMPLEMENT,Complement,Hallmark,2.294,-0.937,1.959e-6,0.806,Sig Cancer only,59
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,2.209,-1.016,3.837e-5,0.6652,Sig Cancer only,23
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,2.179,0.986,2.377e-5,0.6966,Sig Cancer only,50
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Goslim Establishment Or Maintenance Of Cel...,GOSlim,2.107,-1.03,5.382e-5,0.659,Sig Cancer only,46
HALLMARK_COAGULATION,Coagulation,Hallmark,2.616,0.519,1.385e-10,0.9972,Sig Cancer only,47
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,Goslim Extracellular Matrix Organization,GOSlim,2.121,1.009,6.415e-5,0.659,Sig Cancer only,43
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,1.927,-1.175,0.001126,0.4986,Sig Cancer only,38
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Hallmark,1.769,-1.309,0.02947,0.4133,Sig Cancer only,15
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,1.676,-1.398,0.03475,0.2745,Sig Cancer only,27
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,1.823,-1.056,0.003093,0.6118,Sig Cancer only,36
GOSLIM_CILIUM_ORGANIZATION,Goslim Cilium Organization,GOSlim,1.758,1.121,0.01023,0.6032,Sig Cancer only,35
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,Goslim Amino Acid Metabolic Process,GOSlim,-1.897,0.771,4.795e-5,0.9138,Sig Cancer only,115
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,1.919,-0.742,0.001629,0.9852,Sig Cancer only,41
GOSLIM_DIGESTION,Goslim Digestion,GOSlim,1.773,-0.749,0.02142,0.8669,Sig Cancer only,15
GOSLIM_CYTOKINESIS,Goslim Cytokinesis,GOSlim,1.59,-0.88,0.0332,0.8194,Sig Cancer only,44
GOSLIM_CYTOPLASMIC_TRANSLATION,Goslim Cytoplasmic Translation,GOSlim,-1.345,1.595,0.05499,0.02654,Sig Training only,116
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,1.104,-1.759,0.4732,0.04113,Sig Training only,24
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,-0.998,1.591,0.6343,0.03012,Sig Training only,135
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,0.805,1.566,0.8703,0.04113,Sig Training only,111
